run_id,condition,seed,bank,scenario_id,term_reason,completion,collision,timeout,merge_order,role_V0,speed_class_V0,window_entry_step_V0,window_exit_step_V0,window_active_steps_V0,brake_action_count_window_V0,brake_rate_window_V0,c_brake_window_V0,hard_brake_events_window_V0,hard_brake_events_episode_V0,role_V1,speed_class_V1,window_entry_step_V1,window_exit_step_V1,window_active_steps_V1,brake_action_count_window_V1,brake_rate_window_V1,c_brake_window_V1,hard_brake_events_window_V1,hard_brake_events_episode_V1,role_V2,speed_class_V2,window_entry_step_V2,window_exit_step_V2,window_active_steps_V2,brake_action_count_window_V2,brake_rate_window_V2,c_brake_window_V2,hard_brake_events_window_V2,hard_brake_events_episode_V2,role_V3,speed_class_V3,window_entry_step_V3,window_exit_step_V3,window_active_steps_V3,brake_action_count_window_V3,brake_rate_window_V3,c_brake_window_V3,hard_brake_events_window_V3,hard_brake_events_episode_V3
baseline_900101,baseline,900101,H1,H1_00000,success,1,0,0,V2>V0>V3>V1,ramp,slow,19.0,46.0,27,0,0.0,0.042384,0,0,ramp,fast,26.0,53.0,27,0,0.0,0.012927,0,2,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00001,success,1,0,0,V2>V0>V3>V1,ramp,slow,18.0,46.0,28,0,0.0,0.041927,0,0,ramp,fast,26.0,52.0,26,0,0.0,0.023115,0,1,mainline,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,slow,24.0,51.0,27,0,0.0,0.043799,0,0
baseline_900101,baseline,900101,H1,H1_00002,success,1,0,0,V2>V0>V1>V3,ramp,slow,20.0,48.0,28,0,0.0,0.006434,0,1,ramp,fast,28.0,54.0,26,0,0.0,0.019123,0,0,mainline,slow,19.0,46.0,27,0,0.0,0.042756,0,0,mainline,fast,29.0,55.0,26,1,0.0384615384615384,0.041672,0,4
baseline_900101,baseline,900101,H1,H1_00003,success,1,0,0,V1>V2>V3>V0,ramp,slow,25.0,53.0,28,0,0.0,0.029393,0,0,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.028723,0,0,mainline,slow,25.0,51.0,26,0,0.0,0.043799,0,0
baseline_900101,baseline,900101,H1,H1_00004,success,1,0,0,V0>V2>V1>V3,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,ramp,slow,26.0,52.0,26,0,0.0,0.043907,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.042384,0,0,mainline,fast,27.0,53.0,26,0,0.0,0.007062,0,0
baseline_900101,baseline,900101,H1,H1_00005,success,1,0,0,V0>V3>V1>V2,ramp,fast,18.0,44.0,26,0,0.0,0.044065,0,0,ramp,slow,24.0,51.0,27,0,0.0,0.043799,0,0,mainline,fast,26.0,52.0,26,1,0.0384615384615384,0.026414,0,1,mainline,slow,18.0,45.0,27,0,0.0,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00006,success,1,0,0,V1>V3>V0>V2,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.019202,0,1,mainline,slow,19.0,47.0,28,0,0.0,0.041927,0,0
baseline_900101,baseline,900101,H1,H1_00007,success,1,0,0,V2>V1>V0>V3,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,20.0,47.0,27,0,0.0,0.030043,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,26.0,53.0,27,0,0.0,0.007303,0,0
baseline_900101,baseline,900101,H1,H1_00008,success,1,0,0,V3>V1>V0>V2,ramp,fast,28.0,54.0,26,0,0.0,0.019997,0,0,ramp,slow,20.0,48.0,28,0,0.0,0.023672,0,0,mainline,fast,29.0,55.0,26,1,0.0384615384615384,9.6e-05,0,5,mainline,slow,19.0,46.0,27,0,0.0,0.042756,0,0
baseline_900101,baseline,900101,H1,H1_00009,success,1,0,0,V3>V1>V0>V2,ramp,slow,24.0,51.0,27,0,0.0,0.043799,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.029146,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043059,0,2,mainline,fast,18.0,44.0,26,0,0.0,0.044065,0,0
baseline_900101,baseline,900101,H1,H1_00010,success,1,0,0,V0>V2>V3>V1,ramp,fast,18.0,45.0,27,0,0.0,0.044123,0,0,ramp,slow,25.0,53.0,28,0,0.0,0.037452,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.034813,0,0,mainline,slow,24.0,51.0,27,0,0.0,0.043799,0,0
baseline_900101,baseline,900101,H1,H1_00011,success,1,0,0,V3>V0>V2>V1,ramp,slow,19.0,47.0,28,0,0.0,0.023276,0,0,ramp,fast,27.0,54.0,27,2,0.074074074074074,0.615635,2,4,mainline,fast,27.0,53.0,26,0,0.0,0.007151,0,0,mainline,slow,18.0,46.0,28,0,0.0,0.042756,0,0
baseline_900101,baseline,900101,H1,H1_00012,success,1,0,0,V1>V3>V0>V2,ramp,fast,26.0,53.0,27,0,0.0,0.021694,0,0,ramp,slow,19.0,48.0,29,0,0.0,0.03082,0,0,mainline,fast,27.0,54.0,27,10,0.3703703703703703,0.43022,2,6,mainline,slow,20.0,51.0,31,0,0.0,0.013614,0,0
baseline_900101,baseline,900101,H1,H1_00013,success,1,0,0,V2>V0>V1>V3,ramp,fast,20.0,47.0,27,0,0.0,0.029217,0,0,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,26.0,53.0,27,0,0.0,0.043305,0,2
baseline_900101,baseline,900101,H1,H1_00014,success,1,0,0,V3>V0>V2>V1,ramp,slow,20.0,48.0,28,0,0.0,0.042384,0,0,ramp,fast,27.0,54.0,27,0,0.0,0.010382,0,0,mainline,slow,26.0,53.0,27,0,0.0,0.043994,0,0,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0
baseline_900101,baseline,900101,H1,H1_00015,success,1,0,0,V2>V1>V3>V0,ramp,fast,26.0,53.0,27,0,0.0,0.012769,0,0,ramp,slow,19.0,47.0,28,0,0.0,0.042384,0,0,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00016,success,1,0,0,V1>V3>V2>V0,ramp,slow,26.0,54.0,28,0,0.0,0.037666,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,26.0,52.0,26,0,0.0,0.043907,0,0,mainline,fast,21.0,48.0,27,0,0.0,0.029513,0,0
baseline_900101,baseline,900101,H1,H1_00017,success,1,0,0,V2>V0>V3>V1,ramp,fast,20.0,46.0,26,0,0.0,0.024364,0,0,ramp,slow,26.0,53.0,27,0,0.0,0.006736,0,1,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00018,success,1,0,0,V2>V0>V3>V1,ramp,slow,20.0,47.0,27,0,0.0,0.041927,0,0,ramp,fast,27.0,54.0,27,0,0.0,0.019233,0,1,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,26.0,52.0,26,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00019,success,1,0,0,V2>V0>V3>V1,ramp,slow,19.0,47.0,28,0,0.0,0.041927,0,0,ramp,fast,26.0,53.0,27,0,0.0,0.019255,0,1,mainline,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,25.0,52.0,27,0,0.0,0.043907,0,0
baseline_900101,baseline,900101,H1,H1_00020,success,1,0,0,V3>V0>V2>V1,ramp,slow,19.0,47.0,28,0,0.0,0.041927,0,0,ramp,fast,26.0,53.0,27,0,0.0,0.206844,1,2,mainline,slow,25.0,52.0,27,1,0.037037037037037,0.043907,0,0,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0
baseline_900101,baseline,900101,H1,H1_00021,success,1,0,0,V1>V2>V0>V3,ramp,slow,25.0,52.0,27,0,0.0,0.043907,0,0,ramp,fast,19.0,46.0,27,0,0.0,0.04417,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.041927,0,0,mainline,fast,26.0,53.0,27,0,0.0,0.012769,0,0
baseline_900101,baseline,900101,H1,H1_00022,success,1,0,0,V0>V2>V1>V3,ramp,slow,19.0,46.0,27,0,0.0,0.042756,0,0,ramp,fast,28.0,54.0,26,0,0.0,0.021038,0,0,mainline,slow,20.0,48.0,28,0,0.0,0.023672,0,0,mainline,fast,28.0,55.0,27,0,0.0,0.012327,0,5
baseline_900101,baseline,900101,H1,H1_00023,success,1,0,0,V1>V2>V0>V3,ramp,fast,26.0,53.0,27,0,0.0,0.019965,0,0,ramp,slow,17.0,45.0,28,0,0.0,0.042384,0,0,mainline,slow,19.0,47.0,28,0,0.0,0.001085,0,0,mainline,fast,27.0,54.0,27,1,0.037037037037037,0.006544,0,5
baseline_900101,baseline,900101,H1,H1_00024,success,1,0,0,V2>V0>V3>V1,ramp,slow,19.0,46.0,27,0,0.0,0.041927,0,0,ramp,fast,26.0,53.0,27,0,0.0,0.019202,0,1,mainline,fast,19.0,45.0,26,0,0.0,0.044123,0,0,mainline,slow,25.0,51.0,26,0,0.0,0.043799,0,0
