seed,n_episodes,n_overlap,n_no_overlap,overlap_proportion,overlap_duration_s_mean,max_simultaneous_merge_vehicles_mean,min_crossroad_x_gap_mean,min_gap_x380_median,prop_any_BRAKE_given_overlap,prop_any_BRAKE_given_no_overlap,gini_overlap_mean,gini_no_overlap_mean,umin_overlap_mean,umin_no_overlap_mean,prop_no_overlap,prop_overlap_no_brake,prop_overlap_brake_zero_burden,prop_overlap_brake_positive_burden
900101,256,256,0,1.0,6.5797,4.0,2.9823,0.2251,0.2461,,0.002,,0.9961,,0.0,0.7539,0.2461,0.0
900102,256,256,0,1.0,7.5531,4.0,0.4115,0.2346,0.707,,0.0143,,0.9637,,0.0,0.293,0.3906,0.3164
900103,256,256,0,1.0,6.3945,4.0,9.2787,0.4708,0.0039,,0.0488,,0.9023,,0.0,0.9961,0.0039,0.0
900104,256,256,0,1.0,6.8836,4.0,7.8708,0.4933,0.1914,,0.0026,,0.9927,,0.0,0.8086,0.125,0.0664
910101,256,256,0,1.0,6.8031,4.0,1.5932,0.2122,0.9727,,0.0001,,0.9996,,0.0,0.0273,0.9414,0.0312
910102,256,256,0,1.0,6.7609,4.0,1.6601,0.1509,0.8125,,0.1429,,0.7133,,0.0,0.1875,0.6602,0.1523
920101,256,256,0,1.0,7.2586,4.0,3.5771,0.3065,0.2344,,0.0526,,0.8891,,0.0,0.7656,0.0312,0.2031
920102,256,256,0,1.0,7.0594,4.0,2.9533,0.4406,0.1406,,0.0482,,0.8966,,0.0,0.8594,0.1406,0.0
920103,256,256,0,1.0,7.4453,4.0,9.6545,0.7672,1.0,,0.0023,,0.988,,0.0,0.0,0.0273,0.9727
920104,256,256,0,1.0,6.6477,4.0,0.4797,0.2373,0.75,,0.1755,,0.6523,,0.0,0.25,0.5664,0.1836
920105,256,256,0,1.0,6.4805,4.0,3.7894,0.1996,0.5938,,0.1707,,0.6564,,0.0,0.4062,0.3008,0.293
920106,256,256,0,1.0,6.7258,4.0,0.8848,0.2354,0.957,,0.0354,,0.9286,,0.0,0.043,0.8984,0.0586
