seed,scenario,outcome,completion,collision,timeout,cross_road_overlap_any,cross_road_overlap_steps,cross_road_overlap_duration_s,max_simultaneous_merge_vehicles,min_crossroad_x_gap,min_crossroad_euclidean_gap,min_crossroad_clearance_m,min_crossroad_crossing_gap_x300,min_crossroad_crossing_gap_x380,front_pair_crossing_gap_x300,front_pair_crossing_gap_x380,rear_pair_crossing_gap_x300,rear_pair_crossing_gap_x380,min_projected_ttc_gap_s,any_BRAKE_action,total_BRAKE_actions,any_negative_acceleration,any_hard_brake_event,total_hard_brake_events,C_brake,any_below_target_burden,C_mean,U_mean,U_min,Utility_Gini,utility_range,worst_off_identity,role_V0,role_V1,role_V2,role_V3,ttc_slot_V0,ttc_slot_V1,ttc_slot_V2,ttc_slot_V3,U_V0,U_V1,U_V2,U_V3,C_V0,C_V1,C_V2,C_V3
920103,H1_00000,success,1,0,0,1,37,7.4,4,12.9849,16.671,7.9849,0.9003,0.9767,1.0025,1.043,0.9003,0.9767,0.9567,1,13,1,1,6,0.423906,1,0.079747,0.995077,0.980309,0.00371,0.019691,V3,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,1.0,1.0,0.980309,0.0,0.0,0.0,0.31899
920103,H1_00001,success,1,0,0,1,38,7.6,4,11.7114,15.7023,6.7114,0.7887,0.9233,1.0804,1.1569,0.7887,0.9233,0.844,1,16,1,1,9,0.463062,1,0.041135,0.997429,0.989716,0.001933,0.010284,V3,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,1.0,1.0,0.989716,0.0,0.0,0.0,0.164539
920103,H1_00002,success,1,0,0,1,40,8.0,4,0.3659,9.3267,-4.6341,0.5081,0.676,0.5081,0.8119,0.6735,0.676,0.3413,1,6,1,1,1,0.193327,1,0.092675,0.994394,0.98016,0.003903,0.01984,V3,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,0.997416,1.0,0.98016,0.0,0.041351,0.0,0.329348
920103,H1_00003,success,1,0,0,1,36,7.2,4,0.0188,6.697,-4.9812,0.3106,0.5492,0.3106,0.6737,1.0913,0.5492,0.0008,1,42,1,1,7,1.049238,1,0.034338,0.99777,0.991081,0.001676,0.008919,V0,ramp,ramp,mainline,mainline,rear,front,front,rear,0.991081,1.0,1.0,1.0,0.137353,0.0,0.0,0.0
920103,H1_00004,success,1,0,0,1,38,7.6,4,11.6469,15.3967,6.6469,0.835,0.9392,0.9772,1.0245,0.835,0.9392,0.9183,1,12,1,1,6,0.392267,1,0.037718,0.997672,0.990687,0.00175,0.009313,V1,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,0.990687,1.0,1.0,0.0,0.150873,0.0,0.0
920103,H1_00005,success,1,0,0,1,37,7.4,4,12.7115,16.1004,7.7115,0.798,0.8436,1.0459,1.1088,0.798,0.8436,0.5879,1,14,1,1,1,0.294399,1,0.026549,0.998298,0.993192,0.001279,0.006808,V1,ramp,ramp,mainline,mainline,front,rear,rear,front,1.0,0.993192,1.0,1.0,0.0,0.106198,0.0,0.0
920103,H1_00006,success,1,0,0,1,38,7.6,4,6.226,12.0445,1.226,0.7535,0.8619,0.8964,0.9756,0.7535,0.8619,0.6673,1,24,1,1,6,0.421551,1,0.016728,0.998955,0.995818,0.000785,0.004182,V0,ramp,ramp,mainline,mainline,rear,front,rear,front,0.995818,1.0,1.0,1.0,0.066911,0.0,0.0,0.0
920103,H1_00007,success,1,0,0,1,35,7.0,4,9.9195,14.4144,4.9195,0.5909,0.6929,0.5909,0.7664,1.2715,0.6929,0.5684,1,31,1,1,1,0.818677,1,0.025561,0.998318,0.993273,0.001263,0.006727,V3,ramp,ramp,mainline,mainline,rear,front,front,rear,1.0,1.0,1.0,0.993273,0.0,0.0,0.0,0.102243
920103,H1_00008,success,1,0,0,1,39,7.8,4,13.414,16.7455,8.414,0.766,0.7662,0.9448,1.0089,0.766,0.7662,0.7666,1,9,1,1,1,0.165534,1,0.102273,0.993764,0.975055,0.004706,0.024945,V2,ramp,ramp,mainline,mainline,rear,front,rear,front,1.0,1.0,0.975055,1.0,0.0,0.0,0.409091,0.0
920103,H1_00009,success,1,0,0,1,35,7.0,4,8.5778,13.3492,3.5778,0.5504,0.705,0.5504,0.705,1.3314,0.831,0.6903,1,30,1,1,1,0.824443,1,0.007874,0.999468,0.997872,0.000399,0.002128,V0,ramp,ramp,mainline,mainline,rear,front,rear,front,0.997872,1.0,1.0,1.0,0.031494,0.0,0.0,0.0
920103,H1_00010,success,1,0,0,1,35,7.0,4,7.645,12.9827,2.645,0.5613,0.733,0.5613,0.733,1.4145,0.9596,0.6918,1,26,1,1,1,0.760629,1,0.016122,0.998925,0.995701,0.000807,0.004299,V3,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,1.0,1.0,0.995701,0.0,0.0,0.0,0.064488
920103,H1_00011,success,1,0,0,1,43,8.6,4,0.1271,4.5508,-4.8729,0.1515,0.5866,0.1515,0.7004,0.5746,0.5866,0.0066,1,39,1,1,6,1.212907,1,0.091984,0.994589,0.978357,0.00408,0.021643,V1,ramp,ramp,mainline,mainline,front,rear,rear,front,1.0,0.978357,1.0,1.0,0.0,0.367935,0.0,0.0
920103,H1_00012,success,1,0,0,1,38,7.6,4,12.6648,16.0703,7.6648,0.7586,0.7587,0.9319,0.9955,0.7586,0.7587,0.7593,1,11,1,1,2,0.117867,1,0.076599,0.995152,0.980608,0.003654,0.019392,V2,ramp,ramp,mainline,mainline,rear,front,rear,front,1.0,1.0,0.980608,1.0,0.0,0.0,0.306397,0.0
920103,H1_00013,success,1,0,0,1,34,6.8,4,8.5526,13.5158,3.5526,0.5795,0.7176,0.5795,0.7176,1.3314,0.965,0.7084,1,29,1,1,2,0.724299,1,0.025561,0.998296,0.993184,0.00128,0.006816,V3,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,1.0,1.0,0.993184,0.0,0.0,0.0,0.102243
920103,H1_00014,success,1,0,0,1,39,7.8,4,9.8972,14.4109,4.8972,0.9763,1.0196,0.985,1.0452,0.9763,1.0196,1.0115,1,9,1,1,8,0.415557,1,0.105589,0.993562,0.974247,0.00486,0.025753,V2,ramp,ramp,mainline,mainline,front,rear,rear,front,1.0,1.0,0.974247,1.0,0.0,0.0,0.422355,0.0
920103,H1_00015,success,1,0,0,1,38,7.6,4,10.2297,14.6537,5.2297,0.8966,0.9802,0.9984,1.0517,0.8966,0.9802,0.9753,1,8,1,1,7,0.367703,1,0.077759,0.9952,0.9808,0.003617,0.0192,V3,ramp,ramp,mainline,mainline,rear,front,front,rear,1.0,1.0,1.0,0.9808,0.0,0.0,0.0,0.311034
