seed,baseline_completion,baseline_collision,baseline_timeout,mean_completion,mean_collision,mean_timeout,ggi_completion,ggi_collision,ggi_timeout,maximin_completion,maximin_collision,maximin_timeout
900101,0.9961,0.0039,0.0,0.9922,0.0078,0.0,1.0,0.0,0.0,0.9883,0.0117,0.0
900102,0.9766,0.0234,0.0,0.9961,0.0039,0.0,1.0,0.0,0.0,0.8789,0.1211,0.0
900103,0.9023,0.0977,0.0,0.9766,0.0234,0.0,0.9297,0.0703,0.0,0.9688,0.0312,0.0
900104,0.9961,0.0039,0.0,0.9609,0.0391,0.0,0.8906,0.1094,0.0,0.6641,0.1016,0.2344
910101,1.0,0.0,0.0,0.9883,0.0117,0.0,0.9844,0.0156,0.0,0.957,0.043,0.0
910102,0.7148,0.2852,0.0,0.0352,0.9648,0.0,0.5352,0.3867,0.0781,0.6562,0.3438,0.0
920101,0.8984,0.1016,0.0,1.0,0.0,0.0,0.9883,0.0117,0.0,0.9844,0.0156,0.0
920102,0.8906,0.1094,0.0,0.9336,0.0664,0.0,0.8438,0.1562,0.0,0.9844,0.0156,0.0
920103,1.0,0.0,0.0,1.0,0.0,0.0,0.9883,0.0117,0.0,1.0,0.0,0.0
920104,0.6484,0.3516,0.0,1.0,0.0,0.0,0.7852,0.2148,0.0,0.75,0.25,0.0
920105,0.6602,0.3398,0.0,0.9727,0.0273,0.0,1.0,0.0,0.0,0.8906,0.1055,0.0039
920106,0.9297,0.0703,0.0,0.9805,0.0195,0.0,0.7969,0.2031,0.0,0.7383,0.2617,0.0
