kind,relationship,condition,x,y,pearson_r,spearman_rho,boot_ci_lo,boot_ci_hi,n_boot_valid,n_seeds
primary,C64 U_min vs Delta_Umin,mean,c64_umin,delta_umin_mean,-0.1541,-0.5105,-0.633,0.2326,10000,12
primary,C64 U_min vs Delta_Umin,ggi,c64_umin,delta_umin_ggi,-0.0428,-0.3147,-0.8532,0.3264,10000,12
primary,C64 U_min vs Delta_Umin,maximin,c64_umin,delta_umin_maximin,-0.4643,-0.7133,-0.8702,-0.2849,10000,12
primary,C64 completion vs Delta_Umin,mean,c64_completion,delta_umin_mean,-0.1623,-0.4895,-0.6221,0.2328,10000,12
primary,C64 completion vs Delta_Umin,ggi,c64_completion,delta_umin_ggi,-0.0518,-0.3566,-0.8352,0.3309,10000,12
primary,C64 completion vs Delta_Umin,maximin,c64_completion,delta_umin_maximin,-0.4792,-0.7273,-0.8645,-0.2953,10000,12
secondary,C64 Gini vs Delta_Gini,mean,c64_gini,delta_gini_mean,-0.1533,-0.5524,-0.6384,0.2354,10000,12
secondary,C64 Gini vs Delta_Gini,ggi,c64_gini,delta_gini_ggi,-0.0268,-0.3007,-0.8768,0.3498,10000,12
secondary,C64 Gini vs Delta_Gini,maximin,c64_gini,delta_gini_maximin,-0.4655,-0.7203,-0.8928,-0.2808,10000,12
secondary,C64 completion vs Delta_completion,mean,c64_completion,delta_completion_mean,-0.1694,-0.4895,-0.6158,0.2165,10000,12
secondary,C64 completion vs Delta_completion,ggi,c64_completion,delta_completion_ggi,-0.0748,-0.3986,-0.8293,0.3003,10000,12
secondary,C64 completion vs Delta_completion,maximin,c64_completion,delta_completion_maximin,-0.4405,-0.7622,-0.8113,-0.2707,10000,12
