seed,delta_umin_mean,delta_gini_mean,delta_umin_ggi,delta_gini_ggi,delta_umin_maximin,delta_gini_maximin
900101,-0.0039,0.002,-0.0035,-0.0005,-0.0084,0.0041
900102,0.0174,-0.0093,0.0355,-0.0142,-0.0909,0.0475
900103,0.0739,-0.0371,0.0257,-0.0133,0.0776,-0.0447
900104,-0.0279,0.015,-0.1021,0.0521,-0.2195,0.0876
910101,-0.0115,0.0058,-0.0169,0.008,-0.0429,0.0215
910102,-0.6781,0.3395,-0.165,0.0601,-0.1226,0.0439
920101,0.1109,-0.0526,0.0967,-0.0462,0.0922,-0.0441
920102,0.0364,-0.0149,-0.0538,0.0301,0.0876,-0.0403
920103,0.012,-0.0023,0.0003,0.0036,0.0107,-0.002
920104,0.3467,-0.1753,0.1323,-0.0679,0.0964,-0.0501
920105,0.3156,-0.1569,0.3435,-0.1707,0.218,-0.1137
920106,0.0491,-0.0249,-0.1317,0.0682,-0.1903,0.0955
