condition,seed,metric,first_step,first_val,last_step,last_val,delta,slope_per_100k
mean,900101,mean_U_mean,1250000,0.9136,2000000,0.8685,-0.0451,-0.0037
mean,900102,mean_U_mean,1250000,0.8059,2000000,0.8297,0.0237,-0.0042
mean,900103,mean_U_mean,1250000,0.7829,2000000,0.9276,0.1447,0.0152
mean,900104,mean_U_mean,1250000,0.8984,2000000,0.9114,0.0129,0.0062
mean,910101,mean_U_mean,1250000,0.9537,2000000,0.8903,-0.0634,-0.0125
mean,910102,mean_U_mean,1250000,0.7871,2000000,0.7669,-0.0202,-0.0075
mean,920101,mean_U_mean,1250000,0.868,2000000,0.957,0.0889,0.0056
mean,920102,mean_U_mean,1250000,0.7588,2000000,0.8878,0.1289,0.0167
mean,920103,mean_U_mean,1250000,0.9351,2000000,0.9546,0.0195,0.0056
mean,920104,mean_U_mean,1250000,0.6296,2000000,0.7962,0.1665,0.0162
mean,920105,mean_U_mean,1250000,0.8901,2000000,0.9149,0.0248,0.0045
mean,920106,mean_U_mean,1250000,0.8897,2000000,0.8948,0.0051,-0.0025
ggi,900101,ggi_mean,1250000,0.9054,2000000,0.8957,-0.0097,0.0104
ggi,900102,ggi_mean,1250000,0.8837,2000000,0.9174,0.0337,0.0089
ggi,900103,ggi_mean,1250000,0.7692,2000000,0.6865,-0.0827,0.015
ggi,900104,ggi_mean,1250000,0.7858,2000000,0.8609,0.075,0.0032
ggi,910101,ggi_mean,1250000,0.886,2000000,0.7594,-0.1266,-0.0238
ggi,910102,ggi_mean,1250000,0.6805,2000000,0.7149,0.0345,-0.0034
ggi,920101,ggi_mean,1250000,0.8841,2000000,0.8678,-0.0162,0.0076
ggi,920102,ggi_mean,1250000,0.6003,2000000,0.8441,0.2438,0.0029
ggi,920103,ggi_mean,1250000,0.8714,2000000,0.8658,-0.0056,-0.0074
ggi,920104,ggi_mean,1250000,0.485,2000000,0.8852,0.4001,0.0342
ggi,920105,ggi_mean,1250000,0.8681,2000000,0.8881,0.0199,0.0062
ggi,920106,ggi_mean,1250000,0.789,2000000,0.8501,0.061,0.0001
maximin,900101,min_U_mean,1250000,0.2941,2000000,0.4796,0.1856,0.0259
maximin,900102,min_U_mean,1250000,0.9072,2000000,0.6927,-0.2144,-0.0277
maximin,900103,min_U_mean,1250000,0.5735,2000000,0.7883,0.2148,0.0244
maximin,900104,min_U_mean,1250000,0.7427,2000000,0.6506,-0.0921,-0.0353
maximin,910101,min_U_mean,1250000,0.8468,2000000,0.8031,-0.0437,0.0034
maximin,910102,min_U_mean,1250000,0.6772,2000000,0.5084,-0.1688,-0.0069
maximin,920101,min_U_mean,1250000,0.7946,2000000,0.7679,-0.0267,0.0021
maximin,920102,min_U_mean,1250000,0.5384,2000000,0.7023,0.1639,0.0252
maximin,920103,min_U_mean,1250000,0.8745,2000000,0.8712,-0.0034,0.0056
maximin,920104,min_U_mean,1250000,0.3624,2000000,0.8135,0.4511,0.0212
maximin,920105,min_U_mean,1250000,0.7501,2000000,0.6446,-0.1055,0.0008
maximin,920106,min_U_mean,1250000,0.7304,2000000,0.7473,0.0169,0.0049
