run_id,condition,seed,bank,scenario_id,traffic_type,term_reason,completion,collision,timeout,mean_U,min_U,min_U_vehicle,min_U_role,min_U_speed_class,ggi,gini,C_max,C_mean,episode_length,role_V0,speed_class_V0,U_V0,C_V0,role_V1,speed_class_V1,U_V1,C_V1,role_V2,speed_class_V2,U_V2,C_V2,role_V3,speed_class_V3,U_V3,C_V3
baseline_wsc_900103,baseline,900103,H1,H1_00000,heterogeneous,success,1,0,0,1.0,1.0,V1,ramp,fast,1.0,0.0,0.0,0.0,86,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00001,heterogeneous,success,1,0,0,1.0,1.0,V1,ramp,fast,1.0,0.0,0.0,0.0,85,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00002,heterogeneous,success,1,0,0,1.0,1.0,V1,ramp,fast,1.0,0.0,0.0,0.0,84,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,slow,1.0,0.0,mainline,fast,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00003,heterogeneous,collision,0,1,0,0.5,0.0,V0,ramp,slow,0.30000000000000004,0.5,0.0,0.0,75,ramp,slow,0.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,0.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00004,heterogeneous,success,1,0,0,0.9472791118710773,0.8733210557776161,V1,ramp,slow,0.9240670398230544,0.03062992701561603,2.53357888444768,1.0038949976024707,100,ramp,fast,1.0,0.0,ramp,slow,0.8733210557776161,2.53357888444768,mainline,slow,1.0,0.0,mainline,fast,0.915795391706693,1.4820011059622025
baseline_wsc_900103,baseline,900103,H1,H1_00005,heterogeneous,success,1,0,0,0.9461432290509616,0.870735771201649,V1,ramp,slow,0.9224454519813189,0.03130839013324265,2.53357888444768,1.0038949976024707,98,ramp,fast,1.0,0.0,ramp,slow,0.870735771201649,2.53357888444768,mainline,fast,0.9138371450021975,1.4820011059622025,mainline,slow,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00006,heterogeneous,success,1,0,0,0.9954624338191509,0.9818497352766036,V0,ramp,slow,0.9927398941106415,0.0034186871548535966,0.3158146061870973,0.07895365154677432,87,ramp,slow,0.9818497352766036,0.3158146061870973,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00007,heterogeneous,collision,0,1,0,0.5,0.0,V0,ramp,slow,0.30000000000000004,0.5,0.0,0.0,77,ramp,slow,0.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,0.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00008,heterogeneous,success,1,0,0,1.0,1.0,V0,ramp,fast,1.0,0.0,0.0,0.0,84,ramp,fast,1.0,0.0,ramp,slow,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00009,heterogeneous,success,1,0,0,1.0,1.0,V1,ramp,fast,1.0,0.0,0.0,0.0,91,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,slow,1.0,0.0,mainline,fast,1.0,0.0
baseline_wsc_900103,baseline,900103,H1,H1_00010,heterogeneous,success,1,0,0,1.0,1.0,V0,ramp,fast,1.0,0.0,0.0,0.0,92,ramp,fast,1.0,0.0,ramp,slow,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
