run_id,condition,seed,bank,scenario_id,term_reason,completion,collision,timeout,merge_order,role_V0,speed_class_V0,merge_position_V0,hard_brake_count_V0,role_V1,speed_class_V1,merge_position_V1,hard_brake_count_V1,role_V2,speed_class_V2,merge_position_V2,hard_brake_count_V2,role_V3,speed_class_V3,merge_position_V3,hard_brake_count_V3
mean_900101,mean,900101,H0,H0_00000,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,10,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00001,success,1,0,0,V0>V2>V1>V3,ramp,homogeneous,1,0,ramp,homogeneous,3,9,mainline,homogeneous,2,0,mainline,homogeneous,4,1
mean_900101,mean,900101,H0,H0_00002,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,10,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00003,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00004,success,1,0,0,V0>V2>V1>V3,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,2,6,mainline,homogeneous,4,11
mean_900101,mean,900101,H0,H0_00005,success,1,0,0,V0>V3>V2>V1,ramp,homogeneous,1,3,ramp,homogeneous,4,7,mainline,homogeneous,3,2,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00006,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00007,success,1,0,0,V1>V2>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,1,0,mainline,homogeneous,2,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00008,success,1,0,0,V3>V1>V0>V2,ramp,homogeneous,3,1,ramp,homogeneous,2,0,mainline,homogeneous,4,8,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00009,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,0,mainline,homogeneous,4,11,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00010,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,0,ramp,homogeneous,3,9,mainline,homogeneous,1,0,mainline,homogeneous,4,0
mean_900101,mean,900101,H0,H0_00011,success,1,0,0,V0>V3>V2>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,2,5
mean_900101,mean,900101,H0,H0_00012,success,1,0,0,V1>V3>V0>V2,ramp,homogeneous,3,0,ramp,homogeneous,1,2,mainline,homogeneous,4,9,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00013,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,5,mainline,homogeneous,2,5,mainline,homogeneous,3,5
mean_900101,mean,900101,H0,H0_00014,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,2,ramp,homogeneous,4,10,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00015,success,1,0,0,V1>V2>V3>V0,ramp,homogeneous,4,9,ramp,homogeneous,1,0,mainline,homogeneous,2,5,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00016,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,8,ramp,homogeneous,2,1,mainline,homogeneous,3,1,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00017,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,9,mainline,homogeneous,2,5,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00018,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,1,ramp,homogeneous,3,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00019,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,0,ramp,homogeneous,3,7,mainline,homogeneous,1,0,mainline,homogeneous,4,3
mean_900101,mean,900101,H0,H0_00020,success,1,0,0,V3>V0>V1>V2,ramp,homogeneous,2,2,ramp,homogeneous,3,0,mainline,homogeneous,4,11,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00021,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,4,9
mean_900101,mean,900101,H0,H0_00022,success,1,0,0,V2>V0>V1>V3,ramp,homogeneous,2,1,ramp,homogeneous,3,1,mainline,homogeneous,1,0,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00023,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,5,mainline,homogeneous,1,0,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00024,success,1,0,0,V0>V2>V1>V3,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,2,4,mainline,homogeneous,4,10
mean_900101,mean,900101,H0,H0_00025,success,1,0,0,V2>V1>V0>V3,ramp,homogeneous,3,0,ramp,homogeneous,2,0,mainline,homogeneous,1,0,mainline,homogeneous,4,8
mean_900101,mean,900101,H0,H0_00026,success,1,0,0,V1>V3>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,1,2,mainline,homogeneous,3,0,mainline,homogeneous,2,0
mean_900101,mean,900101,H0,H0_00027,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,0,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00028,success,1,0,0,V0>V3>V1>V2,ramp,homogeneous,1,0,ramp,homogeneous,3,2,mainline,homogeneous,4,7,mainline,homogeneous,2,4
mean_900101,mean,900101,H0,H0_00029,success,1,0,0,V3>V0>V2>V1,ramp,homogeneous,2,2,ramp,homogeneous,4,9,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00030,success,1,0,0,V0>V2>V1>V3,ramp,homogeneous,1,0,ramp,homogeneous,3,0,mainline,homogeneous,2,0,mainline,homogeneous,4,11
mean_900101,mean,900101,H0,H0_00031,success,1,0,0,V0>V2>V3>V1,ramp,homogeneous,1,0,ramp,homogeneous,4,10,mainline,homogeneous,2,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00032,success,1,0,0,V2>V1>V3>V0,ramp,homogeneous,4,8,ramp,homogeneous,2,2,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00033,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,10,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
mean_900101,mean,900101,H0,H0_00034,success,1,0,0,V2>V0>V3>V1,ramp,homogeneous,2,1,ramp,homogeneous,4,9,mainline,homogeneous,1,0,mainline,homogeneous,3,0
mean_900101,mean,900101,H0,H0_00035,success,1,0,0,V3>V1>V2>V0,ramp,homogeneous,4,9,ramp,homogeneous,2,0,mainline,homogeneous,3,0,mainline,homogeneous,1,0
