run_id,condition,seed,bank,scenario_id,traffic_type,term_reason,completion,collision,timeout,mean_U,min_U,min_U_vehicle,min_U_role,min_U_speed_class,ggi,gini,C_max,C_mean,episode_length,role_V0,speed_class_V0,U_V0,C_V0,role_V1,speed_class_V1,U_V1,C_V1,role_V2,speed_class_V2,U_V2,C_V2,role_V3,speed_class_V3,U_V3,C_V3
taskonly_900101,taskonly,900101,H0,H0_00000,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,71,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00001,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,68,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00002,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00003,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00004,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00005,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,68,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00006,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00007,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00008,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00009,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,68,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00010,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,68,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00011,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00012,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,68,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00013,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00014,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00015,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00016,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00017,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00018,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,70,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00019,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00020,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00021,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00022,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00023,homogeneous,success,1,0,0,1.0,1.0,V0,ramp,homogeneous,1.0,0.0,0.0,0.0,68,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00024,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00025,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,69,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
taskonly_900101,taskonly,900101,H0,H0_00026,homogeneous,success,1,0,0,1.0,1.0,V1,ramp,homogeneous,1.0,0.0,0.0,0.0,72,ramp,homogeneous,1.0,0.0,ramp,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0,mainline,homogeneous,1.0,0.0
