seed,baseline_completion,delta_completion_ggi,delta_completion_maximin,baseline_umin,delta_umin_ggi,delta_umin_maximin
900101,0.9921875,0.0078125,-0.00390625,0.9921875,0.00041966995758047076,-0.004492352838250113
900102,0.99609375,0.00390625,-0.1171875,0.981079251373143,0.018164722126544852,-0.10824940668010452
900103,0.9765625,-0.046875,-0.0078125,0.9762747905892302,-0.04822194901236165,0.003714252605548918
900104,0.9609375,-0.0703125,-0.296875,0.96484375,-0.07422774361346596,-0.19166258406176817
910101,0.98828125,-0.00390625,-0.03125,0.9881498248762304,-0.005456931858872971,-0.03138450417619698
910102,0.03515625,0.5,0.62109375,0.03515625,0.5130867416883681,0.5555602033716519
920101,1.0,-0.01171875,-0.015625,1.0,-0.014183604126044358,-0.018720124907350533
920102,0.93359375,-0.08984375,0.05078125,0.9330041889706947,-0.09017041186428809,0.0512076453753495
920103,1.0,-0.01171875,0.0,1.0,-0.01171875,-0.001330571061460395
920104,1.0,-0.21484375,-0.25,0.9990045354077368,-0.21438694893910282,-0.25030664657288937
920105,0.97265625,0.02734375,-0.08203125,0.9720088211339595,0.027899084057460444,-0.09762246099126326
920106,0.98046875,-0.18359375,-0.2421875,0.9776768356235785,-0.18080183562357854,-0.2393956517220086
