seed,condition,role_speed_class,mean_burden_success
900101,mean,ramp-fast,0.0
900101,mean,ramp-slow,0.0
900101,mean,mainline-fast,0.0
900101,mean,mainline-slow,0.0
900102,mean,ramp-fast,0.2228127577942525
900102,mean,ramp-slow,0.05409037456585308
900102,mean,mainline-fast,0.19656798265293488
900102,mean,mainline-slow,0.04341401299750172
900103,mean,ramp-fast,0.0
900103,mean,ramp-slow,0.004155274112232021
900103,mean,mainline-fast,0.0
900103,mean,mainline-slow,0.000261686083710562
900104,mean,ramp-fast,0.0
900104,mean,ramp-slow,0.0
900104,mean,mainline-fast,0.0
900104,mean,mainline-slow,0.0
910101,mean,ramp-fast,0.0
910101,mean,ramp-slow,0.0
910101,mean,mainline-fast,0.0017179072487559172
910101,mean,mainline-slow,0.0
910102,mean,ramp-fast,0.0
910102,mean,ramp-slow,0.0
910102,mean,mainline-fast,0.0
910102,mean,mainline-slow,0.0
920101,mean,ramp-fast,0.0
920101,mean,ramp-slow,0.0
920101,mean,mainline-fast,0.0
920101,mean,mainline-slow,0.0
920102,mean,ramp-fast,0.003146237453678214
920102,mean,ramp-slow,0.0
920102,mean,mainline-fast,0.0056075136870622514
920102,mean,mainline-slow,0.0
920103,mean,ramp-fast,0.0
920103,mean,ramp-slow,0.0
920103,mean,mainline-fast,0.0
920103,mean,mainline-slow,0.0
920104,mean,ramp-fast,0.006007247517316797
920104,mean,ramp-slow,0.0
920104,mean,mainline-fast,0.008058124751081247
920104,mean,mainline-slow,0.0
920105,mean,ramp-fast,0.011153368373397261
920105,mean,ramp-slow,0.00031946104797179515
920105,mean,mainline-fast,0.004725981118511091
920105,mean,mainline-slow,0.0
920106,mean,ramp-fast,0.03359197529758928
920106,mean,ramp-slow,0.0
920106,mean,mainline-fast,0.03546666395840992
920106,mean,mainline-slow,0.0
900101,ggi,ramp-fast,0.07711339140033632
900101,ggi,ramp-slow,0.04071544969793059
900101,ggi,mainline-fast,0.06616889469650668
900101,ggi,mainline-slow,0.039544411848883174
900102,ggi,ramp-fast,0.0
900102,ggi,ramp-slow,0.00011215705202295821
900102,ggi,mainline-fast,0.012028570366416223
900102,ggi,mainline-slow,0.0002198576469932832
900103,ggi,ramp-fast,0.00013090332691301974
900103,ggi,ramp-slow,0.012712211125307425
900103,ggi,mainline-fast,0.0
900103,ggi,mainline-slow,0.012808384434614234
900104,ggi,ramp-fast,0.00012653441146369737
900104,ggi,ramp-slow,0.0
900104,ggi,mainline-fast,0.0
900104,ggi,mainline-slow,0.0
910101,ggi,ramp-fast,0.0144263448898637
910101,ggi,ramp-slow,0.0
910101,ggi,mainline-fast,0.010918341491259998
910101,ggi,mainline-slow,0.0
910102,ggi,ramp-fast,0.004553428495790831
910102,ggi,ramp-slow,0.0
910102,ggi,mainline-fast,0.01431335430703833
910102,ggi,mainline-slow,0.0
920101,ggi,ramp-fast,0.020464593198814104
920101,ggi,ramp-slow,0.0
920101,ggi,mainline-fast,0.034359753445527934
920101,ggi,mainline-slow,0.0
920102,ggi,ramp-fast,0.008840511403243675
920102,ggi,ramp-slow,3.9581145457681015e-05
920102,ggi,mainline-fast,0.006137339912981741
920102,ggi,mainline-slow,0.0
920103,ggi,ramp-fast,0.0
920103,ggi,ramp-slow,0.0
920103,ggi,mainline-fast,0.0
920103,ggi,mainline-slow,0.0
920104,ggi,ramp-fast,0.008188115077899991
920104,ggi,ramp-slow,0.0
920104,ggi,mainline-fast,0.009508246254315211
920104,ggi,mainline-slow,0.0
920105,ggi,ramp-fast,0.001397522919543414
920105,ggi,ramp-slow,2.472999772733594e-06
920105,ggi,mainline-fast,0.0
920105,ggi,mainline-slow,0.0
920106,ggi,ramp-fast,0.0
920106,ggi,ramp-slow,0.0
920106,ggi,mainline-fast,0.0
920106,ggi,mainline-slow,0.0
900101,maximin,ramp-fast,0.0015409536289634656
900101,maximin,ramp-slow,0.002569109424035672
900101,maximin,mainline-fast,0.002135413121533522
900101,maximin,mainline-slow,0.0034415753192715663
900102,maximin,ramp-fast,0.04656790926157462
900102,maximin,ramp-slow,0.039714620524607544
900102,maximin,mainline-fast,0.036966334118892344
900102,maximin,mainline-slow,0.026634022122334112
900103,maximin,ramp-fast,0.13860955364345123
900103,maximin,ramp-slow,0.04292851611071982
900103,maximin,mainline-fast,0.3055026458833732
900103,maximin,mainline-slow,0.06540694891807494
900104,maximin,ramp-fast,0.07372758580886125
900104,maximin,ramp-slow,0.03583215506139371
900104,maximin,mainline-fast,0.16953072447788112
900104,maximin,mainline-slow,0.024557472189284515
910101,maximin,ramp-fast,0.0030334327069253928
910101,maximin,ramp-slow,0.0
910101,maximin,mainline-fast,0.002443035381553505
910101,maximin,mainline-slow,0.0
910102,maximin,ramp-fast,1.0437060567245475
910102,maximin,ramp-slow,0.16830404233074261
910102,maximin,mainline-fast,1.590224151755196
910102,maximin,mainline-slow,0.08733881696008525
920101,maximin,ramp-fast,0.02074328358290269
920101,maximin,ramp-slow,0.012705476521437237
920101,maximin,mainline-fast,0.02027388811291668
920101,maximin,mainline-slow,0.009785254723582737
920102,maximin,ramp-fast,0.0012170936197470842
920102,maximin,ramp-slow,0.0
920102,maximin,mainline-fast,0.0009147610681082797
920102,maximin,mainline-slow,0.0
920103,maximin,ramp-fast,0.006654100084550833
920103,maximin,ramp-slow,0.0
920103,maximin,mainline-fast,0.015233849506797566
920103,maximin,mainline-slow,0.0
920104,maximin,ramp-fast,0.0
920104,maximin,ramp-slow,0.00924974744462984
920104,maximin,mainline-fast,0.0
920104,maximin,mainline-slow,0.025300413366582328
920105,maximin,ramp-fast,0.18747214928647285
920105,maximin,ramp-slow,0.028783211959663112
920105,maximin,mainline-fast,0.22686082478404426
920105,maximin,mainline-slow,0.02297443084915433
920106,maximin,ramp-fast,1.3966703183402116e-06
920106,maximin,ramp-slow,0.0
920106,maximin,mainline-fast,0.0
920106,maximin,mainline-slow,0.0
