seed,mean_H0_completion,mean_H0_collision,mean_H0_timeout,mean_H1_completion,mean_H1_collision,mean_H1_timeout,ggi_H1_completion,ggi_H1_collision,ggi_H1_timeout,maximin_H1_completion,maximin_H1_collision,maximin_H1_timeout
900101,0.9844,0.0156,0.0,0.9922,0.0078,0.0,1.0,0.0,0.0,0.9883,0.0117,0.0
900102,1.0,0.0,0.0,0.9961,0.0039,0.0,1.0,0.0,0.0,0.8789,0.1211,0.0
900103,0.5938,0.4062,0.0,0.9766,0.0234,0.0,0.9297,0.0703,0.0,0.9688,0.0312,0.0
900104,0.9688,0.0312,0.0,0.9609,0.0391,0.0,0.8906,0.1094,0.0,0.6641,0.1016,0.2344
910101,1.0,0.0,0.0,0.9883,0.0117,0.0,0.9844,0.0156,0.0,0.957,0.043,0.0
910102,0.0469,0.9531,0.0,0.0352,0.9648,0.0,0.5352,0.3867,0.0781,0.6562,0.3438,0.0
920101,1.0,0.0,0.0,1.0,0.0,0.0,0.9883,0.0117,0.0,0.9844,0.0156,0.0
920102,0.9531,0.0469,0.0,0.9336,0.0664,0.0,0.8438,0.1562,0.0,0.9844,0.0156,0.0
920103,0.9961,0.0039,0.0,1.0,0.0,0.0,0.9883,0.0117,0.0,1.0,0.0,0.0
920104,1.0,0.0,0.0,1.0,0.0,0.0,0.7852,0.2148,0.0,0.75,0.25,0.0
920105,1.0,0.0,0.0,0.9727,0.0273,0.0,1.0,0.0,0.0,0.8906,0.1055,0.0039
920106,0.9961,0.0039,0.0,0.9805,0.0195,0.0,0.7969,0.2031,0.0,0.7383,0.2617,0.0
