condition,seed,step,completion,collision,timeout,q_policy,q_oracle
mean,900101,1250000,0.826,0.165,0.009,0.5342,0.552
mean,900101,1300000,0.77,0.23,0.0,0.4956,0.6668
mean,900101,1350000,0.855,0.136,0.009,0.4843,0.5317
mean,900101,1400000,0.857,0.143,0.0,0.266,0.7026
mean,900101,1450000,0.869,0.131,0.0,0.5026,0.4788
mean,900101,1500000,0.852,0.148,0.0,0.5139,0.3711
mean,900101,1550000,0.688,0.301,0.011,0.397,0.5538
mean,900101,1600000,0.762,0.208,0.03,0.4675,0.6187
mean,900101,1650000,0.77,0.228,0.001,0.4012,0.4215
mean,900101,1700000,0.779,0.211,0.01,0.4041,0.6524
mean,900101,1750000,0.812,0.188,0.0,0.5365,0.5313
mean,900101,1800000,0.821,0.178,0.001,0.4594,0.4879
mean,900101,1850000,0.743,0.253,0.004,0.5219,0.411
mean,900101,1900000,0.842,0.158,0.0,0.5014,0.5175
mean,900101,1950000,0.776,0.214,0.01,0.438,0.5126
mean,900101,2000000,0.733,0.255,0.012,0.4831,0.5241
mean,900102,1250000,0.682,0.256,0.062,0.429,0.4398
mean,900102,1300000,0.841,0.147,0.012,0.5182,0.4954
mean,900102,1350000,0.851,0.124,0.025,0.4992,0.5007
mean,900102,1400000,0.799,0.178,0.023,0.5057,0.3296
mean,900102,1450000,0.713,0.257,0.03,0.4802,0.3742
mean,900102,1500000,0.771,0.219,0.01,0.4982,0.5323
mean,900102,1550000,0.755,0.233,0.012,0.3383,0.4746
mean,900102,1600000,0.772,0.174,0.054,0.4255,0.5011
mean,900102,1650000,0.799,0.163,0.038,0.4966,0.5394
mean,900102,1700000,0.824,0.157,0.019,0.5478,0.5146
mean,900102,1750000,0.786,0.204,0.01,0.4685,0.5155
mean,900102,1800000,0.743,0.245,0.011,0.3551,0.5364
mean,900102,1850000,0.648,0.345,0.007,0.3986,0.6481
mean,900102,1900000,0.788,0.204,0.008,0.4243,0.5411
mean,900102,1950000,0.717,0.282,0.001,0.47,0.4611
mean,900102,2000000,0.706,0.291,0.003,0.2853,0.4542
mean,900103,1250000,0.632,0.282,0.087,0.3651,0.2847
mean,900103,1300000,0.698,0.285,0.017,0.4414,0.3157
