view,checkpoint_step,n_episodes,n_seeds,episode_success,episode_collision,episode_truncation,seed_mean_success,seed_mean_collision,seed_mean_truncation,seed_mean_swap_eligibility,success_ci_low,success_ci_high,collision_ci_low,collision_ci_high,truncation_ci_low,truncation_ci_high,swap_ci_low,swap_ci_high,median_seed_success,iqr_seed_success,min_seed_success,max_seed_success,n_seeds_ge_0_75,n_seeds_ge_0_95,mean_episode_length,median_episode_length,mean_exit_step_agent_0,mean_exit_step_agent_1,passing_mainline_first,passing_ramp_first,passing_no_resolution,fail_success,fail_collision,fail_unilateral_stall,fail_mutual_yielding,fail_downstream_failure,fail_truncation_other
standard16,0,320,20,0.165625,0.15625,0.678125,0.165625,0.15625,0.678125,0.0625,0.059375,0.290625,0.059375,0.26875,0.490625,0.853125,0.0,0.15,0.0,0.265625,0.0,0.875,1,0,286.4625,400.0,52.12621359223301,59.793103448275865,0.075,0.090625,0.834375,0.165625,0.15625,0.0,0.240625,0.4375,0.0
standard16,25000,320,20,0.6125,0.065625,0.321875,0.6125,0.065625,0.321875,0.16875,0.496875,0.721875,0.03125,0.103125,0.221875,0.428125,0.0875,0.2625,0.59375,0.296875,0.0625,1.0,6,2,181.375,80.0,69.66960352422907,69.18222222222222,0.1625,0.45,0.3875,0.6125,0.065625,0.00625,0.125,0.1875,0.003125
standard16,50000,320,20,0.65625,0.0625,0.28125,0.65625,0.0625,0.28125,0.2,0.5125,0.7875,0.028125,0.103125,0.15,0.428125,0.09375,0.30625,0.6875,0.515625,0.0,1.0,9,4,159.3375,68.0,62.623931623931625,60.976,0.25,0.40625,0.34375,0.65625,0.0625,0.0,0.08125,0.2,0.0
standard16,75000,320,20,0.734375,0.065625,0.2,0.734375,0.065625,0.2,0.225,0.6,0.853125,0.028125,0.10625,0.078125,0.340625,0.1125,0.35625,0.8125,0.265625,0.0,1.0,13,4,128.41875,59.0,57.8,59.81818181818182,0.340625,0.39375,0.265625,0.734375,0.065625,0.0,0.03125,0.16875,0.0
standard16,100000,320,20,0.778125,0.103125,0.11875,0.778125,0.103125,0.11875,0.31875,0.65,0.884375,0.059375,0.15,0.01875,0.246875,0.20625,0.4375,0.84375,0.21875,0.0625,1.0,15,5,101.18125,61.0,58.70610687022901,57.12639405204461,0.321875,0.45625,0.221875,0.778125,0.103125,0.0,0.015625,0.103125,0.0
standard16,125000,320,20,0.775,0.0375,0.1875,0.775,0.0375,0.1875,0.2875,0.63125,0.896875,0.0125,0.06875,0.059375,0.3375,0.175,0.40640624999999775,0.9375,0.28125,0.0,1.0,15,6,126.559375,61.0,57.665454545454544,56.09963099630996,0.359375,0.415625,0.225,0.775,0.0375,0.0,0.03125,0.15625,0.0
standard16,150000,320,20,0.784375,0.075,0.140625,0.784375,0.075,0.140625,0.2375,0.69375,0.86875,0.034375,0.125,0.065625,0.228125,0.15625,0.33125,0.875,0.265625,0.3125,1.0,14,3,105.3,57.0,55.54044117647059,54.778195488721806,0.29375,0.490625,0.215625,0.784375,0.075,0.0,0.03125,0.109375,0.0
standard16,175000,320,20,0.803125,0.071875,0.125,0.803125,0.071875,0.125,0.25,0.68125,0.90625,0.028125,0.11875,0.0375,0.23125,0.1375,0.38125,0.9375,0.3125,0.0625,1.0,13,9,104.28125,57.0,56.837037037037035,58.28158844765343,0.403125,0.4,0.196875,0.803125,0.071875,0.0,0.021875,0.103125,0.0
standard16,200000,320,20,0.778125,0.05625,0.165625,0.778125,0.05625,0.165625,0.25,0.646796875,0.890625,0.021875,0.096875,0.0625,0.290625,0.15,0.36875,0.90625,0.34375,0.0,1.0,14,7,118.26875,59.0,57.594795539033456,55.22794117647059,0.325,0.453125,0.221875,0.778125,0.05625,0.0,0.03125,0.134375,0.0
standard16,225000,320,20,0.771875,0.034375,0.19375,0.771875,0.034375,0.19375,0.25625,0.6375,0.8875,0.009375,0.0625,0.0875,0.325,0.13125,0.3875,0.90625,0.34375,0.0,1.0,14,7,128.228125,60.0,56.49034749034749,55.945205479452056,0.31875,0.453125,0.228125,0.771875,0.034375,0.0,0.015625,0.178125,0.0
standard16,250000,320,20,0.790625,0.053125,0.15625,0.790625,0.053125,0.15625,0.26875,0.69375,0.88125,0.028125,0.084375,0.071875,0.25,0.1625,0.3875,0.9375,0.40625,0.4375,1.0,13,6,116.053125,62.0,59.155797101449274,55.87003610108303,0.28125,0.509375,0.209375,0.790625,0.053125,0.0,0.0125,0.14375,0.0
standard16,275000,320,20,0.834375,0.046875,0.11875,0.834375,0.046875,0.11875,0.21875,0.734375,0.921875,0.015625,0.084375,0.04375,0.20625,0.1125,0.3375,0.9375,0.3125,0.25,1.0,14,8,105.609375,61.5,58.400696864111495,58.84057971014493,0.346875,0.4875,0.165625,0.834375,0.046875,0.0,0.028125,0.090625,0.0
standard16,300000,320,20,0.803125,0.025,0.171875,0.803125,0.025,0.171875,0.3,0.678125,0.90625,0.00625,0.05,0.065625,0.303125,0.16875,0.4375,0.90625,0.296875,0.0,1.0,15,8,121.453125,61.0,51.77543859649123,58.886861313868614,0.31875,0.484375,0.196875,0.803125,0.025,0.025,0.00625,0.140625,0.0
standard16,325000,320,20,0.871875,0.05625,0.071875,0.871875,0.05625,0.071875,0.30625,0.790625,0.946875,0.021875,0.1,0.01875,0.1375,0.175,0.45,0.96875,0.203125,0.4375,1.0,16,10,86.85,60.0,56.827586206896555,55.98969072164948,0.315625,0.55625,0.128125,0.871875,0.05625,0.0,0.0,0.071875,0.0
