checkpoint_step,assignment,n,success,collision,truncation,mainline_first,ramp_first,mean_exit_mainline,mean_exit_ramp,swap_disagreement_rate,n_swap_pairs
0,0,160,0.20625,0.1875,0.60625,0.13125,0.075,,,,
0,1,160,0.125,0.125,0.75,0.01875,0.10625,,,,
0,-1,320,0.165625,0.15625,0.678125,0.4528301886792453,0.5471698113207547,59.45185185185185,53.21238938053097,0.14375,160.0
25000,0,160,0.65625,0.1,0.24375,0.1875,0.46875,,,,
25000,1,160,0.56875,0.03125,0.4,0.1375,0.43125,,,,
25000,-1,320,0.6125,0.065625,0.321875,0.2653061224489796,0.7346938775510204,75.6842105263158,64.04526748971193,0.45,160.0
50000,0,160,0.725,0.05,0.225,0.20625,0.51875,,,,
50000,1,160,0.5875,0.075,0.3375,0.29375,0.29375,,,,
50000,-1,320,0.65625,0.0625,0.28125,0.38095238095238093,0.6190476190476191,64.16299559471365,59.66147859922179,0.3375,160.0
75000,0,160,0.69375,0.1125,0.19375,0.3,0.39375,,,,
75000,1,160,0.775,0.01875,0.20625,0.38125,0.39375,,,,
75000,-1,320,0.734375,0.065625,0.2,0.46382978723404256,0.5361702127659574,63.83467741935484,54.30797101449275,0.24375,160.0
100000,0,160,0.775,0.0875,0.1375,0.2875,0.4875,,,,
100000,1,160,0.78125,0.11875,0.1,0.35625,0.425,,,,
100000,-1,320,0.778125,0.103125,0.11875,0.41365461847389556,0.5863453815261044,59.68821292775665,56.156716417910445,0.23125,160.0
125000,0,160,0.73125,0.025,0.24375,0.26875,0.4625,,,,
125000,1,160,0.81875,0.05,0.13125,0.45,0.36875,,,,
125000,-1,320,0.775,0.0375,0.1875,0.4637096774193548,0.5362903225806451,59.0625,54.72992700729927,0.225,160.0
150000,0,160,0.75625,0.04375,0.2,0.2625,0.49375,,,,
150000,1,160,0.8125,0.10625,0.08125,0.325,0.4875,,,,
150000,-1,320,0.784375,0.075,0.140625,0.3745019920318725,0.6254980079681275,58.675090252707584,51.4367816091954,0.28125,160.0
175000,0,160,0.7625,0.08125,0.15625,0.3375,0.425,,,,
175000,1,160,0.84375,0.0625,0.09375,0.46875,0.375,,,,
175000,-1,320,0.803125,0.071875,0.125,0.5019455252918288,0.4980544747081712,60.706713780918726,54.20454545454545,0.24375,160.0
200000,0,640,0.7375,0.09375,0.16875,0.30625,0.43125,,,,
200000,1,640,0.81875,0.01875,0.1625,0.34375,0.475,,,,
200000,-1,1280,0.778125,0.05625,0.165625,0.41767068273092367,0.5823293172690763,59.21641791044776,53.64468864468864,0.25625,640.0
225000,0,640,0.70625,0.00625,0.2875,0.2875,0.41875,,,,
225000,1,640,0.8375,0.0625,0.1,0.35,0.4875,,,,
225000,-1,1280,0.771875,0.034375,0.19375,0.41295546558704455,0.5870445344129555,58.55925925925926,53.93594306049822,0.23125,640.0
250000,0,640,0.8,0.05,0.15,0.25625,0.54375,,,,
250000,1,640,0.78125,0.05625,0.1625,0.30625,0.475,,,,
250000,-1,1280,0.790625,0.053125,0.15625,0.3557312252964427,0.6442687747035574,57.291512915129154,57.719858156028366,0.30625,640.0
275000,0,640,0.9125,0.025,0.0625,0.36875,0.54375,,,,
275000,1,640,0.75625,0.06875,0.175,0.325,0.43125,,,,
275000,-1,1280,0.834375,0.046875,0.11875,0.4157303370786517,0.5842696629213483,62.01111111111111,55.48805460750853,0.26875,640.0
300000,0,640,0.74375,0.025,0.23125,0.38125,0.3625,,,,
300000,1,640,0.8625,0.025,0.1125,0.25625,0.60625,,,,
300000,-1,1280,0.803125,0.025,0.171875,0.3968871595330739,0.603112840466926,57.30960854092527,53.19064748201439,0.25625,640.0
325000,0,640,0.86875,0.0625,0.06875,0.31875,0.55,,,,
325000,1,640,0.875,0.05,0.075,0.3125,0.5625,,,,
325000,-1,1280,0.871875,0.05625,0.071875,0.36200716845878134,0.6379928315412187,59.222972972972975,53.48421052631579,0.21875,640.0
350000,0,640,0.79375,0.0375,0.16875,0.3625,0.43125,,,,
350000,1,640,0.88125,0.05,0.06875,0.33125,0.55,,,,
350000,-1,1280,0.8375,0.04375,0.11875,0.4141791044776119,0.585820895522388,57.24221453287197,52.996428571428574,0.225,640.0
375000,0,640,0.9,0.04375,0.05625,0.45,0.44375,,,,
375000,1,640,0.7875,0.0375,0.175,0.375,0.4125,,,,
375000,-1,1280,0.84375,0.040625,0.115625,0.4888888888888889,0.5074074074074074,55.42508710801394,55.1,0.2125,640.0
400000,0,640,0.7375,0.09375,0.16875,0.36875,0.36875,,,,
400000,1,640,0.7875,0.09375,0.11875,0.3875,0.4,,,,
400000,-1,1280,0.7625,0.09375,0.14375,0.4959016393442623,0.5040983606557377,58.231617647058826,55.25868725868726,0.2625,640.0
