seed,condition,regime,n_episodes,n_completion,n_collision
900101,baseline,original,256,255,1
900101,baseline,wsc,256,220,36
900101,mean,original,256,254,2
900101,mean,wsc,256,248,8
900101,ggi,original,256,256,0
900101,ggi,wsc,256,248,8
900101,maximin,original,256,253,3
900101,maximin,wsc,256,231,25
900102,baseline,original,256,250,6
900102,baseline,wsc,256,248,8
900102,mean,original,256,255,1
900102,mean,wsc,256,254,2
900102,ggi,original,256,256,0
900102,ggi,wsc,256,252,4
900102,maximin,original,256,225,31
900102,maximin,wsc,256,244,12
900103,baseline,original,256,231,25
900103,baseline,wsc,256,216,40
900103,mean,original,256,250,6
900103,mean,wsc,256,103,146
900103,ggi,original,256,238,18
900103,ggi,wsc,256,239,17
900103,maximin,original,256,248,8
900103,maximin,wsc,256,221,35
