seed,condition,regime,n_episodes,n_completion,n_collision
900104,baseline,original,256,255,1
900104,baseline,wsc,256,254,2
900104,mean,original,256,246,10
900104,mean,wsc,256,249,7
900104,ggi,original,256,228,28
900104,ggi,wsc,256,188,68
900104,maximin,original,256,170,26
900104,maximin,wsc,256,248,8
910101,baseline,original,256,256,0
910101,baseline,wsc,256,255,1
910101,mean,original,256,253,3
910101,mean,wsc,256,241,11
910101,ggi,original,256,252,4
910101,ggi,wsc,256,241,13
910101,maximin,original,256,245,11
910101,maximin,wsc,256,255,1
910102,baseline,original,256,183,73
910102,baseline,wsc,256,127,129
910102,mean,original,256,9,247
910102,mean,wsc,256,192,64
910102,ggi,original,256,137,99
910102,ggi,wsc,256,251,5
910102,maximin,original,256,168,88
910102,maximin,wsc,256,59,197
