seed,condition,regime,n_episodes,n_completion,n_collision
920101,baseline,original,256,230,26
920101,baseline,wsc,256,205,51
920101,mean,original,256,256,0
920101,mean,wsc,256,253,3
920101,ggi,original,256,253,3
920101,ggi,wsc,256,256,0
920101,maximin,original,256,252,4
920101,maximin,wsc,256,254,2
920102,baseline,original,256,228,28
920102,baseline,wsc,256,217,39
920102,mean,original,256,239,17
920102,mean,wsc,256,140,116
920102,ggi,original,256,216,40
920102,ggi,wsc,256,251,5
920102,maximin,original,256,252,4
920102,maximin,wsc,256,87,169
920103,baseline,original,256,256,0
920103,baseline,wsc,256,247,9
920103,mean,original,256,256,0
920103,mean,wsc,256,237,19
920103,ggi,original,256,253,3
920103,ggi,wsc,256,252,4
920103,maximin,original,256,256,0
920103,maximin,wsc,256,244,12
