seed,condition,regime,n_episodes,n_completion,n_collision
920104,baseline,original,256,166,90
920104,baseline,wsc,256,223,33
920104,mean,original,256,256,0
920104,mean,wsc,256,206,48
920104,ggi,original,256,201,55
920104,ggi,wsc,256,231,25
920104,maximin,original,256,192,64
920104,maximin,wsc,256,232,24
920105,baseline,original,256,169,87
920105,baseline,wsc,256,217,39
920105,mean,original,256,249,7
920105,mean,wsc,256,170,86
920105,ggi,original,256,256,0
920105,ggi,wsc,256,255,1
920105,maximin,original,256,228,27
920105,maximin,wsc,256,238,18
920106,baseline,original,256,238,18
920106,baseline,wsc,256,204,52
920106,mean,original,256,251,5
920106,mean,wsc,256,254,2
920106,ggi,original,256,204,52
920106,ggi,wsc,256,250,6
920106,maximin,original,256,189,67
920106,maximin,wsc,256,246,10
