seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,recv_opp_worse,recv_yield_worse,priority_pairs,priority_to_worse_off,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,worst_off_samples,recovery_n_k10,recovery_sum_k10,gapclosure_sum_k10,recovery_n_k25,recovery_sum_k25,gapclosure_sum_k25,recovery_n_k50,recovery_sum_k50,gapclosure_sum_k50
920104,baseline,original,ALL,314.0,134506.0,164.0,17683.0,314.0,164.0,0,0,314.0,134506.0,23.0,2601.0,161.0,8.0,-0.002432338722614835,-0.002432338722614835,0,0,0,0,0,0
920104,baseline,original,mainline-fast,94.0,34481.0,82.0,3943.0,85.0,8.0,0.0,0.0,94.0,34481.0,1.0,756.0,42.0,8.0,-0.002432338722614835,-0.002432338722614835,0.0,0.0,0.0,0.0,0.0,0.0
920104,baseline,original,mainline-slow,50.0,33391.0,7.0,4973.0,164.0,145.0,0.0,0.0,50.0,33391.0,1.0,403.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920104,baseline,original,ramp-fast,106.0,32797.0,72.0,3207.0,56.0,5.0,0.0,0.0,106.0,32797.0,21.0,743.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920104,baseline,original,ramp-slow,64.0,33837.0,3.0,5560.0,9.0,6.0,0.0,0.0,64.0,33837.0,0.0,699.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920104,baseline,wsc,ALL,138.0,141500.0,20.0,30158.0,138.0,20.0,0,0,138.0,141500.0,12.0,694.0,100.0,26.0,-0.3685796528881242,-0.2466561279055408,3.0,-0.038602905584159464,-0.03586356384245504,0,0,0
920104,baseline,wsc,mainline-fast,52.0,35209.0,4.0,7825.0,69.0,16.0,0.0,0.0,52.0,35209.0,6.0,222.0,47.0,7.0,-0.16044844072659625,-0.09224097872254067,0.0,0.0,0.0,0.0,0.0,0.0
920104,baseline,wsc,mainline-slow,19.0,35253.0,0.0,6651.0,0.0,0.0,0.0,0.0,19.0,35253.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920104,baseline,wsc,ramp-fast,46.0,35326.0,16.0,8663.0,69.0,4.0,0.0,0.0,46.0,35326.0,6.0,292.0,53.0,19.0,-0.20813121216152797,-0.15441514918300014,3.0,-0.038602905584159464,-0.03586356384245504,0.0,0.0,0.0
920104,baseline,wsc,ramp-slow,21.0,35712.0,0.0,7019.0,0.0,0.0,0.0,0.0,21.0,35712.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
