CI95_high,CI95_low,analysis,condition,holm_adjusted_p,mean,median,metric,n_negative,n_positive,n_used,note,raw_p_bootstrap,reject_at_alpha05,sd
2.917226099606848,-0.6293419827970911,primary_n12,mean,0.57,0.9642617192990324,0.13985402559673815,RY,3,3,6,,0.285,False,2.4125897648482737
1.7544501180992103,-0.10353582718054781,primary_n12,ggi,0.2688,0.8041632541664351,0.7993761197945514,RY,2,5,7,,0.0896,False,1.3568954920982343
2.184352671686374,-1.9999106342293784,primary_n12,maximin,0.8974,0.12446003893251954,0.2699116420029002,RY,3,4,7,,0.8974,False,3.0800052558530755
2.917226099606848,-0.6293419827970911,sensitivity_n11_excl_910102,mean,0.57,0.9642617192990324,0.13985402559673815,RY,3,3,6,,0.285,False,2.4125897648482737
1.7544501180992103,-0.10353582718054781,sensitivity_n11_excl_910102,ggi,0.2688,0.8041632541664351,0.7993761197945514,RY,2,5,7,,0.0896,False,1.3568954920982343
2.184352671686374,-1.9999106342293784,sensitivity_n11_excl_910102,maximin,0.8974,0.12446003893251954,0.2699116420029002,RY,3,4,7,,0.8974,False,3.0800052558530755
,,primary_n12,mean,,,,P_priority_worse,,,0,insufficient finite seeds for interaction -- descriptive only,,,
,,primary_n12,ggi,,,,P_priority_worse,,,0,insufficient finite seeds for interaction -- descriptive only,,,
,,primary_n12,maximin,,,,P_priority_worse,,,1,insufficient finite seeds for interaction -- descriptive only,,,
,,sensitivity_n11_excl_910102,mean,,,,P_priority_worse,,,0,insufficient finite seeds for interaction -- descriptive only,,,
,,sensitivity_n11_excl_910102,ggi,,,,P_priority_worse,,,0,insufficient finite seeds for interaction -- descriptive only,,,
,,sensitivity_n11_excl_910102,maximin,,,,P_priority_worse,,,1,insufficient finite seeds for interaction -- descriptive only,,,
2.5743247987488505,-6.563271004982884,primary_n12,mean,0.8984,-1.5403993995820626,-0.9079079086949021,BC,3,3,6,,0.536,False,6.424581819331191
2.550496814916373,-10.519423946372907,primary_n12,ggi,0.8984,-2.913878859262515,-0.41383569283479776,BC,5,2,7,,0.4492,False,9.899054437533584
2.1433844755399174,-41.67705217771554,primary_n12,maximin,0.5369999999999999,-14.78324870867341,0.13783752654384407,BC,3,4,7,,0.179,False,34.859808080291295
2.5743247987488505,-6.563271004982884,sensitivity_n11_excl_910102,mean,0.8984,-1.5403993995820626,-0.9079079086949021,BC,3,3,6,,0.536,False,6.424581819331191
2.550496814916373,-10.519423946372907,sensitivity_n11_excl_910102,ggi,0.8984,-2.913878859262515,-0.41383569283479776,BC,5,2,7,,0.4492,False,9.899054437533584
2.1433844755399174,-41.67705217771554,sensitivity_n11_excl_910102,maximin,0.5369999999999999,-14.78324870867341,0.13783752654384407,BC,3,4,7,,0.179,False,34.859808080291295
0.015056685101029596,-0.014734502625697957,primary_n12,mean,1.0,3.651805138225744e-05,-0.005595138641661996,GapClosure_k25,3,2,5,,0.9494,False,0.01988048829627941
0.023881441438584384,-0.020260364510964027,primary_n12,ggi,1.0,0.003218288383302297,0.009039634417762123,GapClosure_k25,2,4,6,,0.7546,False,0.030501391131973307
0.023220118803813153,-0.037600037135970404,primary_n12,maximin,1.0,-0.004631945280646654,0.002615847888463938,GapClosure_k25,2,2,4,,0.8062,False,0.03770035785734525
0.015056685101029596,-0.014734502625697957,sensitivity_n11_excl_910102,mean,1.0,3.651805138225744e-05,-0.005595138641661996,GapClosure_k25,3,2,5,,0.9494,False,0.01988048829627941
0.023881441438584384,-0.020260364510964027,sensitivity_n11_excl_910102,ggi,1.0,0.003218288383302297,0.009039634417762123,GapClosure_k25,2,4,6,,0.7546,False,0.030501391131973307
0.023220118803813153,-0.037600037135970404,sensitivity_n11_excl_910102,maximin,1.0,-0.004631945280646654,0.002615847888463938,GapClosure_k25,2,2,4,,0.8062,False,0.03770035785734525
