seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,P_yield_given_worse,P_yield_given_better,RY,priority_pairs,priority_to_worse_off,P_priority_worse,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,rate_burden_worse,rate_burden_better,BC,worst_off_samples,recovery_n_k10,Recovery_k10,GapClosure_k10,recovery_n_k25,Recovery_k25,GapClosure_k25,recovery_n_k50,Recovery_k50,GapClosure_k50
900101,baseline,original,ALL,0.0,142151.0,0.0,7084.0,nan,0.04983433109862048,nan,0.0,0.0,nan,0.0,142151.0,0.0,492.0,nan,0.0034611082581198866,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900101,baseline,wsc,ALL,0.0,118328.0,0.0,1015.0,nan,0.008577851396119262,nan,0.0,0.0,nan,0.0,118328.0,0.0,274.0,nan,0.0023155973226962343,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900101,mean,original,ALL,0.0,143498.0,0.0,34277.0,nan,0.2388674406611939,nan,0.0,0.0,nan,0.0,143498.0,0.0,907.0,nan,0.006320645583910577,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900101,mean,wsc,ALL,6807.0,123163.0,443.0,9786.0,0.06508006463934185,0.07945568068332211,0.8190737789878663,0.0,0.0,nan,6807.0,123163.0,348.0,804.0,0.05112384310268841,0.006527934525791025,7.831549612010463,3780.0,3732.0,-1.7088453893218397e-05,0.0009552819370837232,2568.0,0.000801844602009445,0.0033502302847033764,563.0,-0.0008984441388579403,0.00634965804650626
900101,ggi,original,ALL,20331.0,106446.0,614.0,11290.0,0.03020018690669421,0.10606316817917066,0.2847377409627964,120.0,0.0,0.0,20331.0,106446.0,457.0,1084.0,0.022477989277458067,0.010183567254758281,2.2072804858194663,5260.0,5250.0,0.0059191902875671545,0.0049314551310735665,3713.0,0.013749200725556564,0.011327351702040502,459.0,0.03112865641157543,0.028732572257946034
900101,ggi,wsc,ALL,17.0,114601.0,0.0,4284.0,0.0,0.03738187275852741,0.0,0.0,0.0,nan,17.0,114601.0,0.0,161.0,0.0,0.001404874303016553,0.0,19.0,19.0,0.00017393886194502626,0.00017393886194502626,7.0,0.00036065689889308583,0.00036065689889308583,0.0,nan,nan
900101,maximin,original,ALL,12102.0,119689.0,272.0,4113.0,0.02247562386382416,0.034364060189323996,0.654044479610321,11.0,0.0,0.0,12102.0,119689.0,42.0,384.0,0.0034705007436787306,0.003208314882737762,1.0817207383077176,2781.0,2751.0,0.0009455332245784563,0.0008810892366464838,1751.0,0.0021403865610720046,0.001983566725938435,2.0,0.0021385735186985055,0.0021385735186985055
900101,maximin,wsc,ALL,3150.0,120306.0,4.0,3791.0,0.0012698412698412698,0.031511312818978274,0.04029794877592292,0.0,0.0,nan,3150.0,120306.0,5.0,277.0,0.0015873015873015873,0.0023024620550928464,0.6893931579852158,1361.0,1222.0,0.000602629011186447,0.0007014873517061696,756.0,0.0015942863129389734,0.0017496167538955457,58.0,0.0020590315795032716,0.0035691235825968228
900102,baseline,original,ALL,14255.0,118542.0,1465.0,6842.0,0.10277095755875132,0.05771793963321017,1.780572179323224,210.0,0.0,0.0,14255.0,118542.0,1144.0,1633.0,0.08025254296737987,0.013775708187815289,5.825656428927829,3686.0,3592.0,0.0022698625489062513,0.005364552948254413,2486.0,0.006008699662541331,0.013409299697999854,588.0,-0.004649109063509481,0.03521450396988361
900102,baseline,wsc,ALL,5727.0,132236.0,145.0,11427.0,0.02531866596822071,0.0864136846244593,0.29299370902018324,0.0,0.0,nan,5727.0,132236.0,6.0,957.0,0.0010476689366160294,0.007237061012129829,0.14476441954269306,1708.0,1505.0,0.0006962147526327318,0.0006962147526327318,830.0,0.0016927383051783982,0.0016927383051783982,0.0,nan,nan
900102,mean,original,ALL,12497.0,114861.0,542.0,5103.0,0.04337040889813555,0.04442761250555018,0.9762039068094744,47.0,22.0,0.46808510638297873,12497.0,114861.0,206.0,710.0,0.016483956149475874,0.006181384455994637,2.666709418711195,4272.0,4208.0,0.012590397305023721,0.010418742614545942,2864.0,0.034907440382788646,0.02856894757565329,444.0,0.10451046541342675,0.0952526157072419
