analysis,outcome,condition,n,mean,median,sd,n_positive,n_negative,n_zero,CI95_low,CI95_high,raw_p_bootstrap,holm_adjusted_p,reject_at_alpha05
primary_n12,U_min,mean,12,-0.048836,-0.02445,0.38462,5,7,0,-0.236055,0.175424,0.6164,1.0,False
primary_n12,U_min,ggi,12,0.073534,0.046644,0.230323,7,5,0,-0.037448,0.209031,0.2444,0.7332,False
primary_n12,U_min,maximin,12,-0.018421,0.002328,0.229659,6,6,0,-0.151516,0.096533,0.7878,1.0,False
primary_n12,Gini,mean,12,0.023435,0.009863,0.193488,6,6,0,-0.089272,0.117801,0.6328,1.0,False
primary_n12,Gini,ggi,12,-0.037938,-0.023814,0.109281,5,7,0,-0.101481,0.015588,0.206,0.618,False
primary_n12,Gini,maximin,12,0.012593,-0.002877,0.113935,6,6,0,-0.044317,0.07856,0.699,1.0,False
sensitivity_n11_excl_910102,U_min,mean,11,-0.137238,-0.047212,0.244068,4,7,0,-0.278448,-0.005639,0.0404,0.1212,False
sensitivity_n11_excl_910102,U_min,ggi,11,0.021181,0.019188,0.148911,6,5,0,-0.061024,0.105693,0.6594,1.0,False
sensitivity_n11_excl_910102,U_min,maximin,11,-0.006836,0.027704,0.237162,6,5,0,-0.153674,0.11441,0.958,1.0,False
sensitivity_n11_excl_910102,Gini,mean,11,0.067791,0.020366,0.123333,6,5,0,0.001545,0.13956,0.0452,0.1356,False
sensitivity_n11_excl_910102,Gini,ggi,11,-0.013906,-0.013331,0.074253,5,6,0,-0.05576,0.027183,0.5444,1.0,False
sensitivity_n11_excl_910102,Gini,maximin,11,0.005548,-0.013794,0.116723,5,6,0,-0.053482,0.077541,0.9112,1.0,False
