episode,epsilon,episode_reward,steps,collision,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,time_to_merge
0,1.0,0.554891078794277,13,0,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,13
1,0.9762,0.47405855551566733,13,0,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,13
2,0.9525,0.4853402282151898,18,0,7.7787493724702905,6.315326616470428,1.0,0.0,0,18
3,0.9287,0.8823167728999972,24,0,7.764791737739166,6.451184076218155,1.0,0.0,0,24
4,0.905,-0.7588934914633698,7,1,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,100
5,0.8812,0.5000735688227701,17,0,8.064473349433653,6.883218456738471,1.0,0.0,0,17
6,0.8575,0.4705534448356584,13,0,8.667840624432086,7.865997901775687,0.7532485488065201,0.07036978623522883,0,13
7,0.8337,0.7609583901606508,14,0,10.767650374263377,9.134063641087467,0.6701372494450786,0.09875318650144527,0,14
8,0.81,-0.6897212131422311,17,1,10.172865454638078,9.271556045647241,0.019499004864043115,0.4781005233349447,1,100
9,0.7863,0.42948301172130177,10,0,9.893234329703748,9.398518971149127,1.0,0.0,0,10
