episode,epsilon,episode_reward,episode_length,merge_completed,merge_failed,collision,truncated,time_to_merge,termination_reason,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied
0,1.0,1.554891078794277,13,1,0,0,0,13,merge_completed,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0
1,0.9762,1.4740585555156673,13,1,0,0,0,13,merge_completed,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0
2,0.9525,1.4853402282151897,18,1,0,0,0,18,merge_completed,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0
3,0.9287,1.8823167728999972,24,1,0,0,0,24,merge_completed,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0
4,0.905,-0.7588934914633698,7,0,0,1,0,,collision,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0
5,0.8812,1.5000735688227702,17,1,0,0,0,17,merge_completed,8.064473349433653,6.883218456738471,1.0,0.0,0,1,0
6,0.8575,1.4546807239534438,12,1,0,0,0,12,merge_completed,9.110506395092154,8.409578559243242,0.44021567647454135,0.19434044937482464,0,1,0
7,0.8337,0.6790254175750149,14,1,0,1,0,14,merge_completed,10.22998523535816,9.1568770636985,0.4398173527579984,0.1945325378142444,0,1,0
8,0.81,1.481565533067359,13,1,0,0,0,13,merge_completed,9.165468531884306,8.278488966074029,0.8862335550049766,0.030157040917110356,0,1,0
9,0.7863,1.4940152893174932,13,1,0,0,0,13,merge_completed,9.112701464966197,8.53469197723592,1.0,0.0,0,1,0
10,0.7625,1.0180688804320892,43,1,0,0,0,43,merge_completed,-3.013946172249943,-7.288051718920515,-18.0,0.5,0,1,0
11,0.7388,-0.6888069675845978,9,0,0,1,0,,collision,9.724139253941594,9.045054362916437,0.2957177713678495,0.23073207216814517,1,0,0
12,0.715,1.4991522278350613,19,1,0,0,0,19,merge_completed,7.454288109127486,6.171200741343468,0.8111877401231322,0.05212387862785306,0,1,0
13,0.6913,1.5208544010218747,26,1,0,0,0,26,merge_completed,5.847925666099417,3.110657150911354,0.7742801193600712,0.06360886259643683,0,1,0
14,0.6675,1.4285057761506526,12,1,0,0,0,12,merge_completed,8.728745164853988,8.062403405462378,0.6074413102362197,0.12210669442920175,0,1,0
15,0.6438,1.4417319514165654,12,1,0,0,0,12,merge_completed,9.145160703528434,8.470035706054793,0.33102193705836147,0.25130241820811783,0,1,0
16,0.62,1.5027852522221121,16,1,0,0,0,16,merge_completed,8.095887968742456,6.922031789782783,1.0,0.0,0,1,0
17,0.5962,-2.5882941983117536,6,0,0,1,0,,collision,10.67198815376929,9.63764738283482,0.005128678004324648,0.49489749112073134,1,0,0
18,0.5725,1.4107187688296927,10,1,0,0,0,10,merge_completed,9.96582606255928,9.238430627030196,0.4707491000892512,0.16412653776272434,0,1,0
19,0.5488,-0.7847478834184249,5,0,0,1,0,,collision,10.92325265402294,10.115090077168627,0.17485054131290617,0.35117209792701876,1,0,0
20,0.525,1.4909205773557557,22,1,0,0,0,22,merge_completed,7.1488299194599785,5.46291433959778,0.9001033345972125,0.02628716648822782,0,1,0
21,0.5012,1.4772148680358144,13,1,0,0,0,13,merge_completed,8.791686364956453,8.029987721949054,1.0,0.0,0,1,0
22,0.4775,-0.6001765375405257,9,0,0,1,0,,collision,9.598993670898407,8.376107944009691,0.2451869776949822,0.30309224069395735,0,0,0
23,0.4538,1.503948649333879,13,1,0,0,0,13,merge_completed,8.744615923629503,8.097774571845257,1.0,0.0,0,1,0
24,0.43,-0.7919413910723465,8,0,0,1,0,,collision,9.618759912850445,8.592604511109295,0.09137554353966094,0.41627488440569005,2,0,0
25,0.4062,0.41685788532419116,10,1,0,1,0,10,merge_completed,10.289754227395324,9.525914120156092,0.12475845275488154,0.3890797820195888,1,1,0
26,0.3825,1.4683616053077544,12,1,0,0,0,12,merge_completed,8.856195143553316,8.33146603317037,1.0,0.0,0,1,0
27,0.3588,1.4615697019411773,11,1,0,0,0,11,merge_completed,9.797906728151357,9.272403086074016,0.489063158056108,0.17156318695403505,0,1,0
