episode,epsilon,episode_reward,episode_length,merge_completed,merge_failed,collision,truncated,time_to_merge,termination_reason,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied
0,1.0,116.40182305428532,13,1,0,0,0,13,merge_completed,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0
1,0.9762,106.90008582888304,13,1,0,0,0,13,merge_completed,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0
2,0.9525,114.67587909646771,18,1,0,0,0,18,merge_completed,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0
3,0.9287,155.82841782923572,24,1,0,0,0,24,merge_completed,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0
4,0.905,65.84801001213181,7,0,0,1,0,,collision,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0
5,0.8812,108.51054576435942,13,1,0,0,0,13,merge_completed,8.996600046266233,8.270041981873801,1.0,0.0,0,1,0
6,0.8575,71.258835941479,8,1,0,0,0,8,merge_completed,11.107903898373795,8.782354492684876,0.7168574228019039,0.08245954889370166,0,1,0
7,0.8337,114.60570180616176,13,1,0,0,0,13,merge_completed,10.843130766850058,8.73890013893552,0.31645708173312903,0.22620653450908468,0,1,0
8,0.81,97.9094495181296,10,1,0,0,0,10,merge_completed,10.454760847152855,9.690944951812961,0.177897225572828,0.3489705029347414,1,1,0
9,0.7863,154.91983338744484,17,1,0,1,0,17,merge_completed,9.993735154433622,9.054107846320285,0.032068518815507145,0.4689279168670779,1,1,0
10,0.7625,79.54129408634138,9,0,0,1,0,,collision,9.807007338528942,8.837921565149042,0.04733361493153081,0.4548055994224671,1,0,0
11,0.7388,103.42255447833637,17,1,0,1,0,17,merge_completed,8.498460967447258,6.024856145784492,-1.8587969437398701,0.5,1,1,0
12,0.715,99.79601838598572,28,1,0,0,0,28,merge_completed,6.014712222220483,3.5284292280709186,0.1411908324528467,0.31497669641859494,1,1,0
13,0.6913,94.55063905516592,11,1,0,1,0,11,merge_completed,9.950116667408919,8.504603550469628,0.052451407662065984,0.45016263242159327,2,1,0
14,0.6675,107.04021399161427,13,1,0,0,0,13,merge_completed,8.666064293018135,8.156939537816482,0.5074413102362196,0.16337574352615958,0,1,0
15,0.6438,108.07964150219864,12,1,0,0,0,12,merge_completed,11.348789350671886,8.923303458516553,0.1863424399068134,0.34292693775546756,1,1,0
16,0.62,69.80877820870803,8,0,0,1,0,,collision,10.662214581754771,8.726097276088504,0.012011169640305864,0.48174456067716065,2,0,0
17,0.5962,100.77171392440765,11,1,0,0,0,11,merge_completed,11.287987011318442,9.070155811309787,0.24384036802632725,0.30396168648775834,0,1,0
18,0.5725,130.81127644607074,18,1,0,1,0,18,merge_completed,10.007740435088014,7.211737580337263,0.009006127115116091,0.4901803200787689,1,1,0
19,0.5488,140.79261612580683,14,1,0,0,0,14,merge_completed,11.81437423148965,9.985186866129059,0.11610154304669709,0.395975824269746,1,1,0
20,0.525,84.51798968923927,10,1,0,1,0,10,merge_completed,10.16430563987745,8.351798968923926,0.11401736886192307,0.38931425765957006,1,1,0
21,0.5012,67.76905525194871,18,1,0,0,0,18,merge_completed,8.736155170209953,3.709391958441595,1.0,0.0,0,1,0
22,0.4775,49.61219470155318,6,0,0,1,0,,collision,10.95207726937135,8.26869911692553,0.5378849548378637,0.15024369791394987,0,0,0
23,0.4538,99.28793491285752,13,1,0,0,0,13,merge_completed,8.64695342180119,7.560610377912117,1.0,0.0,0,1,0
24,0.43,60.42301534597867,7,0,0,1,0,,collision,9.954500851617059,8.63185933513981,0.05488543836117641,0.44797023793745416,1,0,0
25,0.4062,80.06059019001368,8,1,0,1,0,8,merge_completed,11.574715520579748,9.88257377375171,0.43141261663109576,0.19861058117089403,0,1,0
26,0.3825,57.008257608300994,7,0,0,1,0,,collision,9.72203610550237,8.144036801185857,0.0856188842267366,0.42113357139349916,2,0,0
27,0.3588,87.15568416226174,9,1,0,1,0,9,merge_completed,11.378481215845358,9.572853795806859,0.03613196134968373,0.46512803127642366,1,1,0
28,0.335,42.76844411205076,21,1,0,0,0,21,merge_completed,7.161001624703742,1.9889735291452741,1.0,0.0,0,1,0
29,0.3113,111.3176312841014,18,1,0,0,0,18,merge_completed,9.277436155061825,6.128757293561189,1.0,0.0,0,1,0
30,0.2875,64.83158069345824,7,0,0,1,0,,collision,11.62166469374956,9.261654384779748,0.538037625899624,0.15017915242163404,0,0,0
31,0.2638,53.328964253529605,6,0,0,1,0,,collision,10.891987707792872,8.888160708921601,0.04657263416954519,0.4013881578137941,1,0,0
32,0.24,63.51137550350156,8,0,0,1,0,,collision,9.96314218140678,7.938921937937695,0.11991463363494945,0.39292520158814437,1,0,0
33,0.2163,51.11934383707861,5,0,0,1,0,,collision,12.096202565458018,10.223868767415722,0.11108152374862565,0.39751066897580367,1,0,0
34,0.1925,58.79732400599124,6,0,0,1,0,,collision,11.745067235614785,9.79955400099854,0.04228896386409618,0.41267960811494375,1,0,0
35,0.1688,133.09363160515653,15,1,0,0,0,15,merge_completed,11.520452179411718,8.806242107010435,1.0,0.0,0,1,0
36,0.145,80.55039619980005,9,1,0,0,0,9,merge_completed,10.50457138685136,8.838932911088895,0.08651042659383176,0.4203777299542,1,1,0
37,0.1212,46.24230080874469,5,0,0,1,0,,collision,11.278617376007396,9.248460161748937,0.27536448774104577,0.2840895756563073,0,0,0
38,0.0975,69.9045872303233,7,0,0,1,0,,collision,11.79278761924218,9.9863696043319,0.06847666045007396,0.43591187998320025,1,0,0
39,0.0738,80.05749126768671,8,1,0,1,0,8,merge_completed,12.028053000911987,9.88218640846084,0.3913353272135407,0.15632776805850357,0,1,0
