run_id,mode,seed,phase,episode,action_0_count,action_1_count,action_2_count,action_3_count,illegal_lane_change_attempts,successful_lane_changes
diag_egoistic_seed0,egoistic,0,train,0,9,10,15,8,7,1
diag_egoistic_seed0,egoistic,0,train,1,6,7,4,3,2,1
diag_egoistic_seed0,egoistic,0,train,2,5,4,2,4,3,1
diag_egoistic_seed0,egoistic,0,train,3,8,4,4,8,7,1
diag_egoistic_seed0,egoistic,0,train,4,1,2,0,3,2,1
diag_egoistic_seed0,egoistic,0,train,5,5,4,1,3,2,1
diag_egoistic_seed0,egoistic,0,train,6,7,3,3,3,2,1
diag_egoistic_seed0,egoistic,0,train,7,9,6,9,6,5,1
diag_egoistic_seed0,egoistic,0,train,8,2,5,2,2,1,1
diag_egoistic_seed0,egoistic,0,train,9,3,8,2,4,3,1
diag_egoistic_seed0,egoistic,0,train,10,5,5,1,2,1,1
diag_egoistic_seed0,egoistic,0,train,11,4,2,3,5,4,1
diag_egoistic_seed0,egoistic,0,train,12,5,4,1,2,1,1
diag_egoistic_seed0,egoistic,0,train,13,4,3,5,6,5,1
diag_egoistic_seed0,egoistic,0,train,14,3,4,1,6,5,1
diag_egoistic_seed0,egoistic,0,train,15,7,8,2,4,3,1
diag_egoistic_seed0,egoistic,0,train,16,5,4,3,4,3,1
diag_egoistic_seed0,egoistic,0,train,17,0,5,3,5,4,1
diag_egoistic_seed0,egoistic,0,train,18,1,5,0,4,3,1
diag_egoistic_seed0,egoistic,0,train,19,2,4,3,5,4,1
diag_egoistic_seed0,egoistic,0,train,20,3,4,3,2,1,1
diag_egoistic_seed0,egoistic,0,train,21,6,2,1,5,4,1
diag_egoistic_seed0,egoistic,0,train,22,1,3,0,3,2,1
diag_egoistic_seed0,egoistic,0,train,23,6,4,2,2,1,1
diag_egoistic_seed0,egoistic,0,train,24,19,6,4,2,1,1
diag_egoistic_seed0,egoistic,0,eval,0,0,0,1,14,13,1
diag_egoistic_seed0,egoistic,0,eval,1,0,0,2,14,13,1
diag_egoistic_seed0,egoistic,0,eval,2,0,0,2,20,19,1
diag_egoistic_seed0,egoistic,0,eval,3,1,0,0,15,14,1
diag_egoistic_seed0,egoistic,0,eval,4,0,0,1,15,14,1
diag_egoistic_seed0,egoistic,0,eval,5,26,7,21,6,6,0
diag_egoistic_seed0,egoistic,0,eval,6,0,0,1,17,16,1
diag_egoistic_seed0,egoistic,0,eval,7,0,0,1,17,16,1
diag_egoistic_seed0,egoistic,0,eval,8,27,10,22,1,1,0
diag_egoistic_seed0,egoistic,0,eval,9,29,7,17,7,7,0
diag_rawlsian_seed0,rawlsian,0,train,0,9,10,15,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,1,6,7,4,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,2,6,4,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,3,8,4,4,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,4,1,2,0,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,5,3,6,1,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,6,3,6,2,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,7,9,6,9,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,8,2,6,3,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,9,0,10,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,10,5,5,1,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,11,1,5,1,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,12,3,6,1,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,13,2,4,0,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,14,1,7,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,15,1,7,1,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,16,2,4,0,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,17,4,13,2,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,18,1,6,2,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,19,1,5,1,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,20,1,5,3,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,21,1,6,0,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,22,2,4,2,4,3,1
diag_rawlsian_seed0,rawlsian,0,train,23,1,11,3,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,24,1,3,0,2,1,1
diag_rawlsian_seed0,rawlsian,0,eval,0,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,1,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,2,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,3,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,4,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,5,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,6,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,7,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,8,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,9,0,60,0,0,0,0
diag_egoistic_seed0,egoistic,0,train,0,9,10,15,8,7,1
diag_egoistic_seed0,egoistic,0,train,1,6,7,4,3,2,1
diag_egoistic_seed0,egoistic,0,train,2,5,4,2,3,2,1
diag_egoistic_seed0,egoistic,0,train,3,6,4,4,5,4,1
diag_egoistic_seed0,egoistic,0,train,4,2,2,0,4,3,1
diag_egoistic_seed0,egoistic,0,train,5,4,3,1,4,3,1
diag_egoistic_seed0,egoistic,0,train,6,3,3,0,1,0,1
diag_egoistic_seed0,egoistic,0,train,7,3,4,2,3,2,1
diag_egoistic_seed0,egoistic,0,train,8,10,8,13,7,6,1
diag_egoistic_seed0,egoistic,0,train,9,4,2,0,5,4,1
diag_egoistic_seed0,egoistic,0,train,10,1,5,2,4,3,1
diag_egoistic_seed0,egoistic,0,train,11,3,3,0,3,2,1
diag_egoistic_seed0,egoistic,0,train,12,8,4,4,5,4,1
diag_egoistic_seed0,egoistic,0,train,13,3,2,0,2,1,1
diag_egoistic_seed0,egoistic,0,train,14,2,4,0,1,0,1
diag_egoistic_seed0,egoistic,0,train,15,2,9,11,3,2,1
diag_egoistic_seed0,egoistic,0,train,16,7,3,1,3,2,1
diag_egoistic_seed0,egoistic,0,train,17,8,5,1,1,0,1
diag_egoistic_seed0,egoistic,0,train,18,2,6,5,7,6,1
diag_egoistic_seed0,egoistic,0,train,19,3,5,2,5,4,1
diag_egoistic_seed0,egoistic,0,train,20,2,2,2,2,1,1
diag_egoistic_seed0,egoistic,0,train,21,3,4,3,7,6,1
diag_egoistic_seed0,egoistic,0,train,22,2,3,1,2,1,1
diag_egoistic_seed0,egoistic,0,train,23,3,4,2,6,5,1
diag_egoistic_seed0,egoistic,0,train,24,6,3,0,2,1,1
diag_egoistic_seed0,egoistic,0,eval,0,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,1,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,2,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,3,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,4,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,5,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,6,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,7,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,8,0,0,60,0,0,0
diag_egoistic_seed0,egoistic,0,eval,9,0,0,60,0,0,0
diag_rawlsian_seed0,rawlsian,0,train,0,9,10,15,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,1,6,7,4,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,2,6,4,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,3,8,4,4,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,4,1,2,0,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,5,3,6,1,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,6,3,6,2,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,7,9,6,9,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,8,2,6,3,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,9,0,10,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,10,5,5,1,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,11,1,5,1,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,12,3,6,1,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,13,2,4,0,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,14,1,7,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,15,1,7,1,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,16,2,4,0,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,17,4,13,2,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,18,1,6,2,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,19,1,5,1,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,20,1,5,3,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,21,1,6,0,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,22,2,4,2,4,3,1
diag_rawlsian_seed0,rawlsian,0,train,23,1,11,3,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,24,1,3,0,2,1,1
diag_rawlsian_seed0,rawlsian,0,eval,0,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,1,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,2,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,3,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,4,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,5,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,6,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,7,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,8,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,9,0,60,0,0,0,0
diag_egoistic_seed0,egoistic,0,train,0,9,10,15,8,7,1
diag_egoistic_seed0,egoistic,0,train,1,6,7,4,3,2,1
diag_egoistic_seed0,egoistic,0,train,2,5,4,2,3,2,1
diag_egoistic_seed0,egoistic,0,train,3,6,4,4,5,4,1
diag_egoistic_seed0,egoistic,0,train,4,2,2,0,4,3,1
diag_egoistic_seed0,egoistic,0,train,5,4,3,1,4,3,1
diag_egoistic_seed0,egoistic,0,train,6,3,3,0,1,0,1
diag_egoistic_seed0,egoistic,0,train,7,3,4,2,3,2,1
diag_egoistic_seed0,egoistic,0,train,8,10,8,13,7,6,1
diag_egoistic_seed0,egoistic,0,train,9,4,2,0,5,4,1
diag_egoistic_seed0,egoistic,0,train,10,2,5,2,3,2,1
diag_egoistic_seed0,egoistic,0,train,11,3,3,0,3,2,1
diag_egoistic_seed0,egoistic,0,train,12,8,4,4,5,4,1
diag_egoistic_seed0,egoistic,0,train,13,3,2,0,2,1,1
diag_egoistic_seed0,egoistic,0,train,14,2,4,0,1,0,1
diag_egoistic_seed0,egoistic,0,train,15,2,9,11,3,2,1
diag_egoistic_seed0,egoistic,0,train,16,7,3,1,3,2,1
diag_egoistic_seed0,egoistic,0,train,17,8,5,1,1,0,1
diag_egoistic_seed0,egoistic,0,train,18,2,6,5,7,6,1
diag_egoistic_seed0,egoistic,0,train,19,3,7,4,6,5,1
diag_egoistic_seed0,egoistic,0,train,20,3,6,4,7,6,1
diag_egoistic_seed0,egoistic,0,train,21,3,4,3,8,7,1
diag_egoistic_seed0,egoistic,0,train,22,4,3,0,2,1,1
diag_egoistic_seed0,egoistic,0,train,23,3,6,3,8,7,1
diag_egoistic_seed0,egoistic,0,train,24,3,3,1,2,1,1
diag_egoistic_seed0,egoistic,0,eval,0,8,3,0,1,0,1
diag_egoistic_seed0,egoistic,0,eval,1,0,6,54,0,0,0
diag_egoistic_seed0,egoistic,0,eval,2,0,4,56,0,0,0
diag_egoistic_seed0,egoistic,0,eval,3,0,8,52,0,0,0
diag_egoistic_seed0,egoistic,0,eval,4,0,9,51,0,0,0
diag_egoistic_seed0,egoistic,0,eval,5,8,1,0,3,2,1
diag_egoistic_seed0,egoistic,0,eval,6,0,2,58,0,0,0
diag_egoistic_seed0,egoistic,0,eval,7,0,3,57,0,0,0
diag_egoistic_seed0,egoistic,0,eval,8,13,4,2,1,0,1
diag_egoistic_seed0,egoistic,0,eval,9,0,6,54,0,0,0
diag_rawlsian_seed0,rawlsian,0,train,0,9,10,15,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,1,6,7,4,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,2,6,4,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,3,8,4,4,8,7,1
diag_rawlsian_seed0,rawlsian,0,train,4,1,2,0,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,5,3,6,1,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,6,3,6,2,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,7,9,6,8,6,5,1
diag_rawlsian_seed0,rawlsian,0,train,8,2,6,4,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,9,0,11,2,4,3,1
diag_rawlsian_seed0,rawlsian,0,train,10,5,5,1,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,11,1,5,1,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,12,3,6,1,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,13,2,4,0,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,14,1,7,2,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,15,1,7,1,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,16,2,4,0,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,17,4,13,2,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,18,1,6,2,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,19,1,5,1,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,20,1,5,3,2,1,1
diag_rawlsian_seed0,rawlsian,0,train,21,1,6,0,3,2,1
diag_rawlsian_seed0,rawlsian,0,train,22,2,4,2,4,3,1
diag_rawlsian_seed0,rawlsian,0,train,23,1,11,3,1,0,1
diag_rawlsian_seed0,rawlsian,0,train,24,1,3,0,2,1,1
diag_rawlsian_seed0,rawlsian,0,eval,0,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,1,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,2,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,3,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,4,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,5,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,6,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,7,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,8,0,60,0,0,0,0
diag_rawlsian_seed0,rawlsian,0,eval,9,0,60,0,0,0,0
