master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61001,validation_001,0,A,False,0.0,0.0,1.0,0.0
61001,validation_001,0,B,False,0.8825,0.11,0.0075,0.005012531328320802
61001,validation_001,1,A,False,0.04,0.0,0.96,0.010025062656641603
61001,validation_001,1,B,False,0.83,0.1225,0.0475,0.010025062656641603
61001,validation_002,0,A,False,0.0,0.0,1.0,0.0
61001,validation_002,0,B,False,0.8875,0.1125,0.0,0.002506265664160401
61001,validation_002,1,A,False,0.0225,0.0,0.9775,0.005012531328320802
61001,validation_002,1,B,False,0.835,0.125,0.04,0.012531328320802004
61001,validation_003,0,A,False,0.0,0.9,0.1,0.034482758620689655
61001,validation_003,0,B,False,0.03333333333333333,0.5333333333333333,0.43333333333333335,0.06896551724137931
61001,validation_003,1,A,False,0.02,0.0,0.98,0.005012531328320802
61001,validation_003,1,B,False,0.85,0.115,0.035,0.005012531328320802
61001,validation_004,0,A,False,0.0,0.0,1.0,0.0
61001,validation_004,0,B,False,0.89,0.11,0.0,0.002506265664160401
61001,validation_004,1,A,False,0.01,0.0425,0.9475,0.007518796992481203
61001,validation_004,1,B,False,0.8575,0.0,0.1425,0.002506265664160401
61001,validation_005,0,A,False,0.0025,0.0,0.9975,0.005012531328320802
61001,validation_005,0,B,False,0.8925,0.1075,0.0,0.002506265664160401
61001,validation_005,1,A,False,0.0025,0.04,0.9575,0.012531328320802004
61001,validation_005,1,B,False,0.875,0.0,0.125,0.007518796992481203
61001,validation_006,0,A,False,0.0,0.0,1.0,0.0
61001,validation_006,0,B,False,0.89,0.11,0.0,0.002506265664160401
61001,validation_006,1,A,False,0.0,0.045,0.955,0.007518796992481203
61001,validation_006,1,B,False,0.8775,0.0,0.1225,0.007518796992481203
61001,validation_007,0,A,False,0.005,0.0,0.995,0.002506265664160401
61001,validation_007,0,B,False,0.8925,0.1075,0.0,0.002506265664160401
61001,validation_007,1,A,False,0.02,0.0,0.98,0.005012531328320802
61001,validation_007,1,B,False,0.8275,0.1225,0.05,0.010025062656641603
61001,validation_008,0,A,False,0.0025,0.0,0.9975,0.005012531328320802
61001,validation_008,0,B,False,0.8875,0.1125,0.0,0.002506265664160401
61001,validation_008,1,A,False,0.0,0.0475,0.9525,0.002506265664160401
61001,validation_008,1,B,False,0.87,0.0,0.13,0.007518796992481203
61002,validation_001,0,A,False,0.8775,0.0,0.1225,0.002506265664160401
61002,validation_001,0,B,False,0.9425,0.045,0.0125,0.017543859649122806
61002,validation_001,1,A,False,0.015,0.03,0.955,0.007518796992481203
61002,validation_001,1,B,False,0.035,0.0,0.965,0.005012531328320802
61002,validation_002,0,A,False,0.8725,0.0,0.1275,0.007518796992481203
61002,validation_002,0,B,False,0.9175,0.05,0.0325,0.012531328320802004
61002,validation_002,1,A,False,0.935,0.06,0.005,0.017543859649122806
61002,validation_002,1,B,False,0.015,0.0,0.985,0.005012531328320802
61002,validation_003,0,A,False,0.8725,0.0,0.1275,0.002506265664160401
61002,validation_003,0,B,False,0.94,0.0525,0.0075,0.012531328320802004
61002,validation_003,1,A,False,0.75,0.005,0.245,0.012531328320802004
61002,validation_003,1,B,False,0.73,0.16,0.11,0.040100250626566414
61002,validation_004,0,A,False,0.87,0.0075,0.1225,0.007518796992481203
61002,validation_004,0,B,False,0.9275,0.0425,0.03,0.015037593984962405
61002,validation_004,1,A,False,0.9325,0.0475,0.02,0.017543859649122806
61002,validation_004,1,B,False,0.0025,0.0,0.9975,0.005012531328320802
61002,validation_005,0,A,False,0.87,0.0,0.13,0.007518796992481203
61002,validation_005,0,B,False,0.93,0.03,0.04,0.012531328320802004
61002,validation_005,1,A,False,0.9275,0.05,0.0225,0.017543859649122806
61002,validation_005,1,B,False,0.0225,0.0,0.9775,0.010025062656641603
61002,validation_006,0,A,False,0.8675,0.0,0.1325,0.007518796992481203
61002,validation_006,0,B,False,0.9375,0.035,0.0275,0.012531328320802004
61002,validation_006,1,A,False,0.9275,0.055,0.0175,0.017543859649122806
61002,validation_006,1,B,False,0.03,0.0,0.97,0.005012531328320802
61002,validation_007,0,A,False,0.8775,0.0,0.1225,0.002506265664160401
61002,validation_007,0,B,False,0.935,0.05,0.015,0.017543859649122806
61002,validation_007,1,A,False,0.925,0.0725,0.0025,0.012531328320802004
61002,validation_007,1,B,False,0.005,0.015,0.98,0.010025062656641603
61002,validation_008,0,A,False,0.8675,0.0,0.1325,0.007518796992481203
61002,validation_008,0,B,False,0.9275,0.0425,0.03,0.012531328320802004
61002,validation_008,1,A,False,0.9275,0.055,0.0175,0.017543859649122806
61002,validation_008,1,B,False,0.0175,0.0,0.9825,0.010025062656641603
61003,validation_001,0,A,True,0.803030303030303,0.19696969696969696,0.0,0.015384615384615385
61003,validation_001,0,B,True,0.9393939393939394,0.0,0.06060606060606061,0.07692307692307693
61003,validation_001,1,A,False,0.9875,0.005,0.0075,0.010025062656641603
61003,validation_001,1,B,False,0.8725,0.0,0.1275,0.017543859649122806
61003,validation_002,0,A,True,0.7361111111111112,0.05555555555555555,0.20833333333333334,0.07042253521126761
61003,validation_002,0,B,True,0.3472222222222222,0.4027777777777778,0.25,0.15492957746478872
61003,validation_002,1,A,False,0.9775,0.0225,0.0,0.005012531328320802
61003,validation_002,1,B,False,0.11,0.405,0.485,0.8220551378446115
61003,validation_003,0,A,True,0.8333333333333334,0.16666666666666666,0.0,0.012048192771084338
61003,validation_003,0,B,True,0.2976190476190476,0.36904761904761907,0.3333333333333333,0.0963855421686747
61003,validation_003,1,A,False,0.9775,0.0225,0.0,0.005012531328320802
61003,validation_003,1,B,False,0.1075,0.4075,0.485,0.8045112781954887
61003,validation_004,0,A,True,0.6576576576576577,0.11711711711711711,0.22522522522522523,0.08181818181818182
61003,validation_004,0,B,True,0.27927927927927926,0.27927927927927926,0.44144144144144143,0.17272727272727273
61003,validation_004,1,A,True,0.9725085910652921,0.027491408934707903,0.0,0.006896551724137931
61003,validation_004,1,B,True,0.22336769759450173,0.38144329896907214,0.3951890034364261,0.6241379310344828
61003,validation_005,0,A,True,0.7951807228915663,0.07228915662650602,0.13253012048192772,0.036585365853658534
61003,validation_005,0,B,True,0.42168674698795183,0.30120481927710846,0.27710843373493976,0.0975609756097561
61003,validation_005,1,A,False,0.915,0.0,0.085,0.05012531328320802
61003,validation_005,1,B,False,0.41,0.0,0.59,0.015037593984962405
61003,validation_006,0,A,True,0.8021978021978022,0.054945054945054944,0.14285714285714285,0.03333333333333333
