master_seed,validation_block_id,success_rate,collision_rate,truncation_rate,assignment_asymmetry,mean_episode_length
61001,validation_001,0.0,0.0,1.0,0.0,400.0
61001,validation_002,0.0,0.0,1.0,0.0,400.0
61001,validation_003,0.0,0.5,0.5,0.0,215.0
61001,validation_004,0.0,0.0,1.0,0.0,400.0
61001,validation_005,0.0,0.0,1.0,0.0,400.0
61001,validation_006,0.0,0.0,1.0,0.0,400.0
61001,validation_007,0.0,0.0,1.0,0.0,400.0
61001,validation_008,0.0,0.0,1.0,0.0,400.0
61002,validation_001,0.0,0.0,1.0,0.0,400.0
61002,validation_002,0.0,0.0,1.0,0.0,400.0
61002,validation_003,0.0,0.0,1.0,0.0,400.0
61002,validation_004,0.0,0.0,1.0,0.0,400.0
61002,validation_005,0.0,0.0,1.0,0.0,400.0
61002,validation_006,0.0,0.0,1.0,0.0,400.0
61002,validation_007,0.0,0.0,1.0,0.0,400.0
61002,validation_008,0.0,0.0,1.0,0.0,400.0
61003,validation_001,0.5,0.0,0.5,1.0,233.0
61003,validation_002,0.5,0.0,0.5,1.0,236.0
61003,validation_003,0.5,0.0,0.5,1.0,242.0
61003,validation_004,1.0,0.0,0.0,0.0,201.0
61003,validation_005,0.5,0.0,0.5,1.0,241.5
61003,validation_006,0.5,0.0,0.5,1.0,245.5
61003,validation_007,1.0,0.0,0.0,0.0,217.0
61003,validation_008,0.5,0.0,0.5,1.0,252.0
61004,validation_001,0.5,0.0,0.5,1.0,232.0
61004,validation_002,1.0,0.0,0.0,0.0,65.5
61004,validation_003,1.0,0.0,0.0,0.0,91.0
61004,validation_004,1.0,0.0,0.0,0.0,92.5
61004,validation_005,1.0,0.0,0.0,0.0,55.0
61004,validation_006,1.0,0.0,0.0,0.0,94.5
61004,validation_007,1.0,0.0,0.0,0.0,57.5
61004,validation_008,1.0,0.0,0.0,0.0,95.0
61005,validation_001,0.5,0.5,0.0,1.0,40.5
61005,validation_002,0.0,0.0,1.0,0.0,400.0
61005,validation_003,0.0,1.0,0.0,0.0,163.5
61005,validation_004,0.5,0.0,0.5,1.0,234.5
61005,validation_005,0.5,0.0,0.5,1.0,231.0
61005,validation_006,0.5,0.0,0.5,1.0,279.0
61005,validation_007,0.5,0.0,0.5,1.0,277.0
61005,validation_008,0.5,0.0,0.5,1.0,235.0
61006,validation_001,0.5,0.0,0.5,1.0,368.0
61006,validation_002,0.5,0.0,0.5,1.0,244.0
61006,validation_003,1.0,0.0,0.0,0.0,173.0
61006,validation_004,0.5,0.0,0.5,1.0,245.0
61006,validation_005,0.5,0.0,0.5,1.0,248.0
61006,validation_006,0.5,0.0,0.5,1.0,248.0
61006,validation_007,0.5,0.0,0.5,1.0,242.0
61006,validation_008,0.5,0.0,0.5,1.0,233.0
61007,validation_001,1.0,0.0,0.0,0.0,62.0
61007,validation_002,1.0,0.0,0.0,0.0,76.0
61007,validation_003,1.0,0.0,0.0,0.0,59.0
61007,validation_004,1.0,0.0,0.0,0.0,63.5
61007,validation_005,1.0,0.0,0.0,0.0,73.0
61007,validation_006,1.0,0.0,0.0,0.0,76.5
61007,validation_007,1.0,0.0,0.0,0.0,77.0
61007,validation_008,1.0,0.0,0.0,0.0,68.5
61008,validation_001,0.0,0.0,1.0,0.0,400.0
61008,validation_002,0.0,0.0,1.0,0.0,400.0
61008,validation_003,0.0,0.0,1.0,0.0,400.0
61008,validation_004,0.0,0.0,1.0,0.0,400.0
61008,validation_005,0.0,0.0,1.0,0.0,400.0
61008,validation_006,0.0,0.0,1.0,0.0,400.0
61008,validation_007,0.0,0.0,1.0,0.0,400.0
61008,validation_008,0.0,0.0,1.0,0.0,400.0
61009,validation_001,0.0,0.0,1.0,0.0,400.0
61009,validation_002,0.0,0.0,1.0,0.0,400.0
61009,validation_003,0.0,0.0,1.0,0.0,400.0
61009,validation_004,0.0,0.0,1.0,0.0,400.0
61009,validation_005,0.0,0.0,1.0,0.0,400.0
61009,validation_006,0.0,0.0,1.0,0.0,400.0
61009,validation_007,0.0,0.0,1.0,0.0,400.0
61009,validation_008,0.0,0.0,1.0,0.0,400.0
61010,validation_001,0.0,0.0,1.0,0.0,400.0
61010,validation_002,0.0,0.5,0.5,0.0,209.5
61010,validation_003,0.0,0.0,1.0,0.0,400.0
61010,validation_004,0.0,0.0,1.0,0.0,400.0
61010,validation_005,0.0,0.5,0.5,0.0,209.5
61010,validation_006,0.0,0.0,1.0,0.0,400.0
61010,validation_007,0.0,0.5,0.5,0.0,209.0
61010,validation_008,0.0,0.0,1.0,0.0,400.0
