master_seed,controller,role,n,success_rate,collision_rate,truncation_rate,mean_episode_length
61001,A,mainline,8,0.0,0.125,0.875,353.75
61001,A,ramp,8,0.0,0.0,1.0,400.0
61001,B,mainline,8,0.0,0.0,1.0,400.0
61001,B,ramp,8,0.0,0.125,0.875,353.75
61002,A,mainline,8,0.0,0.0,1.0,400.0
61002,A,ramp,8,0.0,0.0,1.0,400.0
61002,B,mainline,8,0.0,0.0,1.0,400.0
61002,B,ramp,8,0.0,0.0,1.0,400.0
61003,A,mainline,8,1.0,0.0,0.0,85.125
61003,A,ramp,8,0.25,0.0,0.75,381.875
61003,B,mainline,8,0.25,0.0,0.75,381.875
61003,B,ramp,8,1.0,0.0,0.0,85.125
61004,A,mainline,8,0.875,0.0,0.125,134.625
61004,A,ramp,8,1.0,0.0,0.0,61.125
61004,B,mainline,8,1.0,0.0,0.0,61.125
61004,B,ramp,8,0.875,0.0,0.125,134.625
61005,A,mainline,8,0.75,0.125,0.125,122.625
61005,A,ramp,8,0.0,0.25,0.75,342.5
61005,B,mainline,8,0.0,0.25,0.75,342.5
61005,B,ramp,8,0.75,0.125,0.125,122.625
61006,A,mainline,8,0.125,0.0,0.875,359.875
61006,A,ramp,8,1.0,0.0,0.0,140.375
61006,B,mainline,8,1.0,0.0,0.0,140.375
61006,B,ramp,8,0.125,0.0,0.875,359.875
61007,A,mainline,8,1.0,0.0,0.0,68.0
61007,A,ramp,8,1.0,0.0,0.0,70.875
61007,B,mainline,8,1.0,0.0,0.0,70.875
61007,B,ramp,8,1.0,0.0,0.0,68.0
61008,A,mainline,8,0.0,0.0,1.0,400.0
61008,A,ramp,8,0.0,0.0,1.0,400.0
61008,B,mainline,8,0.0,0.0,1.0,400.0
61008,B,ramp,8,0.0,0.0,1.0,400.0
61009,A,mainline,8,0.0,0.0,1.0,400.0
61009,A,ramp,8,0.0,0.0,1.0,400.0
61009,B,mainline,8,0.0,0.0,1.0,400.0
61009,B,ramp,8,0.0,0.0,1.0,400.0
61010,A,mainline,8,0.0,0.375,0.625,257.0
61010,A,ramp,8,0.0,0.0,1.0,400.0
61010,B,mainline,8,0.0,0.0,1.0,400.0
61010,B,ramp,8,0.0,0.375,0.625,257.0
