validation_block_id,primary_failure_label,n
validation_001,mutual_yielding,3
validation_001,unilateral_stall,10
validation_002,downstream_completion_failure,1
validation_002,mutual_yielding,3
validation_002,unilateral_stall,9
validation_003,downstream_completion_failure,2
validation_003,mutual_yielding,2
validation_003,unilateral_stall,6
validation_004,downstream_completion_failure,2
validation_004,mutual_yielding,1
validation_004,unilateral_stall,9
validation_005,mutual_yielding,1
validation_005,unilateral_stall,11
validation_006,mutual_yielding,3
validation_006,unilateral_stall,10
validation_007,mutual_yielding,1
validation_007,other_unresolved,1
validation_007,unilateral_stall,9
validation_008,mutual_yielding,3
validation_008,unilateral_stall,10
