master_seed,primary_failure_label,n
61001,mutual_yielding,4
61001,unilateral_stall,11
61002,downstream_completion_failure,1
61002,mutual_yielding,1
61002,unilateral_stall,14
61003,downstream_completion_failure,2
61003,unilateral_stall,4
61004,unilateral_stall,1
61005,mutual_yielding,1
61005,unilateral_stall,6
61006,mutual_yielding,1
61006,other_unresolved,1
61006,unilateral_stall,5
61008,downstream_completion_failure,1
61008,unilateral_stall,15
61009,mutual_yielding,1
61009,unilateral_stall,15
61010,downstream_completion_failure,1
61010,mutual_yielding,9
61010,unilateral_stall,3
