near_stop_speed,low_speed,minimal_progress_50,unilateral_stall,mutual_yielding,downstream_completion_failure,other_unresolved
0.5,2.0,0.5,74,17,5,1
0.5,2.0,1.0,74,17,5,1
0.5,2.0,2.0,74,18,4,1
0.5,3.0,0.5,74,17,5,1
0.5,3.0,1.0,74,17,5,1
0.5,3.0,2.0,74,18,4,1
0.5,5.0,0.5,74,17,5,1
0.5,5.0,1.0,74,17,5,1
0.5,5.0,2.0,74,18,4,1
1.0,2.0,0.5,74,17,5,1
1.0,2.0,1.0,74,17,5,1
1.0,2.0,2.0,74,18,4,1
1.0,3.0,0.5,74,17,5,1
1.0,3.0,1.0,74,17,5,1
1.0,3.0,2.0,74,18,4,1
1.0,5.0,0.5,74,17,5,1
1.0,5.0,1.0,74,17,5,1
1.0,5.0,2.0,74,18,4,1
2.0,2.0,0.5,74,17,5,1
2.0,2.0,1.0,74,17,5,1
2.0,2.0,2.0,74,18,4,1
2.0,3.0,0.5,74,17,5,1
2.0,3.0,1.0,74,17,5,1
2.0,3.0,2.0,74,18,4,1
2.0,5.0,0.5,74,17,5,1
2.0,5.0,1.0,74,17,5,1
2.0,5.0,2.0,74,18,4,1
