master_seed,success_rate,collision_rate,truncation_rate,mean_episode_length,median_episode_length,performance_band
61001,0.0,0.0625,0.9375,376.875,400.0,low
61002,0.0,0.0,1.0,400.0,400.0,low
61003,0.625,0.0,0.375,233.5,201.0,intermediate
61004,0.9375,0.0,0.0625,97.875,62.0,high
61005,0.375,0.1875,0.4375,232.5625,232.5,intermediate
61006,0.5625,0.0,0.4375,250.125,301.5,intermediate
61007,1.0,0.0,0.0,69.4375,71.0,high
61008,0.0,0.0,1.0,400.0,400.0,low
61009,0.0,0.0,1.0,400.0,400.0,low
61010,0.0,0.1875,0.8125,328.5,400.0,low
