master_seed,validation_block_id,assignment,controller,outcome,mean_abs_Q,Q_margin_mean,Q_margin_median,Q_margin_q10,Q_margin_q90,frac_margin_lt_1e-3,frac_margin_lt_1e-2,frac_margin_lt_5e-2
61001,validation_001,0,A,truncated,1.1504280499617259,0.0037155476212500644,0.0018153190612792,0.0018153190612792,0.009557664394378598,0.005,0.9,1.0
61001,validation_001,0,B,truncated,0.49540491667886577,0.015433012023568095,0.0150186121463775,0.01501800417900084,0.0150186121463775,0.0075,0.0275,1.0
61001,validation_001,1,A,truncated,1.2283687204122544,0.00670125111937514,0.0023573637008666,0.0023573637008666,0.01638165712356566,0.0075,0.885,0.9525
61001,validation_001,1,B,truncated,0.3925780479113261,0.023121985942125268,0.02509406208992,0.015140819549560503,0.02509406208992,0.0075,0.035,1.0
61001,validation_002,0,A,truncated,1.22672164251407,0.0026390245556831117,0.0012848377227783,0.0012848377227783,0.005189514160156193,0.0125,0.92,1.0
61001,validation_002,0,B,truncated,0.49223276970287166,0.02016097046434873,0.0207026302814483,0.02069608569145196,0.0207026302814483,0.0,0.0325,1.0
61001,validation_002,1,A,truncated,1.2925330438216527,0.006464624106883952,0.0021518468856811,0.0021518468856811,0.015795528888702372,0.005,0.875,0.9575
61001,validation_002,1,B,truncated,0.38405702479183673,0.02581520922482011,0.0280506908893585,0.01538914442062374,0.0280506908893585,0.01,0.0375,1.0
61001,validation_003,0,A,collision,1.133814960718155,0.029321698347727406,0.02726280689239495,0.01107488274574276,0.055245614051818805,0.0,0.03333333333333333,0.8
61001,validation_003,0,B,collision,0.878089001443651,0.028897559642791688,0.03356973826885215,0.00733602941036216,0.050687175989150964,0.0,0.23333333333333334,0.8666666666666667
61001,validation_003,1,A,truncated,1.3650647187232972,0.00685791492462152,0.0018335580825805,0.0018335580825805,0.01899873018264763,0.005,0.8625,0.9625
61001,validation_003,1,B,truncated,0.36821464737256365,0.030787423253059377,0.0336090624332428,0.01614151597023004,0.0336090624332428,0.0075,0.0325,1.0
61001,validation_004,0,A,truncated,1.2315998217463493,0.003092305660247757,0.0013266801834106,0.0013266801834106,0.0065404295921325534,0.0175,0.91,1.0
61001,validation_004,0,B,truncated,0.49335953330000243,0.020498052984476062,0.0207734405994415,0.02076671719551083,0.0207734405994415,0.0,0.0225,1.0
61001,validation_004,1,A,truncated,0.8880275571346283,0.08300096184015267,0.0932220220565795,0.036139583587646476,0.0932220220565795,0.005,0.045,0.135
61001,validation_004,1,B,truncated,1.0800582058727741,0.019985902905464134,0.0219924449920654,0.011501932144165035,0.0219924449920654,0.005,0.09,1.0
61001,validation_005,0,A,truncated,1.2888141516844431,0.0018024370074271293,0.0005028247833251,0.0005028247833251,0.004018247127532917,0.8925,0.92,1.0
61001,validation_005,0,B,truncated,0.49281805602212747,0.02385723538696756,0.0247967541217803,0.024684062600135715,0.0247967541217803,0.0,0.03,1.0
61001,validation_005,1,A,truncated,0.9598870162169139,0.08964375510811799,0.1007184982299804,0.03698037862777709,0.1007184982299804,0.005,0.0475,0.13
61001,validation_005,1,B,truncated,1.0865127316613992,0.018755536675453172,0.0202871561050415,0.012796580791473361,0.0202871561050415,0.01,0.08,1.0
61001,validation_006,0,A,truncated,1.2908619045217833,0.0017620262503623514,0.0006475448608398,0.0006475448608398,0.004362547397613449,0.89,0.925,1.0
61001,validation_006,0,B,truncated,0.4929956101377805,0.023956278115510918,0.0250439941883087,0.024010193347930843,0.0250439941883087,0.0,0.0325,1.0
61001,validation_006,1,A,truncated,1.0152163963516554,0.08350234940648076,0.0938719511032104,0.02812734842300411,0.0938719511032104,0.01,0.0475,0.1325
61001,validation_006,1,B,truncated,1.0613193734486899,0.013540377318859048,0.0140076875686645,0.013957464694976763,0.0140076875686645,0.0075,0.08,1.0
61001,validation_007,0,A,truncated,1.0703607369959354,0.0046059495210647025,0.0025798082351684,0.0025798082351684,0.002686488628387414,0.015,0.91,1.0
61001,validation_007,0,B,truncated,0.4809804344425599,0.009947442635893788,0.0083915293216705,0.0083915293216705,0.0083915293216705,0.0,0.915,1.0
61001,validation_007,1,A,truncated,1.207223868618409,0.00673469528555864,0.0024816989898681,0.0024816989898681,0.01822427511215205,0.0075,0.875,0.965
61001,validation_007,1,B,truncated,0.3986737202107906,0.02228235222399233,0.0241355001926422,0.01551665067672724,0.0241355001926422,0.0075,0.0425,1.0
61001,validation_008,0,A,truncated,1.2911253629128139,0.0018954378366470004,0.000523567199707,0.000523567199707,0.005356216430664041,0.8875,0.915,1.0
61001,validation_008,0,B,truncated,0.4939629462112983,0.023744762018322915,0.0248320400714874,0.023932445049285805,0.0248320400714874,0.0,0.0325,1.0
61001,validation_008,1,A,truncated,0.9850922498106957,0.08645761922001836,0.097064197063446,0.032699847221374485,0.097064197063446,0.0025,0.045,0.1325
61001,validation_008,1,B,truncated,1.0762078785399596,0.016720666736364305,0.0178855657577514,0.013470113277435213,0.0178855657577514,0.0075,0.0825,1.0
61002,validation_001,0,A,truncated,1.238090647359689,0.005317745506763374,0.0037752389907836,0.0037752389907836,0.00790020227432245,0.0,0.91,1.0
61002,validation_001,0,B,truncated,0.7325306321183841,0.044065526276826784,0.0497173070907592,0.005529057979583714,0.0497173070907592,0.0275,0.115,1.0
61002,validation_001,1,A,truncated,1.030369330396255,0.005518863201141292,0.003077745437622,0.003077745437622,0.006831067800521771,0.005,0.9375,0.9825
61002,validation_001,1,B,truncated,1.3099455090860526,0.008836393952369676,0.0067378282546997,0.0067378282546997,0.011048412322998025,0.005,0.8925,1.0
61002,validation_002,0,A,truncated,1.2829048376778762,0.00606949791312214,0.004102349281311,0.004102349281311,0.010023307800292963,0.0075,0.8975,0.99
61002,validation_002,0,B,truncated,0.7621511981884639,0.05068009510636328,0.0580412149429321,0.005437093973159731,0.0580412149429321,0.0075,0.13,0.14
61002,validation_002,1,A,truncated,0.4947652967025836,0.03165811665356158,0.0356675088405609,0.004718792438507071,0.0356675088405609,0.025,0.1125,1.0
61002,validation_002,1,B,truncated,1.2876234879096349,0.003723850250244086,0.0024497509002685,0.0024497509002685,0.004208409786224273,0.005,0.935,1.0
61002,validation_003,0,A,truncated,1.2338007952769596,0.005927537977695434,0.0038872957229614,0.0038872957229614,0.00917274951934811,0.0,0.9025,0.99
61002,validation_003,0,B,truncated,0.7330342384179434,0.04450842559337609,0.0500978231430053,0.007362997531890825,0.0500978231430053,0.015,0.1125,0.1475
61002,validation_003,1,A,truncated,1.390913056731224,0.02082735180854793,0.01654320955276485,0.004621815681457511,0.04099147319793701,0.025,0.1975,0.935
61002,validation_003,1,B,truncated,0.6688599876314402,0.03052887342870231,0.02839475870132445,0.0034500837326049607,0.056021076440811154,0.0325,0.1375,0.815
61002,validation_004,0,A,truncated,1.2822231702009836,0.005326570868492056,0.0041238069534301,0.0041238069534301,0.010866308212280271,0.0025,0.8925,1.0
61002,validation_004,0,B,truncated,0.7628571119407813,0.050627805143594724,0.0575345754623413,0.005670261383056551,0.0575345754623413,0.01,0.125,0.13
61002,validation_004,1,A,truncated,0.5068698248267174,0.03123696476221083,0.0356478989124298,0.004242157936096171,0.0356478989124298,0.0225,0.1275,1.0
61002,validation_004,1,B,truncated,1.2922755679488183,0.0038166114687919438,0.0024508237838745,0.0024508237838745,0.005053532123565663,0.0025,0.94,1.0
61002,validation_005,0,A,truncated,1.3263438322146734,0.005614260137081093,0.0043033361434936,0.0043033361434936,0.00983092784881585,0.0,0.9125,1.0
61002,validation_005,0,B,truncated,0.789034534394741,0.05575601756572721,0.0646489858627319,0.00436751842498771,0.0646489858627319,0.0125,0.145,0.145
61002,validation_005,1,A,truncated,0.5069198199858268,0.030703313574194854,0.0352404415607452,0.003999036550521813,0.0352404415607452,0.03,0.135,1.0
61002,validation_005,1,B,truncated,1.3834659814834596,0.0034679490327834983,0.0026402473449707,0.0026402473449707,0.00264275074005125,0.04,0.9425,1.0
61002,validation_006,0,A,truncated,1.326390864054362,0.00578175038099287,0.004335880279541,0.004335880279541,0.010243618488311715,0.0025,0.8975,1.0
61002,validation_006,0,B,truncated,0.7918424482146899,0.05585417792201041,0.0647592544555664,0.00370534062385557,0.0647592544555664,0.0225,0.1425,0.145
61002,validation_006,1,A,truncated,0.5075376600275437,0.030737388804554885,0.0352379977703094,0.003713673353195182,0.0352379977703094,0.0275,0.13,1.0
61002,validation_006,1,B,truncated,1.3840680734316508,0.0034960240125655505,0.0026497840881347,0.0026497840881347,0.00265095233917234,0.04,0.935,1.0
61002,validation_007,0,A,truncated,1.2334345444043477,0.00579003840684889,0.003900408744812,0.003900408744812,0.008340048789978023,0.0,0.91,0.995
