seed,step,artifact,path,exists,published,size_bytes,mtime_ns,sha256_recorded,sha256_actual,contains_online_network,contains_target_network,contains_optimizer,contains_replay,contains_rng_state,contains_schedule_state,resumable,availability,sha256_after,unchanged
61001,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61001/final_online_target_weights.pt,True,True,106765,1.7854192644574075e+18,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,True,True,False,False,False,False,False,present,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,True
61002,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61002/final_online_target_weights.pt,True,True,106765,1.7854192644801134e+18,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,True,True,False,False,False,False,False,present,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,True
61003,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61003/final_online_target_weights.pt,True,True,106765,1.7854192644968236e+18,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,True,True,False,False,False,False,False,present,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,True
61004,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61004/final_online_target_weights.pt,True,True,106765,1.7854192645148247e+18,a52ed6d4bd69dfffdc07d6236d70fedaff01f555cd6e54ad45acbffe30216f7a,a52ed6d4bd69dfffdc07d6236d70fedaff01f555cd6e54ad45acbffe30216f7a,True,True,False,False,False,False,False,present,a52ed6d4bd69dfffdc07d6236d70fedaff01f555cd6e54ad45acbffe30216f7a,True
61005,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61005/final_online_target_weights.pt,True,True,106765,1.7854192645328568e+18,37cca9b1c1253db4ca4befd9eb67e83d587383f2b369c05bf988af2d0bf7fd51,37cca9b1c1253db4ca4befd9eb67e83d587383f2b369c05bf988af2d0bf7fd51,True,True,False,False,False,False,False,present,37cca9b1c1253db4ca4befd9eb67e83d587383f2b369c05bf988af2d0bf7fd51,True
61006,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61006/final_online_target_weights.pt,True,True,106765,1.7854192645658383e+18,1b427c4c02839683d57c1fb7d6108496b99a5c5b79a51a217c003cae5adf9e39,1b427c4c02839683d57c1fb7d6108496b99a5c5b79a51a217c003cae5adf9e39,True,True,False,False,False,False,False,present,1b427c4c02839683d57c1fb7d6108496b99a5c5b79a51a217c003cae5adf9e39,True
61007,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61007/final_online_target_weights.pt,True,True,106765,1.78541926459084e+18,d8a23c1923e38e4291ef5f720e3af2a104b41d30b80de8fbdbaa89ba9c3c59b7,d8a23c1923e38e4291ef5f720e3af2a104b41d30b80de8fbdbaa89ba9c3c59b7,True,True,False,False,False,False,False,present,d8a23c1923e38e4291ef5f720e3af2a104b41d30b80de8fbdbaa89ba9c3c59b7,True
61008,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61008/final_online_target_weights.pt,True,True,106765,1.7854192646188344e+18,036db8b02fd5fd487c629aa16d2b7e6df51779df63eb7458c92332112bae328b,036db8b02fd5fd487c629aa16d2b7e6df51779df63eb7458c92332112bae328b,True,True,False,False,False,False,False,present,036db8b02fd5fd487c629aa16d2b7e6df51779df63eb7458c92332112bae328b,True
61009,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61009/final_online_target_weights.pt,True,True,106765,1.7854192646487086e+18,5ea8fa385ae64a753b24a44a9de43968a425e4d490c46988a86edfdbd6c5540c,5ea8fa385ae64a753b24a44a9de43968a425e4d490c46988a86edfdbd6c5540c,True,True,False,False,False,False,False,present,5ea8fa385ae64a753b24a44a9de43968a425e4d490c46988a86edfdbd6c5540c,True
61010,100000,final_online_target_weights.pt,C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/jobs/baseline__61010/final_online_target_weights.pt,True,True,106765,1.7854192646746304e+18,6c323fa50b01e39ff9c7e207ff6f201451407bba428ea6383ec3a42099fce385,6c323fa50b01e39ff9c7e207ff6f201451407bba428ea6383ec3a42099fce385,True,True,False,False,False,False,False,present,6c323fa50b01e39ff9c7e207ff6f201451407bba428ea6383ec3a42099fce385,True
61001,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61001/ckpt_step_010000.pt,False,False,20023568,nan,39d2bac878d96c94ce5a5e4426d40761400707e7aa34eb3cd991d45b5964575a,nan,True,True,True,True,True,True,False,missing_local_only,,True
61001,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61001/ckpt_step_025000.pt,False,False,45033680,nan,ec4738d24445a4c8310f2c6da105687dcc270ee9c4734315572db39bf8bfbb2c,nan,True,True,True,True,True,True,False,missing_local_only,,True
61001,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61001/ckpt_step_050000.pt,False,False,44005840,nan,1c8368c1c7a5d8800895e78cdfeb6f6ce430b60cccf2b1b0b17248eec5d192b9,nan,True,True,True,True,True,True,False,missing_local_only,,True
61001,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61001/ckpt_step_075000.pt,False,False,42510544,nan,09a7c61cc0fd1ab305ec44bb05c774b8966cb821413daaed61ec9b935d2d5e4d,nan,True,True,True,True,True,True,False,missing_local_only,,True
61001,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61001/ckpt_step_100000.pt,False,False,41906768,nan,d6a7d22c8154f9b962eea832474b10cda19247a00af4a8f7299273710fad138e,nan,True,True,True,True,True,True,False,missing_local_only,,True
61002,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61002/ckpt_step_010000.pt,False,False,18837136,nan,f85302f1cc4e430b91da52dbeb6e12f1b6adad0c922a7c2049e6e74206a3a0ba,nan,True,True,True,True,True,True,False,missing_local_only,,True
61002,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61002/ckpt_step_025000.pt,False,False,42897488,nan,25cb3b31f26f8af9794ddc6c1f2cd1576b4bbfe39c16dd41ab0bebfdb69cb047,nan,True,True,True,True,True,True,False,missing_local_only,,True
61002,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61002/ckpt_step_050000.pt,False,False,43567824,nan,7b8fc515900155ac44d32fa82be765f7f885f0db014ad91414aaff05f24558b6,nan,True,True,True,True,True,True,False,missing_local_only,,True
61002,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61002/ckpt_step_075000.pt,False,False,42003728,nan,e59435110b2ad488fe9d063944c8966275f047c0dda47bff9985ea6aee074b2d,nan,True,True,True,True,True,True,False,missing_local_only,,True
61002,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61002/ckpt_step_100000.pt,False,False,42261712,nan,febb96b0cc543dd1ed079ee051519840e8259abb983ac88303075da74adaa6a5,nan,True,True,True,True,True,True,False,missing_local_only,,True
61003,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61003/ckpt_step_010000.pt,False,False,19129040,nan,44997de41469d8a872e82726c7259d34461591826d87123030c21f3a0fc67a6c,nan,True,True,True,True,True,True,False,missing_local_only,,True
61003,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61003/ckpt_step_025000.pt,False,False,44453584,nan,64a9b8cc2418e759a90d252598c3ba28b5fd78ff557e413d5afa64bde2d03da9,nan,True,True,True,True,True,True,False,missing_local_only,,True
61003,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61003/ckpt_step_050000.pt,False,False,44198480,nan,5f2dc5e526f7f6d607b73b58a6842700d2fc93038a1c4746b2473f8b870a7043,nan,True,True,True,True,True,True,False,missing_local_only,,True
