slot_id,condition,master_seed,environment_seed,learner_A_seed,learner_B_seed,replay_A_seed,replay_B_seed,evaluation_seed,schedule_seed,environment_steps,primary_endpoint_checkpoint,status_planned,terminal_status_allowed
1,baseline,61001,61001,161001,261001,361001,461001,561001,661001,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
2,baseline,61002,61002,161002,261002,361002,461002,561002,661002,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
3,baseline,61003,61003,161003,261003,361003,461003,561003,661003,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
4,baseline,61004,61004,161004,261004,361004,461004,561004,661004,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
5,baseline,61005,61005,161005,261005,361005,461005,561005,661005,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
6,baseline,61006,61006,161006,261006,361006,461006,561006,661006,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
7,baseline,61007,61007,161007,261007,361007,461007,561007,661007,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
8,baseline,61008,61008,161008,261008,361008,461008,561008,661008,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
9,baseline,61009,61009,161009,261009,361009,461009,561009,661009,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
10,baseline,61010,61010,161010,261010,361010,461010,561010,661010,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
11,mean_pbrs,61001,61001,161001,261001,361001,461001,561001,661001,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
12,mean_pbrs,61002,61002,161002,261002,361002,461002,561002,661002,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
13,mean_pbrs,61003,61003,161003,261003,361003,461003,561003,661003,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
14,mean_pbrs,61004,61004,161004,261004,361004,461004,561004,661004,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
15,mean_pbrs,61005,61005,161005,261005,361005,461005,561005,661005,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
16,mean_pbrs,61006,61006,161006,261006,361006,461006,561006,661006,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
17,mean_pbrs,61007,61007,161007,261007,361007,461007,561007,661007,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
18,mean_pbrs,61008,61008,161008,261008,361008,461008,561008,661008,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
19,mean_pbrs,61009,61009,161009,261009,361009,461009,561009,661009,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
20,mean_pbrs,61010,61010,161010,261010,361010,461010,561010,661010,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
21,min_pbrs,61001,61001,161001,261001,361001,461001,561001,661001,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
22,min_pbrs,61002,61002,161002,261002,361002,461002,561002,661002,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
23,min_pbrs,61003,61003,161003,261003,361003,461003,561003,661003,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
24,min_pbrs,61004,61004,161004,261004,361004,461004,561004,661004,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
25,min_pbrs,61005,61005,161005,261005,361005,461005,561005,661005,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
26,min_pbrs,61006,61006,161006,261006,361006,461006,561006,661006,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
27,min_pbrs,61007,61007,161007,261007,361007,461007,561007,661007,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
28,min_pbrs,61008,61008,161008,261008,361008,461008,561008,661008,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
29,min_pbrs,61009,61009,161009,261009,361009,461009,561009,661009,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
30,min_pbrs,61010,61010,161010,261010,361010,461010,561010,661010,20000,20000,PENDING,COMPLETE|FAILED_WITH_REASON
