endpoint,contrast,cohens_dz,defined,reason
evaluation_success_rate,mean_pbrs - baseline,-0.40701336810013106,True,
evaluation_success_rate,min_pbrs - baseline,-0.11375103131225069,True,
evaluation_success_rate,min_pbrs - mean_pbrs,0.41676819874464927,True,
stakeholder_collision_rate,mean_pbrs - baseline,0.3459832849973203,True,
stakeholder_collision_rate,min_pbrs - baseline,0.13552618543578765,True,
stakeholder_collision_rate,min_pbrs - mean_pbrs,-0.20868250309207573,True,
mean_stakeholder_episode_utility,mean_pbrs - baseline,-0.3403647209437076,True,
mean_stakeholder_episode_utility,min_pbrs - baseline,-0.19556900291898266,True,
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.12488369210074328,True,
minimum_stakeholder_episode_utility,mean_pbrs - baseline,-0.35499834239404954,True,
minimum_stakeholder_episode_utility,min_pbrs - baseline,0.08090722519769546,True,
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.39024223207440634,True,
convention_consistency,mean_pbrs - baseline,3.11904761904762,True,
convention_consistency,min_pbrs - baseline,-0.07447441923537469,True,
convention_consistency,min_pbrs - mean_pbrs,-1.477097891751993,True,
