block_id,assignment,block_index,episode_seed,steps,episode_length,term_reason,success,collision,terminated,truncated,convention,learner_A_utility,learner_B_utility,B_front_utility,B_rear_utility,worst_off_stakeholder_identity,discounted_base_return_A,discounted_base_return_B,discounted_learner_reward_A,discounted_learner_reward_B,collision_type,minimum_bumper_gap,minimum_TTC,hard_braking_rate,background_maximum_braking,formal_job_id,condition,master_seed,checkpoint_step,checkpoint_index,evaluation_seed_base,reconstruction_source,published_episode_payload_available,utility_A,utility_B,utility_B_front,utility_B_rear,roles_json,exit_time_json
validation_001,0,0,566001,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.16709877563594194,0.7775754042570272,-0.16709877563594194,0.7775754042570272,none,19.30623100240119,,0.04625,2.6922434654871807,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 47, ""B_front"": 36, ""B_rear"": null}"
validation_001,1,0,566002,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,1.0,A,-0.15882904480479987,0.5725696520620409,-0.15882904480479987,0.5725696520620409,none,,,0.06625,2.6922434654871807,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,1.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": 68, ""B_front"": 36, ""B_rear"": 86}"
validation_002,0,1,566003,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.15634089016308136,0.7755700765174677,-0.15634089016308136,0.7755700765174677,none,25.734173914945885,,0.0375,6.000000000000014,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 45, ""B_front"": 40, ""B_rear"": null}"
validation_002,1,1,566004,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,1.0,A,-0.15068242509166807,0.5916032590347085,-0.15068242509166807,0.5916032590347085,none,,,0.05375,6.000000000000014,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,1.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": 67, ""B_front"": 40, ""B_rear"": 85}"
validation_003,0,2,566005,30,30,collision,False,True,True,False,,1.0,0.729999999999998,1.0,0.9556966091026894,B,-0.6960377344728749,-0.871690188186639,-0.6960377344728749,-0.871690188186639,B-B_rear,49.86655102397745,,0.26666666666666666,2.6922434654871807,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,1.0,0.729999999999998,1.0,0.9556966091026894,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": null, ""B_front"": null, ""B_rear"": null}"
validation_003,1,2,566006,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,1.0,A,-0.15068242509166804,0.6355528369910477,-0.15068242509166804,0.6355528369910477,none,,,0.05125,2.6922434654871807,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,1.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": 60, ""B_front"": 36, ""B_rear"": 79}"
validation_004,0,3,566007,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.15634089016308136,0.8083444661904123,-0.15634089016308136,0.8083444661904123,none,25.313782465714723,,0.0375,3.2601209793560315,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 44, ""B_front"": 39, ""B_rear"": null}"
validation_004,1,3,566008,400,400,truncation,False,False,False,True,,0.0,0.0,1.0,0.0,A,-0.012037868136107105,-0.15634089016308136,-0.012037868136107105,-0.15634089016308136,none,24.608546632195797,,0.09375,3.2601209793560315,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": null, ""B_front"": 39, ""B_rear"": null}"
validation_005,0,4,566009,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.1506364608822361,0.8008309143409653,-0.1506364608822361,0.8008309143409653,none,26.934173914945944,,0.03375,6.000000000000014,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 43, ""B_front"": 40, ""B_rear"": null}"
validation_005,1,4,566010,400,400,truncation,False,False,False,True,,0.0,0.0,1.0,0.0,A,-0.03945818217537711,-0.1506364608822361,-0.03945818217537711,-0.1506364608822361,none,29.44576770690169,,0.08875,6.000000000000014,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": null, ""B_front"": 40, ""B_rear"": null}"
