condition,master_seed,endpoint,auc,n_available_checkpoints,note
baseline,61001,evaluation_success_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61001,stakeholder_collision_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61001,mean_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61001,minimum_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61001,convention_consistency,,1,intermediate_eval_episode_payloads_unpublished
baseline,61002,evaluation_success_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61002,stakeholder_collision_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61002,mean_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61002,minimum_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61002,convention_consistency,,1,intermediate_eval_episode_payloads_unpublished
baseline,61003,evaluation_success_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61003,stakeholder_collision_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61003,mean_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61003,minimum_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61003,convention_consistency,,1,intermediate_eval_episode_payloads_unpublished
baseline,61004,evaluation_success_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61004,stakeholder_collision_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61004,mean_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61004,minimum_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61004,convention_consistency,,1,intermediate_eval_episode_payloads_unpublished
baseline,61005,evaluation_success_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61005,stakeholder_collision_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61005,mean_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61005,minimum_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61005,convention_consistency,,1,intermediate_eval_episode_payloads_unpublished
baseline,61006,evaluation_success_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61006,stakeholder_collision_rate,,1,intermediate_eval_episode_payloads_unpublished
baseline,61006,mean_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61006,minimum_stakeholder_episode_utility,,1,intermediate_eval_episode_payloads_unpublished
baseline,61006,convention_consistency,,1,intermediate_eval_episode_payloads_unpublished
