condition,master_seed,checkpoint_step,mean_episode_length,mean_A_utility,mean_B_utility,mean_B_front_utility,mean_B_rear_utility,mean_discounted_base_return,mean_discounted_learner_reward,mean_hard_braking_rate,mean_background_maximum_braking,mainline_first_frequency,ramp_first_frequency,classification
baseline,61001,100000,376.875,0.0625,0.7331249999999998,1.0,0.3097310380689181,0.24387040521373463,0.24387040521373463,0.07010416666666666,4.288596160412149,0.0,0.0,secondary
baseline,61002,100000,400.0,0.3775,0.5625,1.0,0.0625,0.4713447034142721,0.4713447034142721,0.053203125000000004,4.289140854870057,0.0,0.0,secondary
baseline,61003,100000,233.5,0.8162499999999999,0.6275,1.0,0.31510123900010634,0.7244071815240397,0.7244071815240397,0.1679624720850869,4.577816970756208,0.125,0.5,secondary
baseline,61004,100000,97.875,1.0,0.9375,1.0,0.9275132439164274,1.2216163188092883,1.2216163188092883,0.10721488421710305,4.110106618954994,0.5,0.4375,secondary
baseline,61005,100000,232.5625,0.8284375,0.5742187500000003,1.0,0.38834455372027515,0.3939011864542902,0.3939011864542902,0.1474639241591028,4.297558645347186,0.0625,0.3125,secondary
baseline,61006,100000,250.125,0.56625,0.87625,1.0,0.4057220555230526,0.797599648215804,0.797599648215804,0.1144282483819723,4.247450543599021,0.0625,0.5,secondary
baseline,61007,100000,69.4375,1.0,1.0,1.0,0.8335088425108499,1.3872925551794313,1.3872925551794313,0.07196789724448445,4.933530713090248,0.75,0.25,secondary
baseline,61008,100000,400.0,0.5,0.500625,1.0,0.0006250000000004065,0.4397476666895975,0.4397476666895975,0.060312500000000005,4.289140854870057,0.0,0.0,secondary
baseline,61009,100000,400.0,0.5,0.4375,1.0,0.4375,0.4930342969875103,0.4930342969875103,0.0540625,4.101747232576836,0.0,0.0,secondary
baseline,61010,100000,328.5,0.4375,0.17359375000000096,1.0,0.17157614689679557,-0.23961336355035023,-0.23961336355035023,0.10321363304093567,4.228732333852639,0.0,0.0,secondary
mean_pbrs,61001,100000,258.3125,1.0,0.4375,1.0,0.3905939651928644,0.8634778801781497,0.8634778801781497,0.10285950790505453,4.127599928460013,0.0,0.4375,secondary
mean_pbrs,61002,100000,376.25,0.5,0.3131250000000001,1.0,0.05775710879677657,0.19822289291761414,0.19822289291761414,0.090078125,4.257177493585256,0.0,0.0,secondary
mean_pbrs,61003,100000,353.25,0.5706249999999999,0.625,1.0,0.1281367026812863,0.6699635727473923,0.6699635727473923,0.05871052874850987,4.213395163746095,0.0,0.1875,secondary
mean_pbrs,61004,100000,289.1875,0.23390625,0.2740625000000001,1.0,0.19558405039070545,-0.6277174119664799,-0.6277174119664799,0.17012001254566778,4.987295398898372,0.0,0.0,secondary
mean_pbrs,61005,100000,260.375,0.5299999999999998,0.375,1.0,0.21295402167621086,0.35436497477487605,0.35436497477487605,0.1614090085703073,5.102062545641384,0.375,0.0,secondary
mean_pbrs,61006,100000,303.125,0.5,0.8125,1.0,0.10898046540873801,0.7954814579659464,0.7954814579659464,0.08309036345473725,4.909887790839016,0.3125,0.0,secondary
mean_pbrs,61007,100000,338.9375,0.12500000000000003,0.8287499999999999,1.0,0.5548707723407442,0.39382338637412784,0.39382338637412784,0.0836145051961244,4.612462915155011,0.125,0.0,secondary
mean_pbrs,61008,100000,381.875,0.0625,0.9375,1.0,0.42631133070888,0.27192323146830294,0.27192323146830294,0.08809659090909092,4.0989660833060615,0.0,0.0625,secondary
mean_pbrs,61009,100000,236.4375,0.625625,0.5625,1.0,0.5292035748199505,-0.4236448753217802,-0.4236448753217802,0.09128024035590324,4.072628590224154,0.0,0.0625,secondary
mean_pbrs,61010,100000,314.4375,0.6825000000000002,0.5,1.0,0.16608272129984525,0.3149855918596907,0.3149855918596907,0.09248931107108835,4.086918352779652,0.0,0.125,secondary
min_pbrs,61001,100000,400.0,0.0,0.5,1.0,0.0,0.21766765040033917,0.21766765040033917,0.068984375,4.2742463711553835,0.0,0.0,secondary
min_pbrs,61002,100000,362.75,0.17406250000000056,0.7403125000000004,1.0,0.12918589452473028,0.2395889266477273,0.2395889266477273,0.09363303934378629,5.018807925533357,0.0,0.125,secondary
min_pbrs,61003,100000,50.6875,1.0,1.0,1.0,0.9349099544599524,0.8091054207127785,0.8091054207127785,0.03151368083703669,3.8670614261804825,0.5,0.25,secondary
min_pbrs,61004,100000,278.8125,0.5290625000000001,0.7918750000000001,1.0,0.258004759025307,0.6268359988184904,0.6268359988184904,0.09785608205640683,4.702014868370409,0.0625,0.25,secondary
min_pbrs,61005,100000,338.8125,0.5,0.5650000000000002,1.0,0.20609456026927847,0.5729498757510463,0.5729498757510463,0.09594424424121292,4.580668787928389,0.125,0.0625,secondary
min_pbrs,61006,100000,230.75,0.5006250000000001,1.0,1.0,0.4614003609294045,1.04057030158644,1.04057030158644,0.07686359208123177,4.289140854870057,0.0,0.5,secondary
min_pbrs,61007,100000,142.3125,0.75,1.0,1.0,0.7130724825516489,0.9372860276063603,0.9372860276063603,0.055528180844405126,4.158221826757003,0.375,0.25,secondary
min_pbrs,61008,100000,139.25,0.75,0.9925000000000006,1.0,0.6928273278488464,0.8856024365434547,0.8856024365434547,0.060336157317637445,4.145437102464551,0.3125,0.3125,secondary
min_pbrs,61009,100000,400.0,0.3750000000000001,0.0,1.0,0.0,0.09102108825142802,0.09102108825142802,0.06953125,4.289140854870057,0.0,0.0,secondary
min_pbrs,61010,100000,400.0,0.0625,4.218847493575595e-16,1.0,0.0,-0.15478757023885756,-0.15478757023885756,0.08890624999999999,4.135794191011168,0.0,0.0,secondary
