endpoint,contrast,mean_diff,median_diff,ci_low,ci_high,n_complete,n_missing,bootstrap_replicates,bootstrap_seed
evaluation_success_rate,mean_pbrs - baseline,-0.18125,0.0,-0.45625,0.06875,10,0,10000,91001
evaluation_success_rate,min_pbrs - baseline,-0.0375,0.0,-0.23125,0.1625,10,0,10000,91001
evaluation_success_rate,min_pbrs - mean_pbrs,0.14375,0.15625,-0.0625,0.34375,10,0,10000,91001
stakeholder_collision_rate,mean_pbrs - baseline,0.05625,0.0,-0.03125,0.15625,10,0,10000,91001
stakeholder_collision_rate,min_pbrs - baseline,0.01875,0.03125,-0.0625,0.1,10,0,10000,91001
stakeholder_collision_rate,min_pbrs - mean_pbrs,-0.0375,0.0,-0.14375,0.06875,10,0,10000,91001
mean_stakeholder_episode_utility,mean_pbrs - baseline,-0.07742009140801062,-0.06979493516469223,-0.22068750115299754,0.04895228751555999,10,0,10000,91001
mean_stakeholder_episode_utility,min_pbrs - baseline,-0.0434234820006814,-0.11129282542627472,-0.16498695288554124,0.09702187161550857,10,0,10000,91001
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.03399660940732922,0.08915296015607763,-0.12929692331348625,0.1899191389638773,10,0,10000,91001
minimum_stakeholder_episode_utility,mean_pbrs - baseline,-0.13363015289611258,-0.0929045230930127,-0.36532208277895367,0.08225929689961078,10,0,10000,91001
minimum_stakeholder_episode_utility,min_pbrs - baseline,0.03125369147080116,-0.022812499999999937,-0.1862102123047386,0.2711741144556843,10,0,10000,91001
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.16488384436691367,0.08268093681548527,-0.07934611359898819,0.4185229119434669,10,0,10000,91001
convention_consistency,mean_pbrs - baseline,0.18194444444444444,0.1833333333333333,0.13333333333333336,0.22916666666666666,4,6,10000,91001
convention_consistency,min_pbrs - baseline,-0.01444444444444446,-0.13333333333333341,-0.15333333333333338,0.15222222222222226,5,5,10000,91001
convention_consistency,min_pbrs - mean_pbrs,-0.2666666666666667,-0.33333333333333337,-0.3833333333333333,-0.08333333333333334,4,6,10000,91001
