endpoint,contrast,pvalue_raw,pvalue_holm,wilcoxon_defined,family
evaluation_success_rate,mean_pbrs - baseline,0.40625,0.8125,True,holm_within_evaluation_success_rate
evaluation_success_rate,min_pbrs - baseline,0.75,0.8125,True,holm_within_evaluation_success_rate
evaluation_success_rate,min_pbrs - mean_pbrs,0.2265625,0.6796875,True,holm_within_evaluation_success_rate
stakeholder_collision_rate,mean_pbrs - baseline,0.578125,1.0,True,holm_within_stakeholder_collision_rate
stakeholder_collision_rate,min_pbrs - baseline,0.765625,1.0,True,holm_within_stakeholder_collision_rate
stakeholder_collision_rate,min_pbrs - mean_pbrs,0.65625,1.0,True,holm_within_stakeholder_collision_rate
mean_stakeholder_episode_utility,mean_pbrs - baseline,0.431640625,1.0,True,holm_within_mean_stakeholder_episode_utility
mean_stakeholder_episode_utility,min_pbrs - baseline,0.556640625,1.0,True,holm_within_mean_stakeholder_episode_utility
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.76953125,1.0,True,holm_within_mean_stakeholder_episode_utility
minimum_stakeholder_episode_utility,mean_pbrs - baseline,0.431640625,0.966796875,True,holm_within_minimum_stakeholder_episode_utility
minimum_stakeholder_episode_utility,min_pbrs - baseline,1.0,1.0,True,holm_within_minimum_stakeholder_episode_utility
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.322265625,0.966796875,True,holm_within_minimum_stakeholder_episode_utility
convention_consistency,mean_pbrs - baseline,0.125,0.375,True,holm_within_convention_consistency
convention_consistency,min_pbrs - baseline,0.8125,0.8125,True,holm_within_convention_consistency
convention_consistency,min_pbrs - mean_pbrs,0.25,0.5,True,holm_within_convention_consistency
