item,value
completed_jobs,30
failed_jobs,0
validated_eval_episodes_step_100000,480
intermediate_eval_episode_payloads_published,0
pbrs_comparison_type,equal_coefficient
magnitude_matched,False
rms_matched,False
formal_execution_id,stage6a_20260730T094829Z_a89256db_44d5e647
result_commit,c75845935a7fe9179b691298b2329208853773a6
runner_commit,a89256db879f04d1e02782ff8dc1af00ff1d75b9
protocol_hash,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2
nan_inf,0
seed_replacement,False
training_invoked_during_analysis,False
