endpoint,contrast,master_seed,difference
evaluation_success_rate,mean_pbrs - baseline,61001,0.4375
evaluation_success_rate,mean_pbrs - baseline,61002,0.0
evaluation_success_rate,mean_pbrs - baseline,61003,-0.4375
evaluation_success_rate,mean_pbrs - baseline,61004,-0.9375
evaluation_success_rate,mean_pbrs - baseline,61005,0.0
evaluation_success_rate,mean_pbrs - baseline,61006,-0.25
evaluation_success_rate,mean_pbrs - baseline,61007,-0.875
evaluation_success_rate,mean_pbrs - baseline,61008,0.0625
evaluation_success_rate,mean_pbrs - baseline,61009,0.0625
evaluation_success_rate,mean_pbrs - baseline,61010,0.125
evaluation_success_rate,min_pbrs - baseline,61001,0.0
evaluation_success_rate,min_pbrs - baseline,61002,0.125
evaluation_success_rate,min_pbrs - baseline,61003,0.125
evaluation_success_rate,min_pbrs - baseline,61004,-0.625
evaluation_success_rate,min_pbrs - baseline,61005,-0.1875
evaluation_success_rate,min_pbrs - baseline,61006,-0.0625
evaluation_success_rate,min_pbrs - baseline,61007,-0.375
evaluation_success_rate,min_pbrs - baseline,61008,0.625
evaluation_success_rate,min_pbrs - baseline,61009,0.0
evaluation_success_rate,min_pbrs - baseline,61010,0.0
evaluation_success_rate,min_pbrs - mean_pbrs,61001,-0.4375
evaluation_success_rate,min_pbrs - mean_pbrs,61002,0.125
evaluation_success_rate,min_pbrs - mean_pbrs,61003,0.5625
evaluation_success_rate,min_pbrs - mean_pbrs,61004,0.3125
evaluation_success_rate,min_pbrs - mean_pbrs,61005,-0.1875
evaluation_success_rate,min_pbrs - mean_pbrs,61006,0.1875
evaluation_success_rate,min_pbrs - mean_pbrs,61007,0.5
evaluation_success_rate,min_pbrs - mean_pbrs,61008,0.5625
evaluation_success_rate,min_pbrs - mean_pbrs,61009,-0.0625
evaluation_success_rate,min_pbrs - mean_pbrs,61010,-0.125
stakeholder_collision_rate,mean_pbrs - baseline,61001,-0.0625
stakeholder_collision_rate,mean_pbrs - baseline,61002,0.0625
stakeholder_collision_rate,mean_pbrs - baseline,61003,0.0
stakeholder_collision_rate,mean_pbrs - baseline,61004,0.3125
stakeholder_collision_rate,mean_pbrs - baseline,61005,-0.125
stakeholder_collision_rate,mean_pbrs - baseline,61006,0.0
stakeholder_collision_rate,mean_pbrs - baseline,61007,0.0625
stakeholder_collision_rate,mean_pbrs - baseline,61008,0.0
stakeholder_collision_rate,mean_pbrs - baseline,61009,0.375
stakeholder_collision_rate,mean_pbrs - baseline,61010,-0.0625
stakeholder_collision_rate,min_pbrs - baseline,61001,-0.0625
stakeholder_collision_rate,min_pbrs - baseline,61002,0.0625
stakeholder_collision_rate,min_pbrs - baseline,61003,0.25
stakeholder_collision_rate,min_pbrs - baseline,61004,0.0625
stakeholder_collision_rate,min_pbrs - baseline,61005,-0.1875
stakeholder_collision_rate,min_pbrs - baseline,61006,0.0
stakeholder_collision_rate,min_pbrs - baseline,61007,0.125
stakeholder_collision_rate,min_pbrs - baseline,61008,0.125
stakeholder_collision_rate,min_pbrs - baseline,61009,0.0
stakeholder_collision_rate,min_pbrs - baseline,61010,-0.1875
stakeholder_collision_rate,min_pbrs - mean_pbrs,61001,0.0
stakeholder_collision_rate,min_pbrs - mean_pbrs,61002,0.0
stakeholder_collision_rate,min_pbrs - mean_pbrs,61003,0.25
stakeholder_collision_rate,min_pbrs - mean_pbrs,61004,-0.25
stakeholder_collision_rate,min_pbrs - mean_pbrs,61005,-0.0625
stakeholder_collision_rate,min_pbrs - mean_pbrs,61006,0.0
stakeholder_collision_rate,min_pbrs - mean_pbrs,61007,0.0625
stakeholder_collision_rate,min_pbrs - mean_pbrs,61008,0.125
stakeholder_collision_rate,min_pbrs - mean_pbrs,61009,-0.375
stakeholder_collision_rate,min_pbrs - mean_pbrs,61010,-0.125
mean_stakeholder_episode_utility,mean_pbrs - baseline,61001,0.18068448178098662
mean_stakeholder_episode_utility,mean_pbrs - baseline,61002,-0.03290447280080583
mean_stakeholder_episode_utility,mean_pbrs - baseline,61003,-0.10877238407970502
mean_stakeholder_episode_utility,mean_pbrs - baseline,61004,-0.5403651108814305
mean_stakeholder_episode_utility,mean_pbrs - baseline,61005,-0.16826169551101622
mean_stakeholder_episode_utility,mean_pbrs - baseline,61006,-0.10668539752857864
mean_stakeholder_episode_utility,mean_pbrs - baseline,61007,-0.33122201754252645
mean_stakeholder_episode_utility,mean_pbrs - baseline,61008,0.10626533267721983
mean_stakeholder_episode_utility,mean_pbrs - baseline,61009,0.08558214370498762
mean_stakeholder_episode_utility,mean_pbrs - baseline,61010,0.14147820610076228
mean_stakeholder_episode_utility,min_pbrs - baseline,61001,-0.15133900951722945
mean_stakeholder_episode_utility,min_pbrs - baseline,61002,0.010265223631182763
mean_stakeholder_episode_utility,min_pbrs - baseline,61003,0.29401467886496147
mean_stakeholder_episode_utility,min_pbrs - baseline,61004,-0.32151774622278007
mean_stakeholder_episode_utility,min_pbrs - baseline,61005,-0.12997656086274922
mean_stakeholder_episode_utility,min_pbrs - baseline,61006,0.02845082635158802
mean_stakeholder_episode_utility,min_pbrs - baseline,61007,-0.09260908998980022
mean_stakeholder_episode_utility,min_pbrs - baseline,61008,0.35851933196221164
mean_stakeholder_episode_utility,min_pbrs - baseline,61009,-0.24999999999999994
mean_stakeholder_episode_utility,min_pbrs - baseline,61010,-0.180042474224199
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61001,-0.33202349129821607
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61002,0.04316969643198859
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61003,0.4027870629446665
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61004,0.2188473646586504
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61005,0.038285134648266994
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61006,0.13513622388016666
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61007,0.23861292755272623
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61008,0.2522539992849918
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61009,-0.33558214370498757
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,61010,-0.3215206803249613
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61001,0.2824689651928646
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61002,0.0532290487707389
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61003,-0.18579905939549934
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61004,-0.7071394544659024
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61005,-0.20130708932175323
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61006,-0.2942415901143145
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61007,-0.7376764970483344
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61008,0.05068633070888001
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61009,0.40348780350272084
minimum_stakeholder_episode_utility,mean_pbrs - baseline,61010,-9.986790526050893e-06
minimum_stakeholder_episode_utility,min_pbrs - baseline,61001,-0.045624999999999874
minimum_stakeholder_episode_utility,min_pbrs - baseline,61002,0.12169400631734559
minimum_stakeholder_episode_utility,min_pbrs - baseline,61003,0.6209741923831671
minimum_stakeholder_episode_utility,min_pbrs - baseline,61004,-0.6102425383815385
minimum_stakeholder_episode_utility,min_pbrs - baseline,61005,-0.2362496466361572
minimum_stakeholder_episode_utility,min_pbrs - baseline,61006,0.05817830540635166
minimum_stakeholder_episode_utility,min_pbrs - baseline,61007,-0.12043635995920099
minimum_stakeholder_episode_utility,min_pbrs - baseline,61008,0.6903366636684152
minimum_stakeholder_episode_utility,min_pbrs - baseline,61009,0.0
minimum_stakeholder_episode_utility,min_pbrs - baseline,61010,-0.1660927080903713
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61001,-0.32809396519286443
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61002,0.0684649575466067
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61003,0.8067732517786664
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61004,0.09689691608436385
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61005,-0.03494255731440396
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61006,0.35241989552066616
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61007,0.6172401370891334
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61008,0.6396503329595351
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61009,-0.40348780350272084
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,61010,-0.16608272129984525
convention_consistency,mean_pbrs - baseline,61003,0.19999999999999996
convention_consistency,mean_pbrs - baseline,61005,0.16666666666666663
convention_consistency,mean_pbrs - baseline,61006,0.11111111111111116
convention_consistency,mean_pbrs - baseline,61007,0.25
convention_consistency,min_pbrs - baseline,61003,-0.13333333333333341
convention_consistency,min_pbrs - baseline,61004,0.2666666666666667
convention_consistency,min_pbrs - baseline,61005,-0.16666666666666674
convention_consistency,min_pbrs - baseline,61006,0.11111111111111116
convention_consistency,min_pbrs - baseline,61007,-0.15000000000000002
convention_consistency,min_pbrs - mean_pbrs,61003,-0.33333333333333337
convention_consistency,min_pbrs - mean_pbrs,61005,-0.33333333333333337
convention_consistency,min_pbrs - mean_pbrs,61006,0.0
convention_consistency,min_pbrs - mean_pbrs,61007,-0.4
