condition,master_seed,checkpoint_step,endpoint_source,n_episodes,evaluation_success_rate,stakeholder_collision_rate,mean_stakeholder_episode_utility,minimum_stakeholder_episode_utility,convention_consistency,mainline_first_frequency,ramp_first_frequency,n_success,n_collision
baseline,61001,100000,reconstructed_from_final_weights,16,0.0,0.0625,0.5263390095172295,0.045624999999999874,,0.0,0.0,0,1
baseline,61002,100000,reconstructed_from_final_weights,16,0.0,0.0,0.500625,0.0024999999999999996,,0.0,0.0,0,0
baseline,61003,100000,reconstructed_from_final_weights,16,0.625,0.0,0.6897128097500266,0.3139357620767852,0.8,0.125,0.5,10,0
baseline,61004,100000,reconstructed_from_final_weights,16,0.9375,0.0,0.9662533109791068,0.8650132439164274,0.5333333333333333,0.5,0.4375,15,0
baseline,61005,100000,reconstructed_from_final_weights,16,0.375,0.1875,0.6977502009300689,0.3798442069054357,0.8333333333333334,0.0625,0.3125,6,3
baseline,61006,100000,reconstructed_from_final_weights,16,0.5625,0.0,0.7120555138807632,0.4032220555230525,0.8888888888888888,0.0625,0.5,9,0
baseline,61007,100000,reconstructed_from_final_weights,16,1.0,0.0,0.9583772106277124,0.8335088425108499,0.75,0.75,0.25,16,0
baseline,61008,100000,reconstructed_from_final_weights,16,0.0,0.0,0.5003125000000002,0.0006250000000000026,,0.0,0.0,0,0
baseline,61009,100000,reconstructed_from_final_weights,16,0.0,0.0,0.59375,0.0,,0.0,0.0,0,0
baseline,61010,100000,reconstructed_from_final_weights,16,0.0,0.1875,0.4456674742241991,0.1660927080903713,,0.0,0.0,0,3
mean_pbrs,61001,100000,reconstructed_from_final_weights,16,0.4375,0.0,0.7070234912982161,0.32809396519286443,1.0,0.0,0.4375,7,0
mean_pbrs,61002,100000,reconstructed_from_final_weights,16,0.0,0.0625,0.46772052719919416,0.0557290487707389,,0.0,0.0,0,1
mean_pbrs,61003,100000,reconstructed_from_final_weights,16,0.1875,0.0,0.5809404256703216,0.12813670268128585,1.0,0.0,0.1875,3,0
mean_pbrs,61004,100000,reconstructed_from_final_weights,16,0.0,0.3125,0.42588820009767636,0.15787378945052505,,0.0,0.0,0,5
mean_pbrs,61005,100000,reconstructed_from_final_weights,16,0.375,0.0625,0.5294885054190527,0.17853711758368246,1.0,0.375,0.0,6,1
mean_pbrs,61006,100000,reconstructed_from_final_weights,16,0.3125,0.0,0.6053701163521845,0.10898046540873801,1.0,0.3125,0.0,5,0
mean_pbrs,61007,100000,reconstructed_from_final_weights,16,0.125,0.0625,0.627155193085186,0.09583234546251554,1.0,0.125,0.0,2,1
mean_pbrs,61008,100000,reconstructed_from_final_weights,16,0.0625,0.0,0.60657783267722,0.05131133070888001,1.0,0.0,0.0625,1,0
mean_pbrs,61009,100000,reconstructed_from_final_weights,16,0.0625,0.375,0.6793321437049876,0.40348780350272084,1.0,0.0,0.0625,1,6
mean_pbrs,61010,100000,reconstructed_from_final_weights,16,0.125,0.125,0.5871456803249614,0.16608272129984525,1.0,0.0,0.125,2,2
min_pbrs,61001,100000,reconstructed_from_final_weights,16,0.0,0.0,0.375,0.0,,0.0,0.0,0,0
min_pbrs,61002,100000,reconstructed_from_final_weights,16,0.125,0.0625,0.5108902236311827,0.12419400631734559,1.0,0.0,0.125,2,1
min_pbrs,61003,100000,reconstructed_from_final_weights,16,0.75,0.25,0.983727488614988,0.9349099544599523,0.6666666666666666,0.5,0.25,12,4
min_pbrs,61004,100000,reconstructed_from_final_weights,16,0.3125,0.0625,0.6447355647563268,0.2547707055348889,0.8,0.0625,0.25,5,1
min_pbrs,61005,100000,reconstructed_from_final_weights,16,0.1875,0.0,0.5677736400673197,0.1435945602692785,0.6666666666666666,0.125,0.0625,3,0
min_pbrs,61006,100000,reconstructed_from_final_weights,16,0.5,0.0,0.7405063402323512,0.4614003609294042,1.0,0.0,0.5,8,0
min_pbrs,61007,100000,reconstructed_from_final_weights,16,0.625,0.125,0.8657681206379122,0.7130724825516489,0.6,0.375,0.25,10,2
min_pbrs,61008,100000,reconstructed_from_final_weights,16,0.625,0.125,0.8588318319622118,0.6909616636684152,,0.3125,0.3125,10,2
min_pbrs,61009,100000,reconstructed_from_final_weights,16,0.0,0.0,0.34375000000000006,0.0,,0.0,0.0,0,0
min_pbrs,61010,100000,reconstructed_from_final_weights,16,0.0,0.0,0.2656250000000001,0.0,,0.0,0.0,0,0
