endpoint,contrast,stat,pvalue_raw,defined,reason,n_complete,n_missing
evaluation_success_rate,mean_pbrs - baseline,11.5,0.40625,True,,10,0
evaluation_success_rate,min_pbrs - baseline,11.5,0.75,True,,10,0
evaluation_success_rate,min_pbrs - mean_pbrs,15.0,0.2265625,True,,10,0
stakeholder_collision_rate,mean_pbrs - baseline,10.0,0.578125,True,,10,0
stakeholder_collision_rate,min_pbrs - baseline,15.0,0.765625,True,,10,0
stakeholder_collision_rate,min_pbrs - mean_pbrs,10.5,0.65625,True,,10,0
mean_stakeholder_episode_utility,mean_pbrs - baseline,19.0,0.431640625,True,,10,0
mean_stakeholder_episode_utility,min_pbrs - baseline,21.0,0.556640625,True,,10,0
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,24.0,0.76953125,True,,10,0
minimum_stakeholder_episode_utility,mean_pbrs - baseline,19.0,0.431640625,True,,10,0
minimum_stakeholder_episode_utility,min_pbrs - baseline,22.0,1.0,True,,10,0
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,17.0,0.322265625,True,,10,0
convention_consistency,mean_pbrs - baseline,0.0,0.125,True,,4,6
convention_consistency,min_pbrs - baseline,6.0,0.8125,True,,5,5
convention_consistency,min_pbrs - mean_pbrs,0.0,0.25,True,,4,6
