endpoint,condition,n,mean,median,sd,checkpoint_step
evaluation_success_rate,baseline,10,0.35,0.1875,0.40846086443841567,100000
evaluation_success_rate,mean_pbrs,10,0.16875,0.125,0.15604152759228337,100000
evaluation_success_rate,min_pbrs,10,0.3125,0.25,0.2916666666666667,100000
stakeholder_collision_rate,baseline,10,0.04375,0.0,0.07822909731466078,100000
stakeholder_collision_rate,mean_pbrs,10,0.1,0.0625,0.1356568383008309,100000
stakeholder_collision_rate,min_pbrs,10,0.0625,0.03125,0.08333333333333333,100000
mean_stakeholder_episode_utility,baseline,10,0.6590843029909107,0.6417314048750133,0.1846686562227142,100000
mean_stakeholder_episode_utility,mean_pbrs,10,0.5816642115829,0.5962578983385729,0.08724694547677256,100000
mean_stakeholder_episode_utility,min_pbrs,10,0.6156608209902293,0.6062546024118232,0.24522979690390537,100000
minimum_stakeholder_episode_utility,baseline,10,0.30103668190229216,0.24001423508357825,0.3286089272150035,100000
minimum_stakeholder_episode_utility,mean_pbrs,10,0.16740652900617964,0.14300524606590545,0.11440662300417284,100000
minimum_stakeholder_episode_utility,min_pbrs,10,0.3322903733730934,0.1991826329020837,0.3447430671326784,100000
convention_consistency,baseline,5,0.7611111111111112,0.8,0.13698697784375502,100000
convention_consistency,mean_pbrs,8,1.0,1.0,0.0,100000
convention_consistency,min_pbrs,6,0.7888888888888888,0.7333333333333334,0.17596295906514806,100000
