condition,master_seed,n_success,convention_consistency,convention_missing,success_available_for_convention
baseline,61001,0,,True,False
baseline,61002,0,,True,False
baseline,61003,10,0.8,False,True
baseline,61004,15,0.5333333333333333,False,True
baseline,61005,6,0.8333333333333334,False,True
baseline,61006,9,0.8888888888888888,False,True
baseline,61007,16,0.75,False,True
baseline,61008,0,,True,False
baseline,61009,0,,True,False
baseline,61010,0,,True,False
mean_pbrs,61001,7,1.0,False,True
mean_pbrs,61002,0,,True,False
mean_pbrs,61003,3,1.0,False,True
mean_pbrs,61004,0,,True,False
mean_pbrs,61005,6,1.0,False,True
mean_pbrs,61006,5,1.0,False,True
mean_pbrs,61007,2,1.0,False,True
mean_pbrs,61008,1,1.0,False,True
mean_pbrs,61009,1,1.0,False,True
mean_pbrs,61010,2,1.0,False,True
min_pbrs,61001,0,,True,False
min_pbrs,61002,2,1.0,False,True
min_pbrs,61003,12,0.6666666666666666,False,True
min_pbrs,61004,5,0.8,False,True
min_pbrs,61005,3,0.6666666666666666,False,True
min_pbrs,61006,8,1.0,False,True
min_pbrs,61007,10,0.6,False,True
min_pbrs,61008,10,,True,True
min_pbrs,61009,0,,True,False
min_pbrs,61010,0,,True,False
