endpoint,contrast,mean_diff,ci95_low,ci95_high,n_complete,pvalue_holm,cohens_dz,checkpoint_step
evaluation_success_rate,mean_pbrs - baseline,-0.18125,-0.45625,0.06875,10,0.8125,-0.407013368100131,100000
evaluation_success_rate,min_pbrs - baseline,-0.0375,-0.23125,0.1625,10,0.8125,-0.1137510313122506,100000
evaluation_success_rate,min_pbrs - mean_pbrs,0.14375,-0.0625,0.34375,10,0.6796875,0.4167681987446492,100000
stakeholder_collision_rate,mean_pbrs - baseline,0.05625,-0.03125,0.15625,10,1.0,0.3459832849973203,100000
stakeholder_collision_rate,min_pbrs - baseline,0.01875,-0.0625,0.1,10,1.0,0.1355261854357876,100000
stakeholder_collision_rate,min_pbrs - mean_pbrs,-0.0375,-0.14375,0.06875,10,1.0,-0.2086825030920757,100000
mean_stakeholder_episode_utility,mean_pbrs - baseline,-0.0774200914080106,-0.2206875011529975,0.0489522875155599,10,1.0,-0.3403647209437076,100000
mean_stakeholder_episode_utility,min_pbrs - baseline,-0.0434234820006814,-0.1649869528855412,0.0970218716155085,10,1.0,-0.1955690029189826,100000
mean_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.0339966094073292,-0.1292969233134862,0.1899191389638773,10,1.0,0.1248836921007432,100000
minimum_stakeholder_episode_utility,mean_pbrs - baseline,-0.1336301528961125,-0.3653220827789536,0.0822592968996107,10,0.966796875,-0.3549983423940495,100000
minimum_stakeholder_episode_utility,min_pbrs - baseline,0.0312536914708011,-0.1862102123047386,0.2711741144556843,10,1.0,0.0809072251976954,100000
minimum_stakeholder_episode_utility,min_pbrs - mean_pbrs,0.1648838443669136,-0.0793461135989881,0.4185229119434669,10,0.966796875,0.3902422320744063,100000
