panel,condition,category,proportion,encoding,master_seed,convention_consistency,x_jittered,missing_reason,n_success
a,baseline,mainline_first,0.15,episode_share_descriptive,,,,,
a,mean_pbrs,mainline_first,0.08125,episode_share_descriptive,,,,,
a,min_pbrs,mainline_first,0.1375,episode_share_descriptive,,,,,
a,baseline,ramp_first,0.2,episode_share_descriptive,,,,,
a,mean_pbrs,ramp_first,0.0875,episode_share_descriptive,,,,,
a,min_pbrs,ramp_first,0.175,episode_share_descriptive,,,,,
a,baseline,simultaneous,0.0,episode_share_descriptive,,,,,
a,mean_pbrs,simultaneous,0.0,episode_share_descriptive,,,,,
a,min_pbrs,simultaneous,0.0,episode_share_descriptive,,,,,
a,baseline,non_success,0.65,episode_share_descriptive,,,,,
a,mean_pbrs,non_success,0.83125,episode_share_descriptive,,,,,
a,min_pbrs,non_success,0.6875,episode_share_descriptive,,,,,
b,baseline,,,,61003.0,0.8,-0.06854050129385211,,
b,baseline,,,,61004.0,0.5333333333333333,-0.003932672274283293,,
b,baseline,,,,61005.0,0.8333333333333334,-0.04696992247527696,,
b,baseline,,,,61006.0,0.8888888888888888,0.008169314583802904,,
b,baseline,,,,61007.0,0.75,0.01126668138691846,,
b,mean_pbrs,,,,61001.0,1.0,0.991264436336063,,
b,mean_pbrs,,,,61003.0,1.0,0.9390181052356534,,
b,mean_pbrs,,,,61005.0,1.0,0.9351899309864244,,
b,mean_pbrs,,,,61006.0,1.0,0.9570789251935387,,
b,mean_pbrs,,,,61007.0,1.0,1.061485482859771,,
b,mean_pbrs,,,,61008.0,1.0,1.03950924265187,,
b,mean_pbrs,,,,61009.0,1.0,0.9643150431765977,,
b,mean_pbrs,,,,61010.0,1.0,1.0250651904440171,,
b,min_pbrs,,,,61002.0,1.0,2.0317478032297798,,
b,min_pbrs,,,,61003.0,0.6666666666666666,1.9559866280937537,,
b,min_pbrs,,,,61004.0,0.8,2.0305262391154018,,
b,min_pbrs,,,,61005.0,0.6666666666666666,1.9636752934110526,,
b,min_pbrs,,,,61006.0,1.0,1.9502078334312438,,
b,min_pbrs,,,,61007.0,0.6,2.007705516872859,,
c,baseline,,,,61001.0,,,no_success,0.0
c,baseline,,,,61002.0,,,no_success,0.0
c,baseline,,,,61003.0,,,available,10.0
c,baseline,,,,61004.0,,,available,15.0
c,baseline,,,,61005.0,,,available,6.0
c,baseline,,,,61006.0,,,available,9.0
c,baseline,,,,61007.0,,,available,16.0
c,baseline,,,,61008.0,,,no_success,0.0
c,baseline,,,,61009.0,,,no_success,0.0
c,baseline,,,,61010.0,,,no_success,0.0
c,mean_pbrs,,,,61001.0,,,available,7.0
c,mean_pbrs,,,,61002.0,,,no_success,0.0
c,mean_pbrs,,,,61003.0,,,available,3.0
c,mean_pbrs,,,,61004.0,,,no_success,0.0
c,mean_pbrs,,,,61005.0,,,available,6.0
c,mean_pbrs,,,,61006.0,,,available,5.0
c,mean_pbrs,,,,61007.0,,,available,2.0
c,mean_pbrs,,,,61008.0,,,available,1.0
c,mean_pbrs,,,,61009.0,,,available,1.0
c,mean_pbrs,,,,61010.0,,,available,2.0
c,min_pbrs,,,,61001.0,,,no_success,0.0
c,min_pbrs,,,,61002.0,,,available,2.0
c,min_pbrs,,,,61003.0,,,available,12.0
c,min_pbrs,,,,61004.0,,,available,5.0
c,min_pbrs,,,,61005.0,,,available,3.0
c,min_pbrs,,,,61006.0,,,available,8.0
c,min_pbrs,,,,61007.0,,,available,10.0
c,min_pbrs,,,,61008.0,,,missing_with_success,10.0
c,min_pbrs,,,,61009.0,,,no_success,0.0
c,min_pbrs,,,,61010.0,,,no_success,0.0
