metric,condition,master_seed,value,endpoint_class
minimum_bumper_gap,baseline,61001,19.30623100240119,secondary
minimum_bumper_gap,mean_pbrs,61001,3.5888552157748705,secondary
minimum_bumper_gap,min_pbrs,61001,7.554752100764773,secondary
minimum_bumper_gap,baseline,61002,6.527362455096636,secondary
minimum_bumper_gap,mean_pbrs,61002,-3.491144784224815,secondary
minimum_bumper_gap,min_pbrs,61002,-0.0601855608178141,secondary
minimum_bumper_gap,baseline,61003,-0.9140720584224482,secondary
minimum_bumper_gap,mean_pbrs,61003,5.631553051973057,secondary
minimum_bumper_gap,min_pbrs,61003,-1.520406081466902,secondary
minimum_bumper_gap,baseline,61004,0.5314533678042892,secondary
minimum_bumper_gap,mean_pbrs,61004,-4.571096917004226,secondary
minimum_bumper_gap,min_pbrs,61004,2.13067282631161,secondary
minimum_bumper_gap,baseline,61005,-0.5987781140611474,secondary
minimum_bumper_gap,mean_pbrs,61005,-0.4432645728080899,secondary
minimum_bumper_gap,min_pbrs,61005,2.5737824657145865,secondary
minimum_bumper_gap,baseline,61006,2.273176337718993,secondary
minimum_bumper_gap,mean_pbrs,61006,8.636171878818814,secondary
minimum_bumper_gap,min_pbrs,61006,13.455929435538051,secondary
minimum_bumper_gap,baseline,61007,3.706696301058031,secondary
minimum_bumper_gap,mean_pbrs,61007,-0.2032645728092745,secondary
minimum_bumper_gap,min_pbrs,61007,-0.0900687605245877,secondary
minimum_bumper_gap,baseline,61008,13.80756805517072,secondary
minimum_bumper_gap,mean_pbrs,61008,18.51239905360912,secondary
minimum_bumper_gap,min_pbrs,61008,-3.6935941570873183,secondary
minimum_bumper_gap,baseline,61009,19.787419328227784,secondary
minimum_bumper_gap,mean_pbrs,61009,-4.644024939158825,secondary
minimum_bumper_gap,min_pbrs,61009,6.65388423187467,secondary
minimum_bumper_gap,baseline,61010,-4.544577941424876,secondary
minimum_bumper_gap,mean_pbrs,61010,-4.039395394418577,secondary
minimum_bumper_gap,min_pbrs,61010,7.606674558805736,secondary
minimum_TTC,mean_pbrs,61001,9.156689586842491,secondary
minimum_TTC,mean_pbrs,61002,0.0,secondary
minimum_TTC,min_pbrs,61002,0.0,secondary
minimum_TTC,baseline,61003,0.0,secondary
minimum_TTC,mean_pbrs,61003,31.50503438026257,secondary
minimum_TTC,min_pbrs,61003,0.0,secondary
minimum_TTC,mean_pbrs,61004,0.0,secondary
minimum_TTC,min_pbrs,61004,7.375057300436528,secondary
minimum_TTC,baseline,61005,0.0,secondary
minimum_TTC,mean_pbrs,61005,0.0,secondary
minimum_TTC,min_pbrs,61005,24.93129297532917,secondary
minimum_TTC,baseline,61006,4.854455605016971,secondary
minimum_TTC,min_pbrs,61006,62.91258595065737,secondary
minimum_TTC,baseline,61007,22.025034380264145,secondary
minimum_TTC,mean_pbrs,61007,0.0,secondary
minimum_TTC,min_pbrs,61007,0.0,secondary
minimum_TTC,baseline,61008,50.81564648766438,secondary
minimum_TTC,min_pbrs,61008,0.0,secondary
minimum_TTC,baseline,61009,8.88976491357699,secondary
minimum_TTC,mean_pbrs,61009,0.0,secondary
minimum_TTC,min_pbrs,61009,224.32517190131037,secondary
minimum_TTC,baseline,61010,0.0,secondary
minimum_TTC,mean_pbrs,61010,0.0,secondary
hard_braking_rate,baseline,61001,0.07010416666666666,secondary
hard_braking_rate,mean_pbrs,61001,0.10285950790505453,secondary
hard_braking_rate,min_pbrs,61001,0.068984375,secondary
hard_braking_rate,baseline,61002,0.053203125000000004,secondary
hard_braking_rate,mean_pbrs,61002,0.090078125,secondary
hard_braking_rate,min_pbrs,61002,0.09363303934378628,secondary
hard_braking_rate,baseline,61003,0.16796247208508686,secondary
hard_braking_rate,mean_pbrs,61003,0.05871052874850986,secondary
hard_braking_rate,min_pbrs,61003,0.031513680837036664,secondary
hard_braking_rate,baseline,61004,0.10721488421710301,secondary
hard_braking_rate,mean_pbrs,61004,0.17012001254566778,secondary
hard_braking_rate,min_pbrs,61004,0.0978560820564068,secondary
hard_braking_rate,baseline,61005,0.14746392415910278,secondary
hard_braking_rate,mean_pbrs,61005,0.16140900857030727,secondary
hard_braking_rate,min_pbrs,61005,0.09594424424121291,secondary
hard_braking_rate,baseline,61006,0.11442824838197227,secondary
hard_braking_rate,mean_pbrs,61006,0.08309036345473723,secondary
hard_braking_rate,min_pbrs,61006,0.07686359208123175,secondary
hard_braking_rate,baseline,61007,0.07196789724448442,secondary
hard_braking_rate,mean_pbrs,61007,0.08361450519612439,secondary
hard_braking_rate,min_pbrs,61007,0.055528180844405105,secondary
hard_braking_rate,baseline,61008,0.060312500000000005,secondary
hard_braking_rate,mean_pbrs,61008,0.08809659090909092,secondary
hard_braking_rate,min_pbrs,61008,0.06033615731763742,secondary
hard_braking_rate,baseline,61009,0.0540625,secondary
hard_braking_rate,mean_pbrs,61009,0.09128024035590321,secondary
hard_braking_rate,min_pbrs,61009,0.06953125,secondary
hard_braking_rate,baseline,61010,0.10321363304093567,secondary
hard_braking_rate,mean_pbrs,61010,0.09248931107108835,secondary
hard_braking_rate,min_pbrs,61010,0.08890624999999999,secondary
background_maximum_braking,baseline,61001,4.288596160412149,secondary
background_maximum_braking,mean_pbrs,61001,4.127599928460013,secondary
background_maximum_braking,min_pbrs,61001,4.2742463711553835,secondary
background_maximum_braking,baseline,61002,4.289140854870057,secondary
background_maximum_braking,mean_pbrs,61002,4.257177493585256,secondary
background_maximum_braking,min_pbrs,61002,5.018807925533357,secondary
background_maximum_braking,baseline,61003,4.577816970756208,secondary
background_maximum_braking,mean_pbrs,61003,4.213395163746095,secondary
background_maximum_braking,min_pbrs,61003,3.8670614261804825,secondary
background_maximum_braking,baseline,61004,4.110106618954994,secondary
background_maximum_braking,mean_pbrs,61004,4.987295398898372,secondary
background_maximum_braking,min_pbrs,61004,4.702014868370409,secondary
background_maximum_braking,baseline,61005,4.297558645347186,secondary
background_maximum_braking,mean_pbrs,61005,5.102062545641384,secondary
background_maximum_braking,min_pbrs,61005,4.580668787928389,secondary
background_maximum_braking,baseline,61006,4.247450543599021,secondary
background_maximum_braking,mean_pbrs,61006,4.909887790839016,secondary
background_maximum_braking,min_pbrs,61006,4.289140854870057,secondary
background_maximum_braking,baseline,61007,4.933530713090248,secondary
background_maximum_braking,mean_pbrs,61007,4.612462915155011,secondary
background_maximum_braking,min_pbrs,61007,4.158221826757003,secondary
