episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
0,1.0,1.554891078794277,13,1,0,1,0,0,0,safe_merge,13,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0,0
1,0.9762,1.4740585555156673,13,1,0,1,0,0,0,safe_merge,13,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0,0
2,0.9525,1.4853402282151897,18,1,0,1,0,0,0,safe_merge,18,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0,0
3,0.9287,1.8823167728999972,24,1,0,1,0,0,0,safe_merge,24,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0,0
4,0.905,-10.75889349146337,7,0,1,0,0,1,0,collision_without_merge,,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0,1
5,0.8812,1.5000735688227702,17,1,0,1,0,0,0,safe_merge,17,8.064473349433653,6.883218456738471,1.0,0.0,0,1,0,0
6,0.8575,1.4546807239534438,12,1,0,1,0,0,0,safe_merge,12,9.110506395092154,8.409578559243242,0.44021567647454135,0.19434044937482464,0,1,0,0
7,0.8337,-9.320974582424984,14,1,1,0,1,0,0,unsafe_merge,14,10.22998523535816,9.1568770636985,0.4398173527579984,0.1945325378142444,0,1,0,1
8,0.81,1.481565533067359,13,1,0,1,0,0,0,safe_merge,13,9.165468531884306,8.278488966074029,0.8862335550049766,0.030157040917110356,0,1,0,0
9,0.7863,1.4940152893174932,13,1,0,1,0,0,0,safe_merge,13,9.112701464966197,8.53469197723592,1.0,0.0,0,1,0,0
10,0.7625,1.0180688804320892,43,1,0,1,0,0,0,safe_merge,43,-3.013946172249943,-7.288051718920515,-18.0,0.5,0,1,0,0
11,0.7388,-10.688806967584599,9,0,1,0,0,1,0,collision_without_merge,,9.724139253941594,9.045054362916437,0.2957177713678495,0.23073207216814517,1,0,0,1
12,0.715,1.4991522278350613,19,1,0,1,0,0,0,safe_merge,19,7.454288109127486,6.171200741343468,0.8111877401231322,0.05212387862785306,0,1,0,0
13,0.6913,1.5208544010218747,26,1,0,1,0,0,0,safe_merge,26,5.847925666099417,3.110657150911354,0.7742801193600712,0.06360886259643683,0,1,0,0
14,0.6675,1.43007696632856,12,1,0,1,0,0,0,safe_merge,12,8.888289334622167,8.27305801612245,0.6074413102362197,0.12210669442920175,0,1,0,0
15,0.6438,1.4417319514165654,12,1,0,1,0,0,0,safe_merge,12,9.145160703528434,8.470035706054793,0.33102193705836147,0.25130241820811783,0,1,0,0
