episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
0,1.0,2.4938004117661827,19,1,0,1,0,0,0,safe_merge,19,7.215482793203228,5.549559872297176,-1.0,0.5,0,1,0,0,,0,0,0,,,
1,0.9762,2.4777659987175076,18,1,0,1,0,0,0,safe_merge,18,7.873504693364737,6.2331902227614595,1.0,0.0,0,1,0,0,,0,0,0,,,
2,0.9525,2.58281774645629,23,1,0,1,0,0,0,safe_merge,23,7.539521888321528,5.694608382713064,0.0735205252099277,0.4315145602870045,1,1,0,0,,0,0,0,,,
3,0.9287,2.4528228260603,12,1,0,1,0,0,0,safe_merge,12,8.931594485675966,8.035708568594345,1.0,0.0,0,1,0,0,,0,0,0,,,
4,0.905,2.490626760182037,13,1,0,1,0,0,0,safe_merge,13,8.758406274859716,8.033208040162181,0.551142642823804,0.14468603492167098,0,1,0,0,,0,0,0,,,
5,0.8812,2.437423344216141,11,1,0,1,0,0,0,safe_merge,11,9.835131538530783,8.845909442723265,0.8855799513600727,0.03034081067668226,0,1,0,0,,0,0,0,,,
6,0.8575,1.6922486011673137,54,1,0,1,0,0,0,safe_merge,54,-6.628959796945275,-12.277158153733419,-26.0,0.5,0,1,0,0,,0,0,0,,,
7,0.8337,2.472276160369204,12,1,0,1,0,0,0,safe_merge,12,9.271466698954455,8.60480003228779,1.0,0.0,0,1,0,0,,0,0,0,,,
8,0.81,-7.240827448009016,8,0,1,0,0,1,0,collision_without_merge,,11.039321949289564,9.590371726467279,0.005768485042098577,0.4921224711947403,1,0,0,1,,0,0,0,,,
9,0.7863,2.4299960762869155,10,1,0,1,0,0,0,safe_merge,10,9.893120354486433,8.981375580476934,0.32599929219752016,0.2541482155263781,0,1,0,0,,0,0,0,,,
10,0.7625,2.4643852473787513,12,1,0,1,0,0,0,safe_merge,12,9.59279059278726,8.785306202973905,0.6398126777603161,0.10982575239375336,0,1,0,0,,0,0,0,,,
11,0.7388,2.5022325916906984,22,1,0,1,0,0,0,safe_merge,22,6.917276840640056,5.26561518749653,0.0,0.5,0,1,0,0,,0,0,0,,,
12,0.715,2.4095420321948744,11,1,0,1,0,0,0,safe_merge,11,9.256870117561938,8.358953216875612,1.0,0.0,0,1,0,0,,0,0,0,,,
