episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
0,1.0,2.154018230542853,13,1,0,1,0,0,0,safe_merge,13,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0,0
1,0.9762,2.0590008582888304,13,1,0,1,0,0,0,safe_merge,13,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0,0
2,0.9525,2.136758790964677,18,1,0,1,0,0,0,safe_merge,18,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0,0
3,0.9287,2.5482841782923566,24,1,0,1,0,0,0,safe_merge,24,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0,0
4,0.905,-9.341519899878682,7,0,1,0,0,1,0,collision_without_merge,,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0,1
5,0.8812,2.0751054576435943,13,1,0,1,0,0,0,safe_merge,13,8.996600046266233,8.270041981873801,1.0,0.0,0,1,0,0
6,0.8575,-9.29741164058521,8,0,1,0,0,1,0,collision_without_merge,,10.549139344145079,8.782354492684876,0.025855545442615084,0.4747961147576003,1,0,0,1
7,0.8337,1.90514602736484,11,1,0,1,0,0,0,safe_merge,11,9.5132320938119,8.228600248771272,0.5923442458375743,0.1280049069879352,0,1,0,0
8,0.81,2.0264778230105414,11,1,0,1,0,0,0,safe_merge,11,10.091490917920234,9.331616572823103,0.8939064368899918,0.028009188057944945,0,1,0,0
9,0.7863,2.0495099570406694,13,1,0,1,0,0,0,safe_merge,13,8.958855311120043,8.073153515697456,1.0,0.0,0,1,0,0
10,0.7625,1.940833604993041,12,1,0,1,0,0,0,safe_merge,12,8.687090025659636,7.840280041608673,1.0,0.0,0,1,0,0
11,0.7388,1.9572637248079277,25,1,0,1,0,0,0,safe_merge,25,5.8626559974856995,3.829054899231709,-2.0,0.5,0,1,0,0
12,0.715,2.1552489589778836,18,1,0,1,0,0,0,safe_merge,18,7.543709875353686,6.418049772099355,1.0,0.0,0,1,0,0
13,0.6913,2.1897769851657407,16,1,0,1,0,0,0,safe_merge,16,8.334684370852331,7.436106157285881,1.0,0.0,0,1,0,0
14,0.6675,2.1528875942005445,21,1,0,1,0,0,0,safe_merge,21,6.99702662459189,5.489940924764497,0.0,0.5,0,1,0,0
15,0.6438,-8.094292793290395,11,1,1,0,1,0,0,unsafe_merge,11,9.6618454074583,8.233701879178229,0.09664798342967636,0.4118696383068907,2,1,0,1
16,0.62,1.9000234407662053,10,1,0,1,0,0,0,safe_merge,10,10.13317782321204,9.000234407662052,0.4390956759705421,0.0696380115150177,1,1,0,0
17,0.5962,1.9766555545545332,13,1,0,1,0,0,0,safe_merge,13,8.615062739544296,7.51273503503487,1.0,0.0,0,1,0,0
18,0.5725,2.0046241888347054,12,1,0,1,0,0,0,safe_merge,12,9.205134836852176,8.371868240289212,0.9251494528896338,0.01944019125320784,0,1,0,0
19,0.5488,2.114910765030986,13,1,0,1,0,0,0,safe_merge,13,9.359613753737806,8.576236654084509,1.0,0.0,0,1,0,0
20,0.525,2.1130751488845005,15,1,0,1,0,0,0,safe_merge,15,8.22885567700217,7.420500992563337,1.0,0.0,0,1,0,0
21,0.5012,2.0444477290333394,14,1,0,1,0,0,0,safe_merge,14,8.40073629977935,7.460340921666711,0.0,0.5,0,1,0,0
22,0.4775,2.0204291144306974,21,1,0,1,0,0,0,safe_merge,21,6.8710864578518605,4.859186259193799,-1.0,0.5,0,1,0,0
23,0.4538,-9.47790052233746,6,0,1,0,0,1,0,collision_without_merge,,10.60767045781168,8.70165796104231,0.025149591333515603,0.47546739368953883,1,0,0,1
24,0.43,2.026153213156072,12,1,0,1,0,0,0,safe_merge,12,9.300553014473815,8.551276776300602,0.813060216829913,0.051553660886384245,0,1,0,0
25,0.4062,1.952634350498891,10,1,0,1,0,0,0,safe_merge,10,10.144748902623856,9.526343504988908,0.35000048306741155,0.24074047568327095,0,1,0,0
26,0.3825,1.9722878130070463,12,1,0,1,0,0,0,safe_merge,12,8.75109039676582,8.102398441725382,1.0,0.0,0,1,0,0
27,0.3588,-8.116443158377383,9,1,1,0,1,0,0,unsafe_merge,9,10.496678254126996,9.817298240251306,0.2633692358807929,0.2915342336975797,1,1,0,1
28,0.335,1.9294110831848956,10,1,0,1,0,0,0,safe_merge,10,10.08934099339578,9.294110831848958,1.0,0.0,1,1,0,0
29,0.3113,1.968392569479472,12,1,0,1,0,0,0,safe_merge,12,8.982779009918206,8.069938078995596,1.0,0.0,0,1,0,0
30,0.2875,1.8335488946301775,9,1,0,1,0,0,0,safe_merge,9,11.45360959996484,9.261654384779748,0.5592867017934624,0.1413188792348572,0,1,0,0
31,0.2638,-9.297442607895759,8,0,1,0,0,1,0,collision_without_merge,,9.949561584251814,8.78196740130301,0.17961296207269556,0.34773568293358004,1,0,0,1
32,0.24,-9.167780890000094,10,0,1,0,0,1,0,collision_without_merge,,9.102785669884058,8.322191099999063,0.18220132986113094,0.3458796101316064,1,0,0,1
33,0.2163,-9.406513380900886,6,0,1,0,0,1,0,collision_without_merge,,10.9299824128924,9.8914436516519,0.12396322864576323,0.3897088218845701,1,0,0,1
34,0.1925,-17.471853218411113,69,1,0,1,0,0,0,safe_merge,69,-14.328045470754754,-26.770801765813196,-52.0,0.5,0,1,0,0
35,0.1688,1.9358481853534408,10,1,0,1,0,0,0,safe_merge,10,10.233522400511614,9.358481853534407,0.6490165773078532,0.10642204193761184,0,1,0,0
36,0.145,-8.169676791375553,9,1,1,0,1,0,0,unsafe_merge,9,10.767105748431971,9.22581342916054,0.08058371068887685,0.4254257584194894,1,1,0,1
37,0.1212,-9.352607788677576,7,0,1,0,0,1,0,collision_without_merge,,10.340960607940847,9.248460161748936,0.05831552990577928,0.44489778496308063,1,0,0,1
38,0.0975,1.911801648974936,10,1,0,1,0,0,0,safe_merge,10,10.155683751469917,9.118016489749358,1.0,0.0,0,1,0,0
39,0.0738,2.0921669379738876,13,1,0,1,0,0,0,safe_merge,13,9.064275557365896,8.401284138260674,0.9133219355623805,0.022651197068971562,0,1,0,0
40,0.05,1.9883787923201477,11,1,0,1,0,0,0,safe_merge,11,9.697058240676796,8.985261748364978,1.0,0.0,0,1,0,0
41,0.05,1.9964520817172011,11,1,0,1,0,0,0,safe_merge,11,11.054363502845158,9.058655288338189,1.0,0.0,0,1,0,0
42,0.05,1.234863759118427,19,1,0,1,0,0,0,safe_merge,19,5.325013772380034,1.236125047991721,-6.0,0.5,0,1,0,0
43,0.05,-9.41647536175911,6,0,1,0,0,1,0,collision_without_merge,,10.973579341466456,9.725410637348164,0.6148872753196193,0.11923826838135154,0,0,0,1
44,0.05,2.1275239128950005,16,1,0,1,0,0,0,safe_merge,16,8.181728570242353,7.0470244555937525,1.0,0.0,0,1,0,0
45,0.05,-9.45929951101812,6,0,1,0,0,1,0,collision_without_merge,,10.29967347868053,9.011674816364652,0.24103358288252763,0.3057799674343358,0,0,0,1
46,0.05,1.9368377793576657,10,1,0,1,0,0,0,safe_merge,10,10.335735075708694,9.368377793576656,0.8024695190526796,0.05479440258472046,0,1,0,0
47,0.05,1.8608130814541393,10,1,0,1,0,0,0,safe_merge,10,9.974142935618161,8.608130814541394,0.48044189581219865,0.1754739938316734,0,1,0,0
48,0.05,1.963306733249616,12,1,0,1,0,0,0,safe_merge,12,8.92520586718084,8.027556110413466,0.6156061420370018,0.11896273725424922,0,1,0,0
49,0.05,-7.975861686004572,11,1,1,0,1,0,0,unsafe_merge,11,10.439307750697923,9.310348309049346,0.03389997266938013,0.4672115547291724,1,1,0,1
50,0.05,-8.167991052574283,9,1,1,0,1,0,0,unsafe_merge,9,10.92278261095472,9.244543860285743,0.11109125799947403,0.40001608130776334,1,1,0,1
51,0.05,2.3672553902132356,14,1,0,1,0,0,0,safe_merge,14,11.774295634730708,9.76610993009454,0.19470983834051073,0.3370233239135547,1,1,0,0
52,0.05,-8.098044634545678,11,1,1,0,1,0,0,unsafe_merge,11,9.761777048447195,8.199594231402925,0.42111146110620534,0.06443070416081009,0,1,0,1
53,0.05,-9.320739265278156,9,0,1,0,0,1,0,collision_without_merge,,9.511740678316698,7.547341496909387,0.1303293804732596,0.3846978741553264,1,0,0,1
54,0.05,-9.224489115282754,8,0,1,0,0,1,0,collision_without_merge,,10.872946835514153,9.693886058965562,0.7018577562473927,0.08759317359460539,0,0,0,1
55,0.05,2.2985379151725827,14,1,0,1,0,0,0,safe_merge,14,9.979241662543428,9.275270822661307,1.0,0.0,0,1,0,0
56,0.05,1.8276642412652249,16,1,0,1,0,0,0,safe_merge,16,7.3650025192290824,5.172901507907655,-2.079737392266626,0.5,0,1,0,0
57,0.05,2.0675239625499877,14,1,0,1,0,0,0,safe_merge,14,8.898841791617235,7.6251711610713375,0.9337185179137686,0.017138348077087473,0,1,0,0
58,0.05,1.307764872002965,20,1,0,1,0,0,0,safe_merge,20,5.123367817918732,1.5388243600148257,-5.0,0.5,0,1,0,0
59,0.05,1.9738377665695959,11,1,0,1,0,0,0,safe_merge,11,9.911279101412692,8.853070605178146,0.775327573606522,0.06327632988233911,0,1,0,0
60,0.05,2.4963401590439664,18,1,0,1,0,0,0,safe_merge,18,9.966244990366679,8.313000883577594,0.35805267892198733,0.2363484609402582,0,1,0,0
61,0.05,2.008826565579786,12,1,0,1,0,0,0,safe_merge,12,9.280572231499589,8.406888046498219,0.9332022637377781,0.017276447869730482,0,1,0,0
62,0.05,2.47989310963899,18,1,0,1,0,0,0,safe_merge,18,9.610517275772168,8.221628386883278,1.0,0.0,0,1,0,0
63,0.05,1.9970987991134814,13,1,0,1,0,0,0,safe_merge,13,9.282711525108946,7.669990762411396,1.0,0.0,0,1,0,0
64,0.05,2.013820574076416,12,1,0,1,0,0,0,safe_merge,12,9.385142416132625,8.448504783970137,1.0,0.0,0,1,0,0
65,0.05,2.0958133995864343,13,1,0,1,0,0,0,safe_merge,13,9.115698908220393,8.42933384297257,1.0,0.0,0,1,0,0
66,0.05,1.9106307376652008,12,1,0,1,0,0,0,safe_merge,12,9.092201112340371,7.588589480543341,1.0,0.0,0,1,0,0
67,0.05,2.0486425261725745,12,1,0,1,0,0,0,safe_merge,12,9.768378264319788,8.738687718104787,0.9275486499064636,0.01879365018803858,0,1,0,0
68,0.05,1.6149853969059549,19,1,0,1,0,0,0,safe_merge,19,6.384707307421344,3.2367652468734462,-4.0,0.5,0,1,0,0
69,0.05,1.875154900796323,15,1,0,1,0,0,0,safe_merge,15,8.456090114429577,5.834366005308821,-3.0,0.5,0,1,0,0
70,0.05,1.6720150699180285,16,1,0,1,0,0,0,safe_merge,16,7.346649734001135,4.200094186987678,-4.0,0.5,0,1,0,0
71,0.05,1.0652214957930948,23,1,0,1,0,0,0,safe_merge,23,4.620145070439248,0.28357172083954374,-8.0,0.5,0,1,0,0
72,0.05,1.7740895309901696,14,1,0,1,0,0,0,safe_merge,14,7.890340403859959,5.529210935644068,-3.0,0.5,0,1,0,0
73,0.05,2.096890681557107,14,1,0,1,0,0,0,safe_merge,14,9.047566073677094,7.834933439693622,1.0,0.0,0,1,0,0
74,0.05,2.0510913346401076,13,1,0,1,0,0,0,safe_merge,13,9.130820025326837,8.085317958770059,0.5835663221315456,0.13148602368226592,0,1,0,0
75,0.05,2.05884921746501,13,1,0,1,0,0,0,safe_merge,13,8.912596918941926,8.144993980500077,1.0,0.0,0,1,0,0
76,0.05,2.10479562763678,13,1,0,1,0,0,0,safe_merge,13,9.356662288856537,8.498427904898307,1.0,0.0,0,1,0,0
77,0.05,1.8391705898330775,16,1,0,1,0,0,0,safe_merge,16,7.9592241406526885,5.244816186456734,-2.0,0.5,0,1,0,0
78,0.05,-7.958882566735826,12,1,1,0,1,0,0,unsafe_merge,12,10.435314007369419,8.67597861053479,0.5543852090004364,0.1433411706503953,0,1,0,1
79,0.05,-7.845160870186138,12,1,1,0,1,0,0,unsafe_merge,12,10.954868440838839,9.623659415115524,0.24291771859502553,0.30455848769328364,0,1,0,1
