episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
0,1.0,15.554891078794277,13,1,0,1,0,0,0,safe_merge,13,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0,0,1.0,13,0,0,7.877063311868101,7.563338904756307,8.016496381695589
1,0.9762,15.474058555515665,13,1,0,1,0,0,0,safe_merge,13,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0,0,1.0,13,0,0,7.154111177848284,3.963135837256459,9.307965823393744
2,0.9525,20.485340228215193,18,1,0,1,0,0,0,safe_merge,18,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0,0,1.0,18,0,0,5.315326616470428,2.0629543275260005,8.062954327526
3,0.9287,20.882316772899994,24,1,0,1,0,0,0,safe_merge,24,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0,0,0.75,21,3,0,5.451184076218155,-8.570319274291364,8.570319274291364
4,0.905,1.2411065085366308,7,0,1,0,0,1,0,collision_without_merge,,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0,1,1.0,7,0,0,8.502637627251982,7.541129438547074,9.221600140896188
5,0.8812,15.496249679750484,13,1,0,1,0,0,0,safe_merge,13,8.996600046266233,8.270041981873801,1.0,0.0,0,1,0,0,1.0,13,0,0,7.270041981873802,4.471453750856114,8.598669418599428
6,0.8575,10.484806015397862,8,1,0,1,0,0,0,safe_merge,8,11.107903898373795,8.782354492684876,0.7168574228019039,0.08245954889370166,0,1,0,0,1.0,8,0,0,7.782354492684876,6.532354492684874,8.532354492684888
7,0.8337,15.695842669324461,13,1,0,1,0,0,0,safe_merge,13,10.843130766850058,8.73890013893552,0.31645708173312903,0.22620653450908468,0,1,0,0,1.0,13,0,0,7.7858391408760355,5.5299440888954905,9.52994408889549
8,0.81,12.457959063935125,10,1,0,1,0,0,0,safe_merge,10,10.277085302235054,9.670062025386395,0.6243863272167969,0.1156170999748487,0,1,0,0,1.0,10,0,0,8.679904093508894,6.947162047190147,9.254411992680787
9,0.7863,15.46785292284544,13,1,0,1,0,0,0,safe_merge,13,8.881932234196967,7.9193073618513035,1.0,0.0,0,1,0,0,1.0,13,0,0,6.9193073618513035,4.890044966852926,8.566127193848729
10,0.7625,14.409503271261233,12,1,0,1,0,0,0,safe_merge,12,8.7697864624035,7.970783203190451,0.8889573747896969,0.029392570391554074,0,1,0,0,1.0,12,0,0,7.23301997108172,4.451756178329982,9.18068880432088
11,0.7388,11.965565065728825,46,1,0,1,0,0,0,safe_merge,46,-3.3465848457696787,-7.688847540309452,-17.0,0.5,0,1,0,0,0.21739130434782608,28,18,0,1.5937611553427213,-1.0,6.365650657288256
12,0.715,14.456062595264715,12,1,0,1,0,0,0,safe_merge,12,9.018734874849825,8.272435780327651,0.8004687475822585,0.05541091804167131,0,1,0,0,1.0,12,0,0,7.429876653581829,5.150286706251151,8.996024634187927
13,0.6913,19.51470068235831,17,1,0,1,0,0,0,safe_merge,17,8.046928999003187,6.991577194109116,1.0,0.0,0,1,0,0,1.0,17,0,0,6.077522941995321,4.145798621123814,8.141296479480149
14,0.6675,16.474579193649394,14,1,0,1,0,0,0,safe_merge,14,8.562734837245312,7.636135064038808,0.4074413102362203,0.21050920043846322,0,1,0,0,1.0,14,0,0,6.833219803443449,3.8749391098281905,9.774939109828178
15,0.6438,14.442872386178895,12,1,0,1,0,0,0,safe_merge,12,9.216478393064714,8.621124956875377,0.28325422939712075,0.2792688129068588,0,1,0,0,1.0,12,0,0,7.661975263715095,6.2566367918498855,8.422887204695112
16,0.62,15.502518198195611,13,1,0,1,0,0,0,safe_merge,13,9.076199294253994,7.743818089478414,0.5930469696863201,0.12772788186961326,0,1,0,0,1.0,13,0,0,6.931231803778877,4.784815652776388,9.038876639575658
17,0.5962,1.126211654160259,7,0,1,0,0,1,0,collision_without_merge,,9.868359940415246,8.79966582862365,0.04705587428443579,0.45505886988448063,1,0,0,1,1.0,7,0,0,7.978065196992789,5.243416658893565,9.14341665889358
18,0.5725,14.47051851077747,12,1,0,1,0,0,0,safe_merge,12,9.204258717120169,8.525369557296942,0.9251494528896338,0.01944019125320784,0,1,0,0,1.0,12,0,0,7.54734842402705,7.012204207638007,9.012204207638007
19,0.5488,13.46020828573603,11,1,0,1,0,0,0,safe_merge,11,9.84213123625529,9.453764639149009,1.0,0.0,0,1,0,0,1.0,11,0,0,8.453764639149009,7.296445122614671,9.115090077168645
20,0.525,2.1356108864844883,8,0,1,0,0,1,0,collision_without_merge,,10.297761597862804,9.322958455580817,0.04987847062062577,0.4485058577659753,2,0,0,1,1.0,8,0,0,8.4910399121553,7.093057212801923,9.367394315224054
21,0.5012,3.337810964030708,9,0,1,0,0,1,0,collision_without_merge,,9.916946708097393,9.054932517996335,0.31939616721790354,0.25792246850967726,0,0,0,1,1.0,9,0,0,8.256412862797152,8.05493251799632,8.807047955639483
22,0.4775,19.463340510991387,17,1,0,1,0,0,0,safe_merge,17,7.555960407431692,6.102043724162474,1.0,0.0,0,1,0,0,1.0,17,0,0,5.103073351090962,3.568711894016289,7.568711894016275
23,0.4538,15.49390185094342,13,1,0,1,0,0,0,safe_merge,13,8.798557222191324,7.868302685604426,0.8452134628366673,0.04194271835773877,0,1,0,0,1.0,13,0,0,7.0581573309307215,5.5337494961602545,8.242605259285883
24,0.43,13.419502928278623,11,1,0,1,0,0,0,safe_merge,11,9.310577420230635,8.22681388344938,0.9130602168299129,0.022722699057051265,0,1,0,0,1.0,11,0,0,7.342651421314013,4.517984342991127,9.115763688413653
25,0.4062,6.316106272766216,10,1,1,0,1,0,0,unsafe_merge,10,10.223943674840157,9.325914120156089,0.08314251975252962,0.42323953843901774,1,1,0,1,1.0,10,0,0,8.453373631966183,7.138971565194964,9.743408690253787
26,0.3825,14.439880115176752,12,1,0,1,0,0,0,safe_merge,12,8.844218885735373,8.164799366503702,1.0,0.0,0,1,0,0,1.0,12,0,0,7.223023295593754,5.019461409278762,8.805123919398639
27,0.3588,1.9397332714127673,8,0,1,0,0,1,0,collision_without_merge,,10.87371987639491,9.69131958958687,0.02468763867662948,0.4759071567326476,2,0,0,1,1.0,8,0,0,8.969208661195573,6.858256041226188,9.882943679902832
28,0.335,13.458728869336934,11,1,0,1,0,0,0,safe_merge,11,9.448730254836768,9.2236413203339,1.0,0.0,0,1,0,0,1.0,11,0,0,8.2236413203339,8.19891517594263,8.334908970094517
29,0.3113,14.427148426037459,12,1,0,1,0,0,0,safe_merge,12,8.9042264641781,8.169049842387357,1.0,0.0,0,1,0,0,1.0,12,0,0,7.332024404303414,5.424275060085688,8.809292443382128
30,0.2875,13.4272654750662,11,1,0,1,0,0,0,safe_merge,11,9.456471648249611,8.83320618969038,0.8232688488951757,0.048465466629322496,0,1,0,0,1.0,11,0,0,7.840181748881727,5.58342184828399,8.33838553588457
31,0.2638,0.29096555071954544,6,0,1,0,0,1,0,collision_without_merge,,10.737058503284851,9.133127449875039,0.18742218007331515,0.19431997201046602,1,0,0,1,1.0,6,0,0,8.299438877602997,5.728487255586913,9.62848725558694
32,0.24,3.3180738124587545,9,0,1,0,0,1,0,collision_without_merge,,9.260917630618765,8.351250696798807,0.17339125632605115,0.3522306558948223,1,0,0,1,1.0,9,0,0,7.585833478098485,5.06065472880141,8.96065472880141
33,0.2163,13.416779216814646,11,1,0,1,0,0,0,safe_merge,11,9.93008798633196,8.83117508778727,0.36989361194027215,0.22497041784590177,0,1,0,0,1.0,11,0,0,7.958050051668607,5.910533431250968,9.935210954256137
34,0.1925,14.475744989614176,12,1,0,1,0,0,0,safe_merge,12,9.35944247448372,8.67018134825503,0.5780021714918966,0.13371268941573544,0,1,0,0,1.0,12,0,0,7.89000883328514,5.5776099545953315,9.477609954595346
35,0.1688,12.432126889341482,10,1,0,1,0,0,0,safe_merge,10,9.951071571646219,9.284124528374418,1.0,0.0,0,1,0,0,1.0,10,0,0,8.50879394093217,5.9598150256784805,9.59828285354679
36,0.145,13.451282610569253,11,1,0,1,0,0,0,safe_merge,11,9.484851097838146,9.22581342916054,1.0,0.0,0,1,0,0,1.0,11,0,0,8.22581342916054,8.225813429160524,8.225813429160553
37,0.1212,14.474657665661692,12,1,0,1,0,0,0,safe_merge,12,9.217747593899963,8.783540672071839,1.0,0.0,0,1,0,0,1.0,12,0,0,7.783540672071839,6.853701692717635,8.248460161748937
38,0.0975,3.376687892270243,9,0,1,0,0,1,0,collision_without_merge,,10.568225858822661,9.764147382109677,0.19400978208855277,0.3375140765185425,1,0,0,1,1.0,9,0,0,8.838592244751748,6.986369604331898,9.65637336811053
39,0.0738,13.448584589270055,11,1,0,1,0,0,0,safe_merge,11,9.63044709310363,9.00719705757736,1.0,0.0,0,1,0,0,1.0,11,0,0,8.131247032615137,5.350132804749066,9.35013280474908
40,0.05,13.45028366425966,11,1,0,1,0,0,0,safe_merge,11,9.590269110610176,8.985261748364978,1.0,0.0,0,1,0,0,1.0,11,0,0,8.087451864037133,6.916644265353523,8.84044379170615
41,0.05,14.459814967685324,12,1,0,1,0,0,0,safe_merge,12,9.238538098300397,8.69287303195531,1.0,0.0,0,1,0,0,1.0,12,0,0,7.779069295590287,6.604109833792734,8.604109833792748
42,0.05,13.435107349278763,11,1,0,1,0,0,0,safe_merge,11,9.611816700493534,8.700555807418446,0.443782050076208,0.19262531692177265,0,1,0,0,1.0,11,0,0,7.739569965891573,6.162125303947562,9.573727755427628
43,0.05,13.457393009150065,11,1,0,1,0,0,0,safe_merge,11,9.520823583674671,9.093111161089057,1.0,0.0,0,1,0,0,1.0,11,0,0,8.093111161089057,7.952600166364789,8.725410637348176
44,0.05,13.46212224991849,11,1,0,1,0,0,0,safe_merge,11,9.682967350998064,8.787173099770069,1.0,0.0,0,1,0,0,1.0,11,0,0,7.994873478256351,5.485329531892333,9.385329531892374
45,0.05,15.502378492950134,13,1,0,1,0,0,0,safe_merge,13,8.927023244209552,8.526412042634913,1.0,0.0,0,1,0,0,1.0,13,0,0,7.526412042634912,7.380833210515988,8.01167481636466
46,0.05,1.2081740976172917,7,0,1,0,0,1,0,collision_without_merge,,11.011257211661983,9.723907122662954,0.07233225249829378,0.4325467901112032,2,0,0,1,1.0,7,0,0,8.842145372306055,8.72390712266295,9.551574870164657
47,0.05,15.460327511228385,13,1,0,1,0,0,0,safe_merge,13,8.472611850360602,7.525921651679524,0.0,0.5,0,1,0,0,1.0,13,0,0,7.000741517468068,0.78101560946277,9.736491897717451
48,0.05,16.467311481965595,14,1,0,1,0,0,0,safe_merge,14,8.35210496972945,7.447052354452767,0.7663658574965849,0.06613413113479716,0,1,0,0,1.0,14,0,0,6.595180092039216,2.835785105899703,8.799606581678194
49,0.05,0.2946532690337147,6,0,1,0,0,1,0,collision_without_merge,,10.840628989833982,9.310348309049346,0.1979821274524195,0.3347369940539595,1,0,0,1,1.0,6,0,0,8.310348309049346,8.310348309049346,8.310348309049346
50,0.05,5.301232677180988,9,1,1,0,1,0,0,unsafe_merge,9,10.547517423066743,9.244543860285743,0.0640646093022596,0.43979255700998365,1,1,0,1,1.0,9,0,0,8.477601730097135,5.913308201880227,9.813308201880227
51,0.05,13.534487664522377,11,1,0,1,0,0,0,safe_merge,11,10.458889696796284,9.689268619767896,1.0,0.0,0,1,0,0,1.0,11,0,0,8.689366215587812,7.438606753372966,9.438606753372966
52,0.05,13.421354176469752,11,1,0,1,0,0,0,safe_merge,11,9.181335717510647,8.182910785056505,0.5456955777023282,0.14695792265026508,1,1,0,0,1.0,11,0,0,7.397906595559786,5.372625746070071,9.439092891791804
53,0.05,-0.7783861087795412,5,0,1,0,0,1,0,collision_without_merge,,10.60033274889847,8.26513563449139,0.12311525921247923,0.39038056583897984,1,0,0,1,1.0,5,0,0,7.389290838400695,5.789290838400689,9.168514818854192
54,0.05,0.11565578724375047,6,0,1,0,0,1,0,collision_without_merge,,11.436513164187536,9.693886058965562,0.03918926126613902,0.46228861986276537,1,0,0,1,1.0,6,0,0,8.693886058965562,8.693886058965546,8.693886058965575
55,0.05,2.4246194537521975,8,0,1,0,0,1,0,collision_without_merge,,10.855177991980852,8.98955653694702,0.20747592113257785,0.328173864586905,0,0,0,1,1.0,8,0,0,7.9895565369470205,4.9895565369470205,8.98955653694702
56,0.05,4.101812697591487,8,1,1,0,1,0,0,unsafe_merge,8,10.873423328663158,9.323801964835328,0.02780086631522377,0.4460141684674208,1,1,0,1,1.0,8,0,0,8.504842329574716,5.607903582493634,9.507903582493663
57,0.05,4.485821584128294,8,1,1,0,1,0,0,unsafe_merge,8,11.607136599747056,9.690616628891714,0.5805560831707445,0.13268871674196192,0,1,0,1,1.0,8,0,0,8.690616628891714,8.69061662889169,8.690616628891718
58,0.05,12.595511246253075,10,1,0,1,0,0,0,safe_merge,10,11.106656928328901,8.894968850155,0.4492649759545004,0.19000494498350085,0,1,0,0,1.0,10,0,0,7.91838705969177,6.611941400330549,8.536508128539822
59,0.05,4.497511585308624,8,1,1,0,1,0,0,unsafe_merge,8,12.175002606382545,10.099988180282105,0.33181657622012717,0.25085414752693147,0,1,0,1,1.0,8,0,0,9.129825009907215,7.691721346206898,9.52237402770649
60,0.05,12.626025933397552,10,1,0,1,0,0,0,safe_merge,10,11.537272883904876,9.162711862620473,0.714825433186877,0.08314973678782778,0,1,0,0,1.0,10,0,0,8.261419460378042,5.401502699716744,9.395425498622885
61,0.05,5.546557430698558,9,1,1,0,1,0,0,unsafe_merge,9,11.587337128119763,9.495112793205868,0.4335294323873998,0.19757898052682465,0,1,0,1,1.0,9,0,0,8.495112793205868,7.246091075880713,9.246091075880742
62,0.05,13.683628042191675,11,1,0,1,0,0,0,safe_merge,11,11.969299365165893,9.439258835636563,0.1629021935359985,0.3599175455670378,1,1,0,0,1.0,11,0,0,8.439258835636563,6.833300169927412,8.83330016992744
63,0.05,13.686735143486281,11,1,0,1,0,0,0,safe_merge,11,11.78145732516653,9.080276000193019,0.17051614404522009,0.35432397074342914,1,1,0,0,1.0,11,0,0,8.080276000193019,8.017312209407919,8.08657237927153
64,0.05,15.904880012128523,13,1,0,1,0,0,0,safe_merge,13,12.298157651473861,9.668939434664019,1.0,0.0,0,1,0,0,1.0,13,0,0,8.668939434664019,8.595200485140992,8.675084347124283
65,0.05,14.912917329786563,14,1,0,1,0,0,0,safe_merge,14,11.774603040842413,8.985883372852717,1.0,0.0,0,1,0,0,0.8571428571428571,13,1,0,7.985883372852718,-0.3669505958879995,8.93610137044817
66,0.05,12.71121848691668,18,1,0,1,0,0,0,safe_merge,18,8.986479476982877,4.487536237370043,1.0,0.0,0,1,0,0,0.5555555555555556,14,4,0,3.487536237370043,-15.0,8.070531321558207
67,0.05,11.606909454369811,19,1,0,1,0,0,0,safe_merge,19,8.430246332913455,3.502156132237303,0.9857978248827358,0.0035759368197774144,0,1,0,0,0.47368421052631576,14,5,0,2.5334859526728786,-15.0,9.240891502112788
68,0.05,5.18567224002721,25,1,0,1,0,0,0,safe_merge,25,4.6346162686397845,-0.7750163534773924,0.40134916429983036,0.21359802786883564,0,1,0,0,0.12,14,11,0,-1.6263639317086318,-15.0,9.816350133022093
