condition,pilot_seed,step,n_episodes,mutation_any
baseline,51001,0,16,False
baseline,51001,2500,16,False
baseline,51001,5000,16,False
baseline,51002,0,16,False
baseline,51002,2500,16,False
baseline,51002,5000,16,False
mean_pbrs,51001,0,16,False
mean_pbrs,51001,2500,16,False
mean_pbrs,51001,5000,16,False
mean_pbrs,51002,0,16,False
mean_pbrs,51002,2500,16,False
mean_pbrs,51002,5000,16,False
min_pbrs,51001,0,16,False
min_pbrs,51001,2500,16,False
min_pbrs,51001,5000,16,False
min_pbrs,51002,0,16,False
min_pbrs,51002,2500,16,False
min_pbrs,51002,5000,16,False
