condition,checkpoint_step,n_seeds,seeds_ge_0_75,mean_success,mean_collision,mean_truncation,mean_swap_eligibility,pass_seeds_ge_0_75,pass_mean_success,pass_collision,pass_truncation,pass_swap_eligibility,gate_pass,failed_components,consecutive_primary_pass,stable_sufficient_budget
vanilla_dqn,0,20,3,0.24375,0.215625,0.540625,0.1875,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
vanilla_dqn,10000,20,4,0.45,0.153125,0.396875,0.24375,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
vanilla_dqn,25000,20,6,0.509375,0.059375,0.43125,0.29375,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
vanilla_dqn,50000,20,0,0.184375,0.021875,0.79375,0.03125,False,False,True,False,False,False,"seeds_ge_0_75,mean_success,truncation,swap_eligibility",False,
vanilla_dqn,75000,20,0,0.18125,0.040625,0.778125,0.00625,False,False,True,False,False,False,"seeds_ge_0_75,mean_success,truncation,swap_eligibility",False,
vanilla_dqn,100000,20,0,0.203125,0.040625,0.75625,0.04375,False,False,True,False,False,False,"seeds_ge_0_75,mean_success,truncation,swap_eligibility",False,
vanilla_dqn,150000,20,6,0.396875,0.059375,0.54375,0.225,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
vanilla_dqn,200000,20,7,0.515625,0.06875,0.415625,0.3,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
vanilla_dqn,250000,20,11,0.671875,0.05625,0.271875,0.44375,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
vanilla_dqn,300000,20,10,0.6125,0.06875,0.31875,0.4125,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
double_dqn,0,20,3,0.24375,0.215625,0.540625,0.1875,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
double_dqn,10000,20,6,0.603125,0.20625,0.190625,0.3875,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
double_dqn,25000,20,11,0.721875,0.05625,0.221875,0.5,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
double_dqn,50000,20,9,0.64375,0.0625,0.29375,0.45,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
double_dqn,75000,20,12,0.715625,0.075,0.209375,0.54375,False,False,False,False,False,False,"seeds_ge_0_75,mean_success,collision,truncation,swap_eligibility",False,
double_dqn,100000,20,13,0.759375,0.046875,0.19375,0.60625,False,True,True,False,False,False,"seeds_ge_0_75,truncation,swap_eligibility",False,
double_dqn,150000,20,15,0.775,0.059375,0.165625,0.61875,False,True,False,False,False,False,"seeds_ge_0_75,collision,truncation,swap_eligibility",False,
double_dqn,200000,20,18,0.853125,0.04375,0.103125,0.75,True,True,True,True,True,True,,False,
double_dqn,250000,20,14,0.78125,0.04375,0.175,0.65,False,True,True,False,False,False,"seeds_ge_0_75,truncation,swap_eligibility",False,
double_dqn,300000,20,13,0.75625,0.08125,0.1625,0.64375,False,True,False,False,False,False,"seeds_ge_0_75,collision,truncation,swap_eligibility",False,
