master_seed,vanilla_success_200k,vanilla_success_250k,vanilla_success_300k,vanilla_collapse_flag,double_success_200k,double_success_250k,double_success_300k,double_collapse_flag,algorithm_difference_collapse
63001,0.875,1.0,0.4375,True,0.9375,0.8125,0.875,False,-1
63002,0.4375,0.125,0.25,False,0.5625,0.25,0.9375,False,0
63003,0.75,1.0,0.5625,False,0.9375,1.0,0.9375,False,0
63004,0.875,1.0,0.625,False,0.9375,0.8125,1.0,False,0
63005,0.5625,0.5,0.8125,False,0.9375,0.9375,0.9375,False,0
63006,0.4375,0.5,0.75,False,0.875,1.0,1.0,False,0
63007,0.8125,0.75,1.0,False,0.75,1.0,0.0,True,1
63008,1.0,1.0,0.875,False,1.0,0.875,0.6875,False,0
63009,0.3125,0.9375,0.875,False,1.0,1.0,0.5,True,1
63010,0.375,0.75,1.0,False,0.875,1.0,0.4375,True,1
63011,0.5,0.5625,0.5,False,1.0,1.0,1.0,False,0
63012,0.5,0.375,0.3125,False,0.9375,0.5,1.0,False,0
63013,0.1875,0.5,0.0,False,0.125,0.9375,0.75,False,0
63014,0.0,0.1875,0.25,False,0.875,1.0,1.0,False,0
63015,0.9375,1.0,1.0,False,1.0,0.9375,1.0,False,0
63016,1.0,0.75,0.75,False,0.9375,0.9375,0.625,False,0
63017,0.125,0.3125,0.125,False,0.75,0.0625,0.0,True,1
63018,0.1875,0.5,0.8125,False,0.875,0.5,0.5625,False,0
63019,0.0,0.9375,0.8125,False,1.0,0.5,0.875,False,0
63020,0.4375,0.75,0.5,True,0.75,0.5625,1.0,False,-1
