endpoint,endpoint_key,checkpoint_step,n_paired_seeds,mean_paired_difference,median_paired_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,raw_p,holm_adjusted_p,cohen_dz,rank_biserial,improved_seed_count_double_higher,unchanged_seed_count,degraded_seed_count_double_lower,wilcoxon_defined,wilcoxon_reason,multiplicity_family
success,success_rate,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
collision,collision_rate,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
truncation,truncation_rate,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
episode_length,mean_episode_length,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
unilateral_stall,unilateral_stall_rate,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
mutual_yielding,mutual_yielding_rate,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
Q_margin,median_Q_margin,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
minimum_utility,minimum_utility,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
mean_utility,mean_utility,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
swap_eligibility,swap_eligibility,0,20,0.0,0.0,0.0,0.0,,,,,,0,20,0,False,all_zero_differences,exploratory
success,success_rate,10000,20,0.153125,0.125,0.003125,0.30625,62.5,0.11118382198958994,,0.43856487741169087,0.3,13,0,7,True,,exploratory
collision,collision_rate,10000,20,0.053125,0.0625,-0.0125,0.121875,46.5,0.1522531535580458,,0.334687173157217,0.29411764705882354,11,3,6,True,,exploratory
truncation,truncation_rate,10000,20,-0.20625,-0.0625,-0.359375,-0.06554687500000114,34.5,0.02556582557263422,,-0.6034483798981397,-0.4444444444444444,5,2,13,True,,exploratory
episode_length,mean_episode_length,10000,20,-67.896875,-38.28125,-114.42539062499999,-25.16796875000001,38.0,0.01068878173828125,,-0.652465921308312,-0.5,5,0,15,True,,exploratory
unilateral_stall,unilateral_stall_rate,10000,20,-0.209375,-0.0625,-0.375,-0.059375,26.5,0.03130907251231881,,-0.5769591825845132,-0.375,5,4,11,True,,exploratory
mutual_yielding,mutual_yielding_rate,10000,20,-0.003125,0.0,-0.0125,0.00625,2.0,0.5637028616507731,,-0.12689245413047318,-0.3333333333333333,1,17,2,True,,exploratory
Q_margin,median_Q_margin,10000,20,-0.018177950074245632,-0.013891614788910123,-0.03482706468116188,-0.0020724139146605022,43.0,0.01923370361328125,,-0.47814641256232915,-0.5,5,0,15,True,,exploratory
minimum_utility,minimum_utility,10000,20,0.09072748388453453,0.10457866225290521,0.003167714054731688,0.17772494533420438,59.0,0.08969497680664062,,0.4522906697705313,0.2,12,0,8,True,,exploratory
mean_utility,mean_utility,10000,20,0.023939822332962206,0.05320939578676165,-0.017029567471511475,0.062480500531765716,84.0,0.4523754119873047,,0.25912087283527324,0.3,13,0,7,True,,exploratory
swap_eligibility,swap_eligibility,10000,20,0.14375,0.125,-0.00625,0.2875,41.0,0.09107427948347678,,0.4140775923345267,0.4117647058823529,12,3,5,True,,exploratory
success,success_rate,25000,20,0.2125,0.25,0.05,0.36875,35.0,0.027653562408772894,,0.5638707322282106,0.5555555555555556,14,2,4,True,,exploratory
collision,collision_rate,25000,20,-0.003125,0.0,-0.053125,0.046875,54.0,0.7291970303348725,,-0.026636153815204146,0.06666666666666667,8,5,7,True,,exploratory
truncation,truncation_rate,25000,20,-0.209375,-0.25,-0.353125,-0.0625,31.0,0.017446497431223985,,-0.6200850384207965,-0.3333333333333333,6,2,12,True,,exploratory
episode_length,mean_episode_length,25000,20,-68.59375,-38.46875,-114.494296875,-22.883906250000006,42.0,0.017181396484375,,-0.6342330061715536,-0.4,6,0,14,True,,exploratory
unilateral_stall,unilateral_stall_rate,25000,20,-0.128125,-0.09375,-0.24375,-0.0125,42.0,0.056769138091903086,,-0.46903717038134485,-0.2222222222222222,7,2,11,True,,exploratory
mutual_yielding,mutual_yielding_rate,25000,20,-0.05,0.0,-0.125,0.0125,7.0,0.23588521058805278,,-0.30918842843277555,-0.14285714285714285,3,13,4,True,,exploratory
Q_margin,median_Q_margin,25000,20,-0.0077024087308944205,-0.00438421623227585,-0.016823061367339635,-0.0002392274894378619,64.0,0.13272666931152344,,-0.3919998058679584,-0.1,9,0,11,True,,exploratory
minimum_utility,minimum_utility,25000,20,0.16071742172006812,0.1725072940486337,0.04057378313882528,0.2763174556063105,42.0,0.017181396484375,,0.5754372974373656,0.6,16,0,4,True,,exploratory
mean_utility,mean_utility,25000,20,0.07986082301680339,0.06083677149657091,0.009802163669767277,0.14961022504175697,49.0,0.03623390197753906,,0.4842244613102811,0.5,15,0,5,True,,exploratory
swap_eligibility,swap_eligibility,25000,20,0.20625,0.125,-0.0125,0.4125,35.0,0.08713966472500022,,0.4081266720688972,0.5,12,4,4,True,,exploratory
success,success_rate,50000,20,0.459375,0.46875,0.31875,0.596875,1.0,0.00023084442767758084,,1.4206834139588829,0.8888888888888888,17,2,1,True,,exploratory
collision,collision_rate,50000,20,0.040625,0.0,-0.00625,0.09375,12.5,0.12009301897553182,,0.35824199940248674,0.4,7,10,3,True,,exploratory
truncation,truncation_rate,50000,20,-0.5,-0.5,-0.646875,-0.353125,0.0,0.0001903234204849969,,-1.4529663145135578,-1.0,0,2,18,True,,exploratory
episode_length,mean_episode_length,50000,20,-167.428125,-180.625,-217.20984375,-117.09148437500004,1.0,0.00015509577279577017,,-1.4338566852832502,-0.8947368421052632,1,1,18,True,,exploratory
unilateral_stall,unilateral_stall_rate,50000,20,-0.328125,-0.3125,-0.46875,-0.1875,13.0,0.0015674245896341455,,-0.9795784709559624,-0.6666666666666666,3,2,15,True,,exploratory
mutual_yielding,mutual_yielding_rate,50000,20,-0.146875,-0.0625,-0.26875,-0.0375,13.0,0.012792245356073805,,-0.5350298971653158,-0.7142857142857143,2,6,12,True,,exploratory
Q_margin,median_Q_margin,50000,20,-0.004563551853710315,-0.00046574973437620015,-0.012101633756321119,0.0022155174573647895,81.0,0.38837623596191406,,-0.27016139743656997,0.0,10,0,10,True,,exploratory
minimum_utility,minimum_utility,50000,20,0.3248180471815807,0.3272789690229151,0.21995373208501726,0.4305280058451977,4.0,1.33514404296875e-05,,1.315528383263752,0.8,18,0,2,True,,exploratory
mean_utility,mean_utility,50000,20,0.20644404816619372,0.21236442102570036,0.13082602805704396,0.2795083981310381,11.0,0.0001049041748046875,,1.1837614898142765,0.7,17,0,3,True,,exploratory
swap_eligibility,swap_eligibility,50000,20,0.41875,0.375,0.23125,0.60625,2.5,0.0015867462300119628,,0.9575543545209145,0.8571428571428571,13,6,1,True,,exploratory
success,success_rate,75000,20,0.534375,0.5625,0.39375,0.665625,3.5,0.00014850018182527703,,1.6819933833168133,0.8,18,0,2,True,,exploratory
collision,collision_rate,75000,20,0.034375,0.03125,-0.0125,0.08125,32.5,0.20374197457955456,,0.31224650447835006,0.42857142857142855,10,6,4,True,,exploratory
truncation,truncation_rate,75000,20,-0.56875,-0.5625,-0.696875,-0.434375,1.5,0.00010898460038149086,,-1.8786598795481257,-0.9,1,0,19,True,,exploratory
episode_length,mean_episode_length,75000,20,-197.18125,-194.65625,-242.63757812499998,-149.7,1.0,3.814697265625e-06,,-1.833411297346782,-0.9,1,0,19,True,,exploratory
