condition,master_seed,checkpoint_step,n_episodes,success_rate,collision_rate,truncation_rate,mean_episode_length,unilateral_stall_rate,mutual_yielding_rate,convention_availability,swap_eligibility,minimum_utility,mean_utility,median_Q_margin,absolute_Q,late_collapse_flag
double_dqn,63001,0,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.035643749999999974,0.4318889323416353,0.09187960863462645,0.07833166955519115,False
double_dqn,63001,10000,16,0.625,0.0,0.375,248.375,0.375,0.0,1.0,0.25,0.2705815019842039,0.6787884328982621,0.032093818806441,0.8153667497308186,False
double_dqn,63001,25000,16,0.75,0.0,0.25,163.0,0.0,0.1875,1.0,0.5,0.5547565433147343,0.6973381318689441,0.0162148329365099,0.8888916525890296,False
double_dqn,63001,50000,16,1.0,0.0,0.0,57.875,0.0,0.0,1.0,1.0,0.8554200406703973,0.9354818913327866,0.0124199088433614,0.7366242760705158,False
double_dqn,63001,75000,16,1.0,0.0,0.0,165.75,0.0,0.0,1.0,1.0,0.46043219965221305,0.7090466086415982,0.0107097295361529,0.6439963113288358,False
double_dqn,63001,100000,16,0.8125,0.125,0.0625,78.5,0.0625,0.0,1.0,0.625,0.7012647562838983,0.8617242747798501,0.0126910142970585,0.7227652637291833,False
double_dqn,63001,150000,16,0.9375,0.0625,0.0,57.6875,0.0,0.0,1.0,0.875,0.7873922407794691,0.9055906485872858,0.033102788080055304,0.7391792476625316,False
double_dqn,63001,200000,16,0.9375,0.0625,0.0,72.4375,0.0,0.0,1.0,0.875,0.7063876474447885,0.8517409856832149,0.0242960745837804,0.7145008056791352,False
double_dqn,63001,250000,16,0.8125,0.1875,0.0,51.25,0.0,0.0,1.0,0.625,0.7289774514771892,0.8710569029661365,0.0124911458434579,0.6791200764956872,False
double_dqn,63001,300000,16,0.875,0.125,0.0,63.125,0.0,0.0,1.0,0.75,0.7026110412644013,0.8595666944443678,0.0496387098903752,0.7232835226863443,False
double_dqn,63002,0,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.06048749999999986,0.6445973725036399,0.06244439618079915,0.027690172819857212,False
double_dqn,63002,10000,16,0.875,0.125,0.0,111.125,0.0,0.0,1.0,0.75,0.4373153105644425,0.7833476216778175,0.041257336609791445,0.8629089413146825,False
double_dqn,63002,25000,16,0.5,0.0,0.5,238.9375,0.4375,0.0,1.0,0.0,0.3988306131186383,0.6879369446952932,0.034211734235286645,0.8621345738427786,False
double_dqn,63002,50000,16,0.6875,0.25,0.0625,106.3125,0.0625,0.0,1.0,0.375,0.37276096063818315,0.674545570293999,0.01109912137948915,0.7108449416273348,False
double_dqn,63002,75000,16,0.625,0.0,0.375,200.1875,0.25,0.0,1.0,0.25,0.5136191965205682,0.7643207765725737,0.0107091567088519,0.7342148683696748,False
double_dqn,63002,100000,16,0.5625,0.0,0.4375,211.0,0.375,0.0625,1.0,0.125,0.46619374122951135,0.7239156471607766,0.012386541776359051,0.7877783498317759,False
double_dqn,63002,150000,16,0.0,0.0,1.0,400.0,0.75,0.0,1.0,0.0,0.08029062500000025,0.5647608989734635,0.014952574968338,0.8448128451197408,False
double_dqn,63002,200000,16,0.5625,0.0,0.4375,206.0,0.25,0.0,1.0,0.125,0.5547684641919555,0.7847191102655158,0.016617232322614,1.0404382431918262,False
double_dqn,63002,250000,16,0.25,0.25,0.5,230.375,0.4375,0.0,1.0,0.0,0.19310076417547134,0.5599263123585814,0.0049713091732513,0.983079037120274,False
double_dqn,63002,300000,16,0.9375,0.0625,0.0,63.125,0.0,0.0,1.0,0.875,0.7704651641308522,0.892259100921929,0.0071847505418277495,0.6262547397849527,False
double_dqn,63003,0,16,0.0,0.375,0.625,259.125,0.125,0.5,1.0,0.0,0.02995937499999999,0.3910990876894025,0.03768246005527625,0.07564743854476386,False
double_dqn,63003,10000,16,0.6875,0.125,0.1875,154.1875,0.0,0.0,1.0,0.375,0.43815069733248,0.673358405799736,0.0210152910320231,0.6765603970190359,False
double_dqn,63003,25000,16,0.8125,0.0,0.1875,130.375,0.1875,0.0,1.0,0.625,0.6882597840789489,0.8297394822469585,0.018087319537583,0.8011978002045816,False
double_dqn,63003,50000,16,0.3125,0.25,0.4375,217.6875,0.4375,0.0,1.0,0.125,0.218511019065727,0.6079027507943525,0.0126874685846269,0.7201094944844211,False
double_dqn,63003,75000,16,0.9375,0.0625,0.0,55.4375,0.0,0.0,1.0,0.875,0.7920915353504595,0.9048978324697524,0.008195250699902349,0.7073310588932644,False
double_dqn,63003,100000,16,0.8125,0.1875,0.0,47.8125,0.0,0.0,1.0,0.75,0.7446319556380325,0.8744546056962141,0.0138649643797959,0.720552193796695,False
double_dqn,63003,150000,16,0.875,0.125,0.0,52.0,0.0,0.0,1.0,0.75,0.7733469108036217,0.8929789895258671,0.01424310478382315,0.7332228753710119,False
double_dqn,63003,200000,16,0.9375,0.0625,0.0,54.75,0.0,0.0,1.0,0.875,0.818509412232581,0.9183549820354342,0.012696409532083,0.7792298422674113,False
double_dqn,63003,250000,16,1.0,0.0,0.0,55.875,0.0,0.0,1.0,1.0,0.8960695153875089,0.9597777452817889,0.0379832408285886,0.6812065632890494,False
double_dqn,63003,300000,16,0.9375,0.0625,0.0,49.1875,0.0,0.0,1.0,0.875,0.8593783936800558,0.9376251905624331,0.009878676349343099,0.7383625698433046,False
double_dqn,63004,0,16,0.375,0.0,0.625,273.4375,0.625,0.0,1.0,0.125,0.41328205518179606,0.7112989821921546,0.09338761984370644,0.1192376671434249,False
double_dqn,63004,10000,16,0.875,0.125,0.0,104.0625,0.0,0.0,1.0,0.75,0.469350501712528,0.7714781616810655,0.03446496480359375,0.624558279247356,False
double_dqn,63004,25000,16,1.0,0.0,0.0,72.75,0.0,0.0,1.0,1.0,0.7499488783836135,0.8528304209524896,0.018786095027976152,0.9163663958599128,False
double_dqn,63004,50000,16,0.6875,0.3125,0.0,71.0625,0.0,0.0,1.0,0.375,0.44524015758617996,0.7076314930800323,0.0146794673616698,0.7134472841569862,False
