condition,seed,checkpoint,n_swap_pairs_total,n_swap_pairs_role_valid,n_swap_pairs_eligible,n_swap_pairs_changed,D_swap,swap_eligibility
double_dqn,63001,0,8,8,0,0,,0.0
double_dqn,63001,10000,8,8,2,1,0.5,0.25
double_dqn,63001,25000,8,8,4,1,0.25,0.5
double_dqn,63001,50000,8,8,8,4,0.5,1.0
double_dqn,63001,75000,8,8,8,1,0.125,1.0
double_dqn,63001,100000,8,8,5,1,0.2,0.625
double_dqn,63001,150000,8,8,7,0,0.0,0.875
double_dqn,63001,200000,8,8,7,2,0.2857142857142857,0.875
double_dqn,63001,250000,8,8,5,3,0.6,0.625
double_dqn,63001,300000,8,8,6,2,0.3333333333333333,0.75
double_dqn,63002,0,8,8,0,0,,0.0
double_dqn,63002,10000,8,8,6,5,0.8333333333333334,0.75
double_dqn,63002,25000,8,8,0,0,,0.0
double_dqn,63002,50000,8,8,3,0,0.0,0.375
double_dqn,63002,75000,8,8,2,1,0.5,0.25
double_dqn,63002,100000,8,8,1,1,1.0,0.125
double_dqn,63002,150000,8,8,0,0,,0.0
double_dqn,63002,200000,8,8,1,1,1.0,0.125
double_dqn,63002,250000,8,8,0,0,,0.0
double_dqn,63002,300000,8,8,7,4,0.5714285714285714,0.875
double_dqn,63003,0,8,8,0,0,,0.0
double_dqn,63003,10000,8,8,3,3,1.0,0.375
double_dqn,63003,25000,8,8,5,1,0.2,0.625
double_dqn,63003,50000,8,8,1,0,0.0,0.125
double_dqn,63003,75000,8,8,7,5,0.7142857142857143,0.875
double_dqn,63003,100000,8,8,6,1,0.16666666666666666,0.75
double_dqn,63003,150000,8,8,6,3,0.5,0.75
double_dqn,63003,200000,8,8,7,2,0.2857142857142857,0.875
double_dqn,63003,250000,8,8,8,4,0.5,1.0
double_dqn,63003,300000,8,8,7,4,0.5714285714285714,0.875
double_dqn,63004,0,8,8,1,1,1.0,0.125
double_dqn,63004,10000,8,8,6,1,0.16666666666666666,0.75
double_dqn,63004,25000,8,8,8,3,0.375,1.0
double_dqn,63004,50000,8,8,3,1,0.3333333333333333,0.375
double_dqn,63004,75000,8,8,6,2,0.3333333333333333,0.75
double_dqn,63004,100000,8,8,8,4,0.5,1.0
double_dqn,63004,150000,8,8,8,0,0.0,1.0
double_dqn,63004,200000,8,8,7,6,0.8571428571428571,0.875
double_dqn,63004,250000,8,8,5,2,0.4,0.625
double_dqn,63004,300000,8,8,8,7,0.875,1.0
double_dqn,63005,0,8,8,8,8,1.0,1.0
double_dqn,63005,10000,8,8,2,2,1.0,0.25
double_dqn,63005,25000,8,8,2,0,0.0,0.25
double_dqn,63005,50000,8,8,2,0,0.0,0.25
double_dqn,63005,75000,8,8,8,2,0.25,1.0
double_dqn,63005,100000,8,8,7,6,0.8571428571428571,0.875
double_dqn,63005,150000,8,8,8,0,0.0,1.0
double_dqn,63005,200000,8,8,7,3,0.42857142857142855,0.875
double_dqn,63005,250000,8,8,7,1,0.14285714285714285,0.875
double_dqn,63005,300000,8,8,7,2,0.2857142857142857,0.875
double_dqn,63006,0,8,8,2,0,0.0,0.25
double_dqn,63006,10000,8,8,0,0,,0.0
double_dqn,63006,25000,8,8,8,1,0.125,1.0
double_dqn,63006,50000,8,8,8,7,0.875,1.0
double_dqn,63006,75000,8,8,2,0,0.0,0.25
double_dqn,63006,100000,8,8,7,1,0.14285714285714285,0.875
double_dqn,63006,150000,8,8,5,0,0.0,0.625
double_dqn,63006,200000,8,8,6,1,0.16666666666666666,0.75
double_dqn,63006,250000,8,8,8,3,0.375,1.0
double_dqn,63006,300000,8,8,8,2,0.25,1.0
double_dqn,63007,0,8,8,1,0,0.0,0.125
double_dqn,63007,10000,8,8,6,6,1.0,0.75
double_dqn,63007,25000,8,8,6,2,0.3333333333333333,0.75
double_dqn,63007,50000,8,8,8,1,0.125,1.0
double_dqn,63007,75000,8,8,7,3,0.42857142857142855,0.875
double_dqn,63007,100000,8,8,1,0,0.0,0.125
double_dqn,63007,150000,8,8,3,3,1.0,0.375
double_dqn,63007,200000,8,8,4,2,0.5,0.5
