condition,seed,checkpoint,replay_len_A,replay_len_B,update_count_A,update_count_B,td_abs_mean,td_abs_p95,td_sample_n,replay_terminal_frac_A,replay_terminal_frac_B
vanilla_dqn,63001,10000,8122,8913,7611,8402,0.0315640266940352,0.0950560305267572,252,0.0234375,0.015625
vanilla_dqn,63001,200000,20000,20000,168894,118351,0.0116364485602605,0.0425945639610289,253,0.0078125,0.01953125
vanilla_dqn,63001,250000,20000,20000,215983,159284,0.0142723096153104,0.0481293201446532,249,0.01953125,0.0234375
vanilla_dqn,63001,150000,20000,20000,119804,95532,0.0106670668002645,0.0295546412467955,253,0.03125,0.0078125
vanilla_dqn,63001,0,0,0,0,0,,,0,,
vanilla_dqn,63001,75000,20000,20000,58525,47283,0.0100608849971313,0.0385374784469604,254,0.0078125,0.0
vanilla_dqn,63001,50000,20000,20000,46328,27435,0.0222291767131537,0.0551230907440185,256,0.0078125,0.01171875
vanilla_dqn,63002,10000,7994,9154,7483,8643,0.0417265365182681,0.1114227965474128,244,0.02734375,0.01953125
vanilla_dqn,63001,100000,20000,20000,76822,62476,0.0108889514565702,0.028480190038681,254,0.00390625,0.0078125
vanilla_dqn,63001,25000,20000,17913,21994,17402,0.03733478318679,0.1326637506484984,253,0.01171875,0.015625
vanilla_dqn,63002,0,0,0,0,0,,,0,,
vanilla_dqn,63002,25000,19853,19630,19342,19119,0.0627519848099742,0.2405098676681518,251,0.0078125,0.00390625
vanilla_dqn,63003,0,0,0,0,0,,,0,,
vanilla_dqn,63002,50000,20000,20000,32549,36178,0.0239425726381002,0.074699431657791,255,0.0078125,0.0078125
vanilla_dqn,63002,200000,20000,20000,156047,136013,0.0132244695560075,0.0487773269414901,256,0.00390625,0.0078125
vanilla_dqn,63002,100000,20000,20000,75919,74652,0.0106035191638796,0.031576669216156,255,0.0,0.0
vanilla_dqn,63002,150000,20000,20000,118838,106292,0.0151871060952544,0.0381980389356613,256,0.0,0.0
vanilla_dqn,63003,10000,8545,8275,8034,7764,0.0651586278034965,0.2113079369068145,252,0.015625,0.01171875
vanilla_dqn,63002,75000,20000,20000,52187,55376,0.0110145064536482,0.03115975856781,256,0.0,0.0
vanilla_dqn,63002,300000,20000,20000,243910,173181,0.0136735087726265,0.0428556352853775,256,0.0,0.0
vanilla_dqn,63002,250000,20000,20000,195308,161479,0.016605433775112,0.0568947046995162,256,0.0,0.00390625
vanilla_dqn,63003,25000,20000,17535,21965,17024,0.0499835831235604,0.1723111867904663,251,0.0078125,0.01171875
vanilla_dqn,63004,0,0,0,0,0,,,0,,
vanilla_dqn,63003,200000,20000,20000,175173,118521,0.0106726040840148,0.0315478593111038,250,0.01953125,0.01953125
vanilla_dqn,63003,250000,20000,20000,220954,151478,0.0100827270110134,0.0282082676887511,253,0.03125,0.01953125
vanilla_dqn,63003,150000,20000,20000,136101,82845,0.0113867663285311,0.041910684108734,255,0.00390625,0.01171875
vanilla_dqn,63003,50000,20000,20000,45701,24766,0.0164458893002971,0.06535285115242,252,0.0,0.0
vanilla_dqn,63004,10000,9114,8221,8603,7710,0.0376015287915281,0.1247176438570022,255,0.01171875,0.0234375
vanilla_dqn,63004,25000,20000,20000,21577,19965,0.0296665882404613,0.098436141014099,253,0.015625,0.01171875
vanilla_dqn,63003,300000,20000,20000,258277,198202,0.0106154864290321,0.0296209752559661,251,0.015625,0.0078125
vanilla_dqn,63003,100000,20000,20000,91094,63491,0.0078821327742629,0.0309127002954483,254,0.0,0.00390625
vanilla_dqn,63005,0,0,0,0,0,,,0,,
vanilla_dqn,63003,75000,20000,20000,68584,41433,0.0079024586593732,0.0262046754360198,256,0.0,0.00390625
vanilla_dqn,63004,250000,20000,20000,170111,159829,0.0154993372015744,0.0503265261650085,251,0.01171875,0.01171875
vanilla_dqn,63004,200000,20000,20000,133905,115963,0.0103367519332095,0.0417965650558471,256,0.01171875,0.0078125
vanilla_dqn,63004,300000,20000,20000,196956,203188,0.0117203019588832,0.0413420319557188,253,0.01953125,0.0078125
vanilla_dqn,63005,10000,8355,8649,7844,8138,0.0458840647603756,0.1490431487560272,253,0.03125,0.01171875
vanilla_dqn,63004,50000,20000,20000,44070,31854,0.0120972821023315,0.0353031754493713,256,0.0,0.0234375
vanilla_dqn,63004,75000,20000,20000,61273,45251,0.0042829162557609,0.0147636234760284,256,0.00390625,0.00390625
vanilla_dqn,63004,100000,20000,20000,75047,59966,0.0036171497083177,0.009973657131195,255,0.00390625,0.00390625
vanilla_dqn,63004,150000,20000,20000,103068,88294,0.0012036090782979,0.003602910041809,253,0.0,0.0
vanilla_dqn,63006,0,0,0,0,0,,,0,,
vanilla_dqn,63005,25000,20000,20000,20221,19774,0.0341050129091622,0.1215836763381957,255,0.0078125,0.01171875
vanilla_dqn,63005,50000,20000,20000,37956,33088,0.0181479048071883,0.089836424589157,254,0.00390625,0.00390625
vanilla_dqn,63005,300000,20000,20000,244818,199858,0.0118111668257262,0.0293418526649475,254,0.01953125,0.015625
vanilla_dqn,63006,10000,9218,7392,8707,6881,0.0471274950971684,0.1585280299186706,249,0.01953125,0.01953125
vanilla_dqn,63005,200000,20000,20000,169505,125427,0.0145377546941745,0.0400820672512054,256,0.0,0.0078125
vanilla_dqn,63005,100000,20000,20000,84379,75207,0.0218694113427773,0.0458810329437255,256,0.0078125,0.0078125
vanilla_dqn,63005,250000,20000,20000,201759,160718,0.0116873473760141,0.0362112671136856,251,0.0234375,0.015625
vanilla_dqn,63005,75000,20000,20000,61656,54025,0.006472710520029,0.0187640190124511,256,0.0,0.0
vanilla_dqn,63007,0,0,0,0,0,,,0,,
vanilla_dqn,63005,150000,20000,20000,129223,101652,0.0106130476342514,0.0295722037553787,256,0.0,0.0
vanilla_dqn,63006,25000,18978,19427,18467,18916,0.0692478387550575,0.2358923062682151,254,0.01953125,0.01953125
vanilla_dqn,63006,50000,20000,20000,24843,42928,0.0286565390489404,0.1165336161851882,252,0.00390625,0.0
vanilla_dqn,63006,300000,20000,20000,220966,233580,0.0239495439231395,0.0854456670582294,250,0.01953125,0.0078125
vanilla_dqn,63006,150000,20000,20000,91493,131288,0.0202398783722413,0.0599469184875487,253,0.0078125,0.0078125
vanilla_dqn,63006,250000,20000,20000,178533,194314,0.0118615017217748,0.0358207464218139,255,0.00390625,0.0078125
vanilla_dqn,63006,75000,20000,20000,30324,66590,0.0222713841622569,0.0781319141387939,251,0.015625,0.0
vanilla_dqn,63006,200000,20000,20000,130309,160608,0.0136654295173345,0.0468135833740234,255,0.00390625,0.01953125
vanilla_dqn,63006,100000,20000,20000,46521,88617,0.0202177725732326,0.0621054619550704,256,0.00390625,0.0
vanilla_dqn,63007,10000,8270,8646,7759,8135,0.0451399751029731,0.1410475336015224,252,0.01953125,0.01953125
vanilla_dqn,63007,50000,20000,20000,38969,32835,0.01282383070793,0.0398724824190139,256,0.0,0.01171875
vanilla_dqn,63007,25000,18731,20000,18220,20270,0.0453412838162868,0.1547770172357559,254,0.0078125,0.01171875
vanilla_dqn,63008,10000,9017,8588,8506,8077,0.0359435010191407,0.0967524245381355,252,0.0234375,0.015625
vanilla_dqn,63007,150000,20000,20000,107400,113936,0.0143927085612501,0.0513067334890365,252,0.0,0.0078125
vanilla_dqn,63007,300000,20000,20000,225425,229698,0.0174854201456857,0.0434871703386306,252,0.0078125,0.015625
vanilla_dqn,63007,200000,20000,20000,143702,152990,0.0109554893178902,0.0316581487655639,253,0.015625,0.01171875
vanilla_dqn,63007,250000,20000,20000,185436,191889,0.0130944054853539,0.039363944530487,253,0.01171875,0.0078125
vanilla_dqn,63007,75000,20000,20000,54248,53381,0.0149228733590268,0.0413571774959564,254,0.00390625,0.0078125
vanilla_dqn,63007,100000,20000,20000,74177,74736,0.0125453577322118,0.0439386308193206,255,0.00390625,0.0078125
vanilla_dqn,63008,0,0,0,0,0,,,0,,
vanilla_dqn,63008,200000,20000,20000,125670,161401,0.0120053512166695,0.0388848483562469,251,0.0234375,0.01953125
vanilla_dqn,63008,250000,20000,20000,170388,198203,0.0139062096007727,0.0331779122352599,253,0.02734375,0.0234375
vanilla_dqn,63008,25000,19039,20000,18528,21483,0.0471760078170706,0.201685045659542,252,0.0078125,0.00390625
vanilla_dqn,63008,75000,20000,20000,36011,70632,0.0139449947173633,0.0528088301420211,252,0.015625,0.0
